,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,3428571.428571,4086000.0,5915000.0,7990000.0,-239875.389408,
Tax Rate For Calcs,0.214286,0.227,0.169,0.235,0.034268,
Normalized EBITDA,1268000000.0,1767000000.0,1137000000.0,1876000000.0,1186000000.0,
Total Unusual Items,16000000.0,18000000.0,35000000.0,34000000.0,-7000000.0,
Total Unusual Items Excluding Goodwill,16000000.0,18000000.0,35000000.0,34000000.0,-7000000.0,
Net Income From Continuing Operation Net Minority Interest,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Reconciled Depreciation,595000000.0,586000000.0,576000000.0,564000000.0,554000000.0,
Reconciled Cost Of Revenue,1953000000.0,2023000000.0,1770000000.0,2162000000.0,1774000000.0,
EBITDA,1284000000.0,1785000000.0,1172000000.0,1910000000.0,1179000000.0,
EBIT,689000000.0,1199000000.0,596000000.0,1346000000.0,625000000.0,
Net Interest Income,-311000000.0,-309000000.0,-300000000.0,-313000000.0,-304000000.0,
Interest Expense,311000000.0,309000000.0,300000000.0,313000000.0,304000000.0,
Normalized Income,284428571.428571,674086000.0,216915000.0,764990000.0,316760124.610592,
Net Income From Continuing And Discontinued Operation,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Total Expenses,3494000000.0,3546000000.0,3240000000.0,3673000000.0,3160000000.0,
Total Operating Income As Reported,487000000.0,968000000.0,355000000.0,1125000000.0,477000000.0,
Diluted Average Shares,362200000.0,361900000.0,361700000.0,351300000.0,347800000.0,
Basic Average Shares,361000000.0,360700000.0,360400000.0,350100000.0,346400000.0,
Diluted EPS,0.82,1.9,0.68,2.25,0.89,
Basic EPS,0.82,1.91,0.68,2.26,0.9,
Diluted NI Availto Com Stockholders,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Net Income Common Stockholders,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Net Income,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Minority Interests,,,,,0.0,0.0
Net Income Including Noncontrolling Interests,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Net Income Continuous Operations,297000000.0,688000000.0,246000000.0,791000000.0,310000000.0,
Tax Provision,81000000.0,202000000.0,50000000.0,242000000.0,11000000.0,
Pretax Income,378000000.0,890000000.0,296000000.0,1033000000.0,321000000.0,
Other Income Expense,189000000.0,215000000.0,241000000.0,221000000.0,116000000.0,
Other Non Operating Income Expenses,173000000.0,197000000.0,206000000.0,187000000.0,123000000.0,
Special Income Charges,4000000.0,0.0,18000000.0,18000000.0,-23000000.0,
Gain On Sale Of Business,4000000.0,0.0,0.0,0.0,-32000000.0,
Other Special Charges,,,-18000000.0,-18000000.0,-9000000.0,-8000000.0
Gain On Sale Of Security,12000000.0,18000000.0,17000000.0,16000000.0,16000000.0,
Net Non Operating Interest Income Expense,-311000000.0,-309000000.0,-300000000.0,-313000000.0,-304000000.0,
Interest Expense Non Operating,311000000.0,309000000.0,300000000.0,313000000.0,304000000.0,
Operating Income,500000000.0,984000000.0,355000000.0,1125000000.0,509000000.0,
Operating Expense,1541000000.0,1523000000.0,1470000000.0,1511000000.0,1386000000.0,
Other Operating Expenses,-17000000.0,-16000000.0,,,,
Other Taxes,963000000.0,953000000.0,894000000.0,947000000.0,832000000.0,
Depreciation Amortization Depletion Income Statement,595000000.0,586000000.0,576000000.0,564000000.0,554000000.0,
Depreciation And Amortization In Income Statement,595000000.0,586000000.0,576000000.0,564000000.0,554000000.0,
Gross Profit,2041000000.0,2507000000.0,1825000000.0,2636000000.0,1895000000.0,
Cost Of Revenue,1953000000.0,2023000000.0,1770000000.0,2162000000.0,1774000000.0,
Total Revenue,3994000000.0,4530000000.0,3595000000.0,4798000000.0,3669000000.0,
Operating Revenue,3994000000.0,4530000000.0,3595000000.0,4798000000.0,3669000000.0,
