,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1189313000.0,1332944000.0,821251000.0,448644000.0,
Repurchase Of Capital Stock,-586258000.0,-489820000.0,-127713000.0,-660609000.0,
Repayment Of Debt,-527692000.0,-2855000.0,-448947000.0,-287426000.0,
Issuance Of Debt,525000000.0,0.0,200000000.0,270000000.0,
Capital Expenditure,-112750000.0,-74950000.0,-78404000.0,-49289000.0,
End Cash Position,1111968000.0,1340395000.0,789750000.0,457068000.0,
Beginning Cash Position,1340395000.0,789750000.0,457068000.0,822568000.0,
Effect Of Exchange Rate Changes,6857000.0,-2600000.0,6372000.0,-12515000.0,
Changes In Cash,-235284000.0,553245000.0,326310000.0,-352985000.0,
Financing Cash Flow,-663761000.0,-555365000.0,-412054000.0,-710118000.0,
Cash Flow From Continuing Financing Activities,-663761000.0,-555365000.0,-412054000.0,-710118000.0,
Net Other Financing Charges,-29788000.0,-20249000.0,-11899000.0,-13073000.0,
Proceeds From Stock Option Exercised,0.0,943000.0,9189000.0,8177000.0,
Cash Dividends Paid,-45023000.0,-43384000.0,-32684000.0,-27187000.0,
Common Stock Dividend Paid,-45023000.0,-43384000.0,-32684000.0,-27187000.0,
Net Common Stock Issuance,-586258000.0,-489820000.0,-127713000.0,-660609000.0,
Common Stock Payments,-586258000.0,-489820000.0,-127713000.0,-660609000.0,
Net Issuance Payments Of Debt,-2692000.0,-2855000.0,-248947000.0,-17426000.0,
Net Short Term Debt Issuance,,,,0.0,0.0
Short Term Debt Payments,,,,-270000000.0,0.0
Short Term Debt Issuance,,,,270000000.0,0.0
Net Long Term Debt Issuance,-2692000.0,-2855000.0,-248947000.0,-17426000.0,
Long Term Debt Payments,-527692000.0,-2855000.0,-448947000.0,-287426000.0,
Long Term Debt Issuance,525000000.0,0.0,200000000.0,270000000.0,
Investing Cash Flow,-873586000.0,-299284000.0,-161291000.0,-140800000.0,
Cash Flow From Continuing Investing Activities,-873586000.0,-299284000.0,-161291000.0,-140800000.0,
Dividends Received Cfi,,,0.0,0.0,196000.0
Net Business Purchase And Sale,-765483000.0,-228173000.0,-96491000.0,-98656000.0,
Sale Of Business,256622000.0,0.0,0.0,,
Purchase Of Business,-1022105000.0,-228173000.0,-96491000.0,-98656000.0,
Net PPE Purchase And Sale,-108103000.0,-71111000.0,-64800000.0,-42144000.0,
Sale Of PPE,4647000.0,3839000.0,13604000.0,7145000.0,
Purchase Of PPE,-112750000.0,-74950000.0,-78404000.0,-49289000.0,
Operating Cash Flow,1302063000.0,1407894000.0,899655000.0,497933000.0,
Cash Flow From Continuing Operating Activities,1302063000.0,1407894000.0,899655000.0,497933000.0,
Dividend Received Cfo,251000.0,1554000.0,400000.0,400000.0,
Change In Working Capital,-17751000.0,252723000.0,141853000.0,-39106000.0,
Change In Other Working Capital,159180000.0,426435000.0,514596000.0,295788000.0,
Change In Payables And Accrued Expense,330540000.0,133128000.0,271460000.0,81463000.0,
Change In Accrued Expense,141191000.0,148490000.0,189268000.0,-30025000.0,
Change In Payable,189349000.0,-15362000.0,82192000.0,111488000.0,
Change In Account Payable,189349000.0,-15362000.0,82192000.0,111488000.0,
Change In Inventory,-26951000.0,17982000.0,-23442000.0,-31541000.0,
Change In Receivables,-480520000.0,-324822000.0,-620761000.0,-384816000.0,
Changes In Account Receivables,-437768000.0,-311504000.0,-626494000.0,-340091000.0,
Other Non Cash Items,288000.0,9714000.0,3247000.0,2570000.0,
Excess Tax Benefit From Stock Based Compensation,-5006000.0,-3978000.0,-1719000.0,-1654000.0,
Stock Based Compensation,20595000.0,19978000.0,13739000.0,12125000.0,
Provisionand Write Offof Assets,7671000.0,17303000.0,7859000.0,5166000.0,
Asset Impairment Charge,0.0,0.0,2350000.0,0.0,
Deferred Tax,-16055000.0,-29115000.0,-16651000.0,10483000.0,
Deferred Income Tax,-16055000.0,-29115000.0,-16651000.0,10483000.0,
Depreciation Amortization Depletion,186420000.0,133680000.0,118965000.0,108611000.0,
Depreciation And Amortization,186420000.0,133680000.0,118965000.0,108611000.0,
Amortization Cash Flow,119052000.0,77002000.0,67143000.0,61315000.0,
Amortization Of Intangibles,119052000.0,77002000.0,67143000.0,61315000.0,
Depreciation,67368000.0,56678000.0,51822000.0,47296000.0,
Operating Gains Losses,-147167000.0,-1110000.0,-3717000.0,-6784000.0,
Earnings Losses From Equity Investments,-62000.0,-98000.0,-1660000.0,-391000.0,
Gain Loss On Sale Of PPE,-2229000.0,-1012000.0,-2057000.0,-6393000.0,
Gain Loss On Sale Of Business,-144876000.0,0.0,0.0,,
Net Income From Continuing Operations,1272817000.0,1007145000.0,633329000.0,406122000.0,
