,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,37767458.476415,0.0,-646250.0,0.0,
Tax Rate For Calcs,0.260688,0.268798,0.275,0.273,
Normalized EBITDA,1775188000.0,1514841000.0,1011367000.0,680560000.0,
Total Unusual Items,144876000.0,0.0,-2350000.0,0.0,
Total Unusual Items Excluding Goodwill,144876000.0,0.0,-2350000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,1272817000.0,1007145000.0,632994000.0,406122000.0,
Reconciled Depreciation,186420000.0,133680000.0,118965000.0,108611000.0,
Reconciled Cost Of Revenue,13703434000.0,11801065000.0,10493534000.0,9472526000.0,
EBITDA,1920064000.0,1514841000.0,1009017000.0,680560000.0,
EBIT,1733644000.0,1381161000.0,890052000.0,571949000.0,
Net Interest Income,7995000.0,31625000.0,-1784000.0,-10438000.0,
Interest Expense,12020000.0,3779000.0,17199000.0,13199000.0,
Interest Income,20015000.0,35404000.0,15415000.0,2761000.0,
Normalized Income,1165708458.476415,1007145000.0,634697750.0,406122000.0,
Net Income From Continuing And Discontinued Operation,1272817000.0,1007145000.0,632994000.0,406122000.0,
Total Expenses,15417880000.0,13221253000.0,11704767000.0,10511243000.0,
Total Operating Income As Reported,1713418000.0,1344863000.0,875756000.0,564877000.0,
Diluted Average Shares,45145767.0,46808293.0,47564258.0,50136262.0,
Basic Average Shares,44982102.0,46616079.0,47358467.0,49931940.0,
Diluted EPS,28.19,21.52,13.31,8.1,
Basic EPS,28.3,21.61,13.37,8.13,
Diluted NI Availto Com Stockholders,1272817000.0,1007145000.0,632994000.0,406122000.0,
Net Income Common Stockholders,1272817000.0,1007145000.0,632994000.0,406122000.0,
Net Income,1272817000.0,1007145000.0,632994000.0,406122000.0,
Minority Interests,0.0,0.0,-335000.0,0.0,
Net Income Including Noncontrolling Interests,1272817000.0,1007145000.0,633329000.0,406122000.0,
Net Income Continuous Operations,1272817000.0,1007145000.0,633329000.0,406122000.0,
Tax Provision,448807000.0,370237000.0,239524000.0,152628000.0,
Pretax Income,1721624000.0,1377382000.0,872853000.0,558750000.0,
Other Income Expense,145087000.0,894000.0,-3469000.0,4311000.0,
Other Non Operating Income Expenses,211000.0,894000.0,-1119000.0,4311000.0,
Special Income Charges,144876000.0,0.0,-2350000.0,0.0,
Gain On Sale Of Business,144876000.0,0.0,0.0,,
Impairment Of Capital Assets,0.0,0.0,2350000.0,0.0,
Restructuring And Mergern Acquisition,,,,0.0,0.0
Net Non Operating Interest Income Expense,7995000.0,31625000.0,-1784000.0,-10438000.0,
Interest Expense Non Operating,12020000.0,3779000.0,17199000.0,13199000.0,
Interest Income Non Operating,20015000.0,35404000.0,15415000.0,2761000.0,
Operating Income,1568542000.0,1344863000.0,878106000.0,564877000.0,
Operating Expense,1714446000.0,1420188000.0,1211233000.0,1038717000.0,
Selling General And Administration,1714446000.0,1420188000.0,1211233000.0,1038717000.0,
Gross Profit,3282988000.0,2765051000.0,2089339000.0,1603594000.0,
Cost Of Revenue,13703434000.0,11801065000.0,10493534000.0,9472526000.0,
Total Revenue,16986422000.0,14566116000.0,12582873000.0,11076120000.0,
Operating Revenue,16986422000.0,14566116000.0,12582873000.0,11076120000.0,
