,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,846738.102,635195.945265,370685.237036,336921.810841,
Tax Rate For Calcs,0.001352,0.001162,0.001312,0.001107,
Normalized EBITDA,1876174000.0,1786882000.0,1763535000.0,1685846000.0,
Total Unusual Items,626388000.0,546797000.0,282539000.0,304325000.0,
Total Unusual Items Excluding Goodwill,626388000.0,546797000.0,282539000.0,304325000.0,
Net Income From Continuing Operation Net Minority Interest,1120169000.0,1035831000.0,835438000.0,776911000.0,
Reconciled Depreciation,1023235000.0,966739000.0,901504000.0,894325000.0,
Reconciled Cost Of Revenue,1135692000.0,1080017000.0,1033698000.0,970424000.0,
EBITDA,2502562000.0,2333679000.0,2046074000.0,1990171000.0,
EBIT,1479327000.0,1366940000.0,1144570000.0,1095846000.0,
Net Interest Income,-263126000.0,-263240000.0,-256152000.0,-289456000.0,
Interest Expense,306798000.0,285735000.0,269556000.0,282920000.0,
Interest Income,52440000.0,30329000.0,22345000.0,2193000.0,
Normalized Income,494627738.102,489669195.945265,553269685.237036,472922921.810841,
Net Income From Continuing And Discontinued Operation,1120169000.0,1035831000.0,835438000.0,776911000.0,
Total Expenses,2224207000.0,2108409000.0,1995918000.0,1923459000.0,
Total Operating Income As Reported,,,1160585000.0,1116046000.0,1675841000.0
Diluted Average Shares,390411000.0,390740000.0,390896551.0,389450000.0,
Basic Average Shares,379610000.0,378795000.0,378773303.0,376209000.0,
Diluted EPS,2.94,2.72,2.2,2.05,
Basic EPS,2.95,2.73,2.2,2.06,
Diluted NI Availto Com Stockholders,1146072000.0,1061706000.0,859058000.0,773821000.0,
Average Dilution Earnings,27405000.0,28932000.0,26710000.0,,
Net Income Common Stockholders,1118667000.0,1032774000.0,832348000.0,773821000.0,
Otherunder Preferred Stock Dividend,0.0,1444000.0,0.0,0.0,
Preferred Stock Dividends,1422000.0,1613000.0,3090000.0,3090000.0,
Net Income,1120089000.0,1035831000.0,835438000.0,776911000.0,
Minority Interests,-31860000.0,-35144000.0,-33050000.0,-30084000.0,
Net Income Including Noncontrolling Interests,1151949000.0,1070975000.0,868488000.0,806995000.0,
Net Income From Tax Loss Carryforward,,,0.0,0.0,5000.0
Net Income Extraordinary,-80000.0,0.0,0.0,0.0,
Net Income Continuous Operations,1152029000.0,1070975000.0,868488000.0,806995000.0,
Earnings From Equity Interest Net Of Tax,-18915000.0,-8974000.0,-5378000.0,-5031000.0,
Tax Provision,1585000.0,1256000.0,1148000.0,900000.0,
Pretax Income,1172529000.0,1081205000.0,875014000.0,812926000.0,
Other Income Expense,565903000.0,472746000.0,253120000.0,290661000.0,
Other Non Operating Income Expenses,-60485000.0,-74051000.0,-29419000.0,-13664000.0,
Special Income Charges,,,0.0,0.0,-16769000.0
Impairment Of Capital Assets,,,0.0,0.0,16769000.0
Gain On Sale Of Security,626388000.0,546797000.0,282539000.0,304325000.0,
Net Non Operating Interest Income Expense,-263126000.0,-263240000.0,-256152000.0,-289456000.0,
Total Other Finance Cost,8768000.0,7834000.0,8941000.0,8729000.0,
Interest Expense Non Operating,306798000.0,285735000.0,269556000.0,282920000.0,
Interest Income Non Operating,52440000.0,30329000.0,22345000.0,2193000.0,
Operating Income,869752000.0,871699000.0,878046000.0,811721000.0,
Operating Expense,1075680000.0,1013844000.0,949425000.0,940878000.0,
Depreciation Amortization Depletion Income Statement,1010400000.0,952191000.0,888709000.0,882168000.0,
Depreciation And Amortization In Income Statement,1010400000.0,952191000.0,888709000.0,882168000.0,
Depreciation Income Statement,1010400000.0,952191000.0,888709000.0,882168000.0,
Selling General And Administration,65280000.0,61653000.0,60716000.0,58710000.0,
General And Administrative Expense,65280000.0,61653000.0,60716000.0,58710000.0,
Other Gand A,65280000.0,61653000.0,60716000.0,58710000.0,
Gross Profit,1945432000.0,1885543000.0,1827471000.0,1752599000.0,
Cost Of Revenue,1148527000.0,1094565000.0,1046493000.0,982581000.0,
Total Revenue,3093959000.0,2980108000.0,2873964000.0,2735180000.0,
Operating Revenue,3093959000.0,2980108000.0,2873964000.0,2735180000.0,
