,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2837527000.0,573264000.0,1159813000.0,2065117000.0,
Repurchase Of Capital Stock,0.0,0.0,-201029000.0,-409485000.0,
Repayment Of Debt,-5041423000.0,-11765067000.0,-2022836000.0,-11159039000.0,
Issuance Of Debt,3529000000.0,7637000000.0,2257000000.0,11242000000.0,
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-2288425000.0,-2253709000.0,-2019037000.0,-1400443000.0,
Interest Paid Supplemental Data,455091000.0,401768000.0,213141000.0,236797000.0,
Income Tax Paid Supplemental Data,,7960000.0,13350000.0,20773000.0,19155000.0
End Cash Position,110795000.0,202093000.0,80977000.0,1458644000.0,
Beginning Cash Position,202093000.0,80977000.0,1458644000.0,113963000.0,
Changes In Cash,-91298000.0,121116000.0,-1377667000.0,1344681000.0,
Financing Cash Flow,-2372343000.0,-1125875000.0,-242862000.0,-699126000.0,
Cash Flow From Continuing Financing Activities,-2372343000.0,-1125875000.0,-242862000.0,-699126000.0,
Net Other Financing Charges,-470287000.0,3328773000.0,-47658000.0,-168973000.0,
Cash Dividends Paid,-389633000.0,-326581000.0,-228339000.0,-203629000.0,
Common Stock Dividend Paid,-389633000.0,-326581000.0,-228339000.0,-203629000.0,
Net Common Stock Issuance,0.0,0.0,-201029000.0,-409485000.0,
Common Stock Payments,0.0,0.0,-201029000.0,-409485000.0,
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,-1512423000.0,-4128067000.0,234164000.0,82961000.0,
Net Short Term Debt Issuance,,,0.0,0.0,-300000000.0
Short Term Debt Payments,,,-1007000000.0,-10242000000.0,-8386000000.0
Short Term Debt Issuance,,,1007000000.0,10242000000.0,8086000000.0
Net Long Term Debt Issuance,-1512423000.0,-4128067000.0,234164000.0,82961000.0,
Long Term Debt Payments,-5041423000.0,-11765067000.0,-2022836000.0,-11159039000.0,
Long Term Debt Issuance,3529000000.0,7637000000.0,2257000000.0,11242000000.0,
Investing Cash Flow,-2844907000.0,-1579982000.0,-4313655000.0,-1421753000.0,
Cash Flow From Continuing Investing Activities,-2844907000.0,-1579982000.0,-4313655000.0,-1421753000.0,
Net Other Investing Changes,9989000.0,1696041000.0,-10645000.0,-3818000.0,
Net Investment Purchase And Sale,,0.0,0.0,189249000.0,24369000.0
Sale Of Investment,,0.0,0.0,189249000.0,24369000.0
Net Business Purchase And Sale,-566471000.0,-1022314000.0,-2283973000.0,-206741000.0,
Purchase Of Business,-566471000.0,-1022314000.0,-2283973000.0,-206741000.0,
Capital Expenditure Reported,-2288425000.0,-2253709000.0,-2019037000.0,-1400443000.0,
Operating Cash Flow,5125952000.0,2826973000.0,3178850000.0,3465560000.0,
Cash Flow From Continuing Operating Activities,5125952000.0,2826973000.0,3178850000.0,3465560000.0,
Dividend Received Cfo,257233000.0,66200000.0,18693000.0,50220000.0,
Change In Working Capital,-230080000.0,-281805000.0,383632000.0,99229000.0,
Change In Other Working Capital,-128873000.0,-528000.0,-176841000.0,38172000.0,
Change In Other Current Assets,45191000.0,-77343000.0,98907000.0,48576000.0,
Change In Payables And Accrued Expense,207074000.0,16512000.0,-406113000.0,181459000.0,
Change In Payable,207074000.0,16512000.0,-406113000.0,181459000.0,
Change In Account Payable,207074000.0,16512000.0,-406113000.0,181459000.0,
Change In Receivables,-353472000.0,-220446000.0,867679000.0,-168978000.0,
Changes In Account Receivables,-353472000.0,-220446000.0,867679000.0,-168978000.0,
Other Non Cash Items,-113018000.0,1190570000.0,594930000.0,-5880853000.0,
Stock Based Compensation,60781000.0,158344000.0,49834000.0,45201000.0,
Asset Impairment Charge,51152000.0,97368000.0,109421000.0,390801000.0,
Deferred Tax,657836000.0,14732000.0,384666000.0,534612000.0,
Deferred Income Tax,657836000.0,14732000.0,384666000.0,534612000.0,
Depreciation Amortization Depletion,2600390000.0,2162350000.0,1732142000.0,1665962000.0,
Depreciation And Amortization,,2162350000.0,1749085000.0,1665962000.0,1708877000.0
Amortization Cash Flow,,,16943000.0,32645000.0,32175000.0
Amortization Of Intangibles,,,16943000.0,32645000.0,32175000.0
Depreciation,,2162350000.0,1732142000.0,1665962000.0,1676702000.0
Operating Gains Losses,-484000000.0,-822901000.0,-1829012000.0,4779446000.0,
Gain Loss On Investment Securities,-475438000.0,-127156000.0,-1846537000.0,4647863000.0,
Gain Loss On Sale Of PPE,-31214000.0,-764044000.0,17445000.0,382355000.0,
Gain Loss On Sale Of Business,,,,0.0,0.0
Net Income From Continuing Operations,2325658000.0,242115000.0,1734544000.0,1780942000.0,
