,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.213,0.207,0.206,0.206887,
Net Income From Continuing Operation Net Minority Interest,559335000.0,600314000.0,446061000.0,298569000.0,
Reconciled Depreciation,76783000.0,63907000.0,53592000.0,51720000.0,
EBIT,,757279000.0,561936000.0,378461000.0,380536000.0
Net Interest Income,,0.0,0.0,-2009000.0,-4132000.0
Interest Expense,,0.0,0.0,2009000.0,4132000.0
Normalized Income,559335000.0,600314000.0,446061000.0,298569000.0,
Net Income From Continuing And Discontinued Operation,559335000.0,600314000.0,446061000.0,298569000.0,
Total Expenses,3437967000.0,3105125000.0,2747280000.0,2474750000.0,
Diluted Average Shares,,52308808.0,52299411.0,52300532.0,52309844.0
Basic Average Shares,,46191586.0,46188981.0,46191458.0,46191348.0
Diluted EPS,,11.48,8.53,5.71,5.69
Basic EPS,,12.89,9.58,6.41,6.4
Diluted NI Availto Com Stockholders,559335000.0,600314000.0,446061000.0,298569000.0,
Net Income Common Stockholders,559335000.0,600314000.0,446061000.0,298569000.0,
Net Income,559335000.0,600314000.0,446061000.0,298569000.0,
Net Income Including Noncontrolling Interests,559335000.0,600314000.0,446061000.0,298569000.0,
Net Income Continuous Operations,559335000.0,600314000.0,446061000.0,298569000.0,
Tax Provision,151268000.0,156965000.0,115875000.0,77883000.0,
Pretax Income,710603000.0,757279000.0,561936000.0,376452000.0,
Other Income Expense,861394000.0,832686000.0,763198000.0,693955000.0,
Net Non Operating Interest Income Expense,,0.0,0.0,-2009000.0,-4132000.0
Interest Expense Non Operating,,0.0,0.0,2009000.0,4132000.0
Other Operating Expenses,91442000.0,-11564000.0,-12712000.0,-1615000.0,
Selling General And Administration,836639000.0,806336000.0,737139000.0,668268000.0,
General And Administrative Expense,836639000.0,806336000.0,737139000.0,668268000.0,
Other Gand A,836639000.0,806336000.0,737139000.0,668268000.0,
Total Revenue,4148570000.0,3862404000.0,3309216000.0,2851202000.0,
Operating Revenue,4148570000.0,3862404000.0,3309216000.0,2851202000.0,
