,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-14470400.0,-226227923.147425,-439698000.0,11955600.0,
Tax Rate For Calcs,0.076,0.341415,0.21,0.243,
Normalized EBITDA,5678330000.0,4794158000.0,3489927000.0,4138180000.0,
Total Unusual Items,-190400000.0,-662619000.0,-2093800000.0,49200000.0,
Total Unusual Items Excluding Goodwill,-190400000.0,-662619000.0,-2093800000.0,49200000.0,
Net Income From Continuing Operation Net Minority Interest,1692372000.0,811653000.0,-442240000.0,1404875000.0,
Reconciled Depreciation,2404487000.0,1776367000.0,815723000.0,1643138000.0,
Reconciled Cost Of Revenue,2073778000.0,2012926000.0,1895703000.0,1865328000.0,
EBITDA,5487930000.0,4131539000.0,1396127000.0,4187380000.0,
EBIT,3083443000.0,2355172000.0,580404000.0,2544242000.0,
Net Interest Income,-1117766000.0,-973136000.0,-761241000.0,-627774000.0,
Interest Expense,1243266000.0,1111336000.0,855441000.0,678274000.0,
Interest Income,125500000.0,138200000.0,94200000.0,50500000.0,
Normalized Income,1868301600.0,1248044076.852575,1211862000.0,1367630600.0,
Net Income From Continuing And Discontinued Operation,1692372000.0,811653000.0,-442240000.0,1404875000.0,
Total Expenses,10558655000.0,9195100000.0,9511370000.0,10091182000.0,
Total Operating Income As Reported,2988589000.0,2408709000.0,2399335000.0,2198154000.0,
Diluted Average Shares,371259264.0,357779408.0,349840481.0,347246768.0,
Basic Average Shares,370852601.0,357482965.0,349580638.0,346783444.0,
Diluted EPS,4.56,2.27,-1.27,4.05,
Basic EPS,4.56,2.27,-1.27,4.05,
Diluted NI Availto Com Stockholders,1692372000.0,811653000.0,-442240000.0,1404875000.0,
Net Income Common Stockholders,1692372000.0,811653000.0,-442240000.0,1404875000.0,
Net Income,1692372000.0,811653000.0,-442240000.0,1404875000.0,
Minority Interests,-7519000.0,-7519000.0,-7519000.0,-7519000.0,
Net Income Including Noncontrolling Interests,1699891000.0,819172000.0,-434721000.0,1412394000.0,
Net Income Continuous Operations,1699891000.0,819172000.0,-434721000.0,1412394000.0,
Tax Provision,140286000.0,424664000.0,159684000.0,453574000.0,
Pretax Income,1840177000.0,1243836000.0,-275037000.0,1865968000.0,
Other Income Expense,-30600000.0,-488719000.0,-1913100000.0,295600000.0,
Other Non Operating Income Expenses,139900000.0,122000000.0,165200000.0,223500000.0,
Special Income Charges,-185000000.0,-663219000.0,-2088900000.0,47300000.0,
Gain On Sale Of Ppe,,-297000000.0,0.0,2600000.0,100000.0
Gain On Sale Of Business,-284000000.0,-761019000.0,-2167000000.0,0.0,
Other Special Charges,-99000000.0,-97800000.0,-78100000.0,-47300000.0,
Write Off,,,2167000000.0,0.0,0.0
Earnings From Equity Interest,19900000.0,51900000.0,15500000.0,22900000.0,
Gain On Sale Of Security,-5400000.0,600000.0,-4900000.0,1900000.0,
Net Non Operating Interest Income Expense,-1117766000.0,-973136000.0,-761241000.0,-627774000.0,
Interest Expense Non Operating,1243266000.0,1111336000.0,855441000.0,678274000.0,
Interest Income Non Operating,125500000.0,138200000.0,94200000.0,50500000.0,
Operating Income,2988589000.0,2705709000.0,2399335000.0,2198154000.0,
Operating Expense,8484877000.0,7182174000.0,7615667000.0,8225854000.0,
Other Operating Expenses,4987520000.0,4407906000.0,5859585000.0,5672125000.0,
Other Taxes,1092870000.0,997901000.0,940359000.0,910591000.0,
Depreciation Amortization Depletion Income Statement,2404487000.0,1776367000.0,815723000.0,1643138000.0,
Depreciation And Amortization In Income Statement,2404487000.0,1776367000.0,815723000.0,1643138000.0,
Amortization,835909000.0,342864000.0,-490117000.0,448892000.0,
Amortization Of Intangibles Income Statement,835909000.0,342864000.0,-490117000.0,448892000.0,
Depreciation Income Statement,1568578000.0,1433503000.0,1305840000.0,1194246000.0,
Selling General And Administration,,,-132900000.0,-219800000.0,-84400000.0
General And Administrative Expense,,,-132900000.0,-219800000.0,-84400000.0
Salaries And Wages,,,-132900000.0,-219800000.0,-84400000.0
Gross Profit,11473466000.0,9887883000.0,10015002000.0,10424008000.0,
Cost Of Revenue,2073778000.0,2012926000.0,1895703000.0,1865328000.0,
Total Revenue,13547244000.0,11900809000.0,11910705000.0,12289336000.0,
Operating Revenue,13547244000.0,11900809000.0,11910705000.0,12289336000.0,
