,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.13159999,30206309,2513769071,0.0023
1,2025-12-31,Blackrock Inc.,0.0996,22865085,1902832401,0.0462
2,2025-12-31,State Street Corporation,0.072399996,16610151,1382296786,0.0085
3,2025-12-31,"FMR, LLC",0.041199997,9452950,786674510,-0.050100002
4,2025-12-31,Invesco Ltd.,0.0327,7514679,625371595,-0.0594
5,2025-12-31,"Geode Capital Management, LLC",0.028099999,6447150,536531830,0.0167
6,2025-12-31,"Franklin Resources, Inc.",0.026500002,6091518,506936135,0.0055
7,2025-12-31,Morgan Stanley,0.016900001,3873667,322366572,-0.16610001
8,2025-12-31,"Federated Hermes, Inc.",0.0164,3760548,312952809,0.0156
9,2025-12-31,"Nuveen, LLC",0.0126,2899037,241257862,-0.121800005
