,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-92638000.0,-24102000.0,-154872000.0,-157108000.0,
Tax Rate For Calcs,0.182,0.206,0.324,0.362,
Normalized EBITDA,3286000000.0,2743000000.0,2548000000.0,2041000000.0,
Total Unusual Items,-509000000.0,-117000000.0,-478000000.0,-434000000.0,
Total Unusual Items Excluding Goodwill,-509000000.0,-117000000.0,-478000000.0,-434000000.0,
Net Income From Continuing Operation Net Minority Interest,1294000000.0,1234000000.0,797000000.0,352000000.0,
Reconciled Depreciation,887000000.0,838000000.0,807000000.0,792000000.0,
Reconciled Cost Of Revenue,1456000000.0,1443000000.0,1573000000.0,1657000000.0,
EBITDA,2777000000.0,2626000000.0,2070000000.0,1607000000.0,
EBIT,1890000000.0,1788000000.0,1263000000.0,815000000.0,
Net Interest Income,-44000000.0,-11000000.0,-38000000.0,-217000000.0,
Interest Expense,299000000.0,246000000.0,245000000.0,277000000.0,
Interest Income,255000000.0,235000000.0,207000000.0,60000000.0,
Normalized Income,1710362000.0,1326898000.0,1120128000.0,628892000.0,
Net Income From Continuing And Discontinued Operation,1294000000.0,1234000000.0,797000000.0,352000000.0,
Total Expenses,12570000000.0,12021000000.0,11305000000.0,10478000000.0,
Total Operating Income As Reported,1871000000.0,1319000000.0,1033000000.0,1085000000.0,
Diluted Average Shares,131943000.0,137919000.0,150228000.0,161751000.0,
Basic Average Shares,125363000.0,131432000.0,144967000.0,156672000.0,
Diluted EPS,9.81,8.95,5.31,2.17,
Basic EPS,10.32,9.39,5.5,2.24,
Diluted NI Availto Com Stockholders,1294000000.0,1234000000.0,797000000.0,352000000.0,
Net Income Common Stockholders,1294000000.0,1234000000.0,797000000.0,352000000.0,
Otherunder Preferred Stock Dividend,,,0.0,0.0,214000000.0
Preferred Stock Dividends,,,,,67000000.0
Net Income,1294000000.0,1234000000.0,797000000.0,352000000.0,
Minority Interests,-7000000.0,10000000.0,109000000.0,9000000.0,
Net Income Including Noncontrolling Interests,1301000000.0,1224000000.0,688000000.0,343000000.0,
Net Income Continuous Operations,1301000000.0,1224000000.0,688000000.0,343000000.0,
Tax Provision,290000000.0,318000000.0,330000000.0,195000000.0,
Pretax Income,1591000000.0,1542000000.0,1018000000.0,538000000.0,
Other Income Expense,-528000000.0,-117000000.0,-478000000.0,-434000000.0,
Other Non Operating Income Expenses,-19000000.0,,67000000.0,,19000000.0
Special Income Charges,-289000000.0,-340000000.0,-409000000.0,-49000000.0,
Gain On Sale Of Business,3000000.0,5000000.0,25000000.0,6000000.0,
Other Special Charges,185000000.0,118000000.0,8000000.0,-26000000.0,
Impairment Of Capital Assets,0.0,147000000.0,426000000.0,81000000.0,
Restructuring And Mergern Acquisition,107000000.0,80000000.0,0.0,0.0,
Gain On Sale Of Security,-220000000.0,223000000.0,-69000000.0,-385000000.0,
Net Non Operating Interest Income Expense,-44000000.0,-11000000.0,-38000000.0,-217000000.0,
Interest Expense Non Operating,299000000.0,246000000.0,245000000.0,277000000.0,
Interest Income Non Operating,255000000.0,235000000.0,207000000.0,60000000.0,
Operating Income,2163000000.0,1670000000.0,1534000000.0,1189000000.0,
Operating Expense,11114000000.0,10578000000.0,9732000000.0,8821000000.0,
Other Taxes,0.0,-6000000.0,-67000000.0,0.0,
Depreciation Amortization Depletion Income Statement,887000000.0,838000000.0,807000000.0,792000000.0,
Depreciation And Amortization In Income Statement,887000000.0,838000000.0,807000000.0,792000000.0,
Amortization,40000000.0,57000000.0,59000000.0,88000000.0,
Amortization Of Intangibles Income Statement,40000000.0,57000000.0,59000000.0,88000000.0,
Depreciation Income Statement,847000000.0,781000000.0,748000000.0,704000000.0,
Research And Development,1277000000.0,1314000000.0,1358000000.0,1181000000.0,
Selling General And Administration,8950000000.0,8432000000.0,7634000000.0,6848000000.0,
Selling And Marketing Expense,8185000000.0,7627000000.0,6863000000.0,6100000000.0,
General And Administrative Expense,765000000.0,805000000.0,771000000.0,748000000.0,
Other Gand A,178000000.0,167000000.0,153000000.0,157000000.0,
Salaries And Wages,587000000.0,638000000.0,618000000.0,591000000.0,
Gross Profit,13277000000.0,12248000000.0,11266000000.0,10010000000.0,
Cost Of Revenue,1456000000.0,1443000000.0,1573000000.0,1657000000.0,
Total Revenue,14733000000.0,13691000000.0,12839000000.0,11667000000.0,
Operating Revenue,14733000000.0,13691000000.0,12839000000.0,11667000000.0,
