contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
EXPE260410P00150000,2026-03-19 14:13:43+00:00,150.0,0.93,0.0,1.2,0.0,0.0,,3,2.215824772949218,False,REGULAR,USD
EXPE260410P00155000,2026-03-17 14:09:22+00:00,155.0,0.5,0.0,2.15,0.0,0.0,,5,2.317387019042968,False,REGULAR,USD
EXPE260410P00160000,2026-04-01 16:18:12+00:00,160.0,0.1,0.0,0.8,0.0,0.0,,10,1.787110439453125,False,REGULAR,USD
EXPE260410P00165000,2026-03-30 13:30:19+00:00,165.0,0.24,0.0,0.85,0.0,0.0,1.0,54,1.6709000830078127,False,REGULAR,USD
EXPE260410P00170000,2026-04-02 13:56:23+00:00,170.0,0.12,0.0,0.75,0.0,0.0,1.0,15,1.505861845703125,False,REGULAR,USD
EXPE260410P00175000,2026-04-02 13:30:03+00:00,175.0,0.7,0.0,0.95,0.0,0.0,1.0,25,1.4384793701171876,False,REGULAR,USD
EXPE260410P00180000,2026-04-02 19:01:42+00:00,180.0,0.37,0.0,0.75,0.0,0.0,9.0,28,1.2529334228515623,False,REGULAR,USD
EXPE260410P00185000,2026-04-02 14:34:50+00:00,185.0,0.43,0.0,0.75,0.0,0.0,9.0,11,1.1298871630859377,False,REGULAR,USD
EXPE260410P00187500,2026-04-02 15:41:43+00:00,187.5,0.34,0.0,0.75,0.0,0.0,3.0,3,1.0693405908203126,False,REGULAR,USD
EXPE260410P00190000,2026-04-01 15:42:11+00:00,190.0,1.57,0.0,0.75,0.0,0.0,6.0,12,1.0087940185546875,False,REGULAR,USD
EXPE260410P00192500,2026-04-06 19:04:41+00:00,192.5,0.26,,0.75,0.0,0.0,,13,1.0991255981445316,False,REGULAR,USD
EXPE260410P00195000,2026-04-02 19:37:45+00:00,195.0,0.55,0.0,0.75,0.0,0.0,14.0,18,0.8896495410156249,False,REGULAR,USD
EXPE260410P00197500,2026-04-07 14:07:22+00:00,197.5,0.3,0.2,0.65,-0.32,-51.612904,2.0,8,0.851563984375,False,REGULAR,USD
EXPE260410P00200000,2026-04-07 15:14:27+00:00,200.0,0.57,0.25,0.9,0.06999999,13.999998,1.0,27,0.8457046679687499,False,REGULAR,USD
EXPE260410P00205000,2026-04-06 16:22:08+00:00,205.0,0.75,0.3,1.5,0.0,0.0,5.0,12,0.80664255859375,False,REGULAR,USD
EXPE260410P00207500,2026-04-06 19:52:28+00:00,207.5,0.95,0.75,1.65,0.0,0.0,10.0,11,0.8037129003906249,False,REGULAR,USD
EXPE260410P00210000,2026-04-07 14:11:11+00:00,210.0,1.52,1.05,1.6,-0.110000014,-6.7484674,1.0,45,0.754885263671875,False,REGULAR,USD
EXPE260410P00215000,2026-04-07 14:30:56+00:00,215.0,2.4,1.75,2.4,0.72000015,42.857155,3.0,49,0.72070591796875,False,REGULAR,USD
EXPE260410P00217500,2026-04-07 15:28:07+00:00,217.5,2.86,2.35,3.0,0.5899999,25.991186,123.0,15,0.7165555688476561,False,REGULAR,USD
EXPE260410P00220000,2026-04-07 13:40:02+00:00,220.0,3.66,3.0,3.8,0.8100002,28.421059,3.0,68,0.7128934960937501,False,REGULAR,USD
EXPE260410P00222500,2026-04-07 13:59:40+00:00,222.5,3.7,3.8,4.6,-1.1000001,-22.91667,1.0,19,0.7026396923828125,False,REGULAR,USD
EXPE260410P00225000,2026-04-07 15:05:05+00:00,225.0,5.6,4.9,5.7,-0.20000029,-3.4482806,2.0,43,0.7102079760742188,False,REGULAR,USD
EXPE260410P00227500,2026-04-07 14:08:06+00:00,227.5,6.9,6.1,6.7,1.3000002,23.214289,1.0,38,0.7016631396484375,False,REGULAR,USD
EXPE260410P00230000,2026-04-02 13:33:29+00:00,230.0,13.45,7.2,8.4,0.0,0.0,6.0,21,0.7093534924316407,True,REGULAR,USD
EXPE260410P00232500,2026-04-06 19:32:41+00:00,232.5,8.1,8.6,9.7,0.0,0.0,73.0,75,0.6962920996093751,True,REGULAR,USD
EXPE260410P00235000,2026-04-06 19:22:11+00:00,235.0,9.7,10.6,11.3,0.0,0.0,218.0,223,0.7170438452148438,True,REGULAR,USD
EXPE260410P00237500,2026-04-02 16:40:16+00:00,237.5,13.2,12.0,15.1,0.0,0.0,2.0,2,0.8183611914062499,True,REGULAR,USD
EXPE260410P00240000,2026-03-31 13:30:03+00:00,240.0,14.35,14.5,17.1,0.0,0.0,1.0,10,0.8732922827148437,True,REGULAR,USD
EXPE260410P00242500,2026-03-24 14:02:26+00:00,242.5,17.68,16.2,19.1,0.0,0.0,,1,0.8715833154296875,True,REGULAR,USD
EXPE260410P00245000,2026-04-06 18:14:50+00:00,245.0,18.5,18.7,21.6,0.0,0.0,1.0,136,0.945313046875,True,REGULAR,USD
EXPE260410P00250000,2026-04-06 13:39:08+00:00,250.0,24.09,23.5,26.3,0.0,0.0,2.0,134,1.049565299072266,True,REGULAR,USD
EXPE260410P00252500,2026-03-25 15:42:21+00:00,252.5,21.4,25.9,28.6,0.0,0.0,,1,1.0927779736328125,True,REGULAR,USD
EXPE260410P00255000,2026-03-30 13:30:18+00:00,255.0,20.97,28.2,31.0,0.0,0.0,3.0,16,1.1328168359375002,True,REGULAR,USD
EXPE260410P00260000,2026-03-30 13:30:18+00:00,260.0,25.52,32.4,36.0,0.0,0.0,,3,1.1853068078613282,True,REGULAR,USD
EXPE260410P00270000,2026-02-27 17:04:21+00:00,270.0,55.05,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
EXPE260410P00275000,2026-03-25 15:42:21+00:00,275.0,41.15,47.2,51.0,0.0,0.0,,0,1.4838892993164063,True,REGULAR,USD
EXPE260410P00320000,2026-03-24 14:04:04+00:00,320.0,91.75,92.5,95.9,0.0,0.0,,0,2.280277736816406,True,REGULAR,USD
EXPE260410P00335000,2026-04-01 19:55:37+00:00,335.0,109.4,107.2,110.9,0.0,0.0,1.0,0,2.4599647875976567,True,REGULAR,USD
EXPE260410P00340000,2026-04-01 19:55:37+00:00,340.0,114.38,112.1,115.9,0.0,0.0,1.0,1,2.5151404309082026,True,REGULAR,USD
