,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-01-31,VANGUARD SPECIALIZED FUNDS-Vanguard Real Estate Index Fund,0.0375,7923772,1057189645,0.0057
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0315,6651754,887477006,-0.0057
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0253,5352511,714132007,0.022
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0219,4619952,616393987,-0.0159
4,2025-12-31,COHEN & STEERS Inst. REALTY SHARES INC-Cohen & Steers Inst. Realty Sha,0.0136,2877342,383894964,0.2816
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,2731264,364405237,-0.0093
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,2701133,360385159,0.0017
7,2025-12-31,COHEN & STEERS REALTY SHARES INC-Cohen & Steers Realty Shares,0.0124,2615156,348914108,0.2065
8,2025-12-31,INVESTMENT CO OF AMERICA,0.012,2532360,337867466,1.0
9,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,2500209,333577880,-0.0185
