Date,Dividends
2005-11-28 00:00:00-05:00,0.025
2006-03-08 00:00:00-05:00,0.035
2006-05-26 00:00:00-04:00,0.035
2006-08-29 00:00:00-04:00,0.035
2006-11-28 00:00:00-05:00,0.035
2007-03-07 00:00:00-05:00,0.035
2007-05-29 00:00:00-04:00,0.035
2007-08-29 00:00:00-04:00,0.035
2007-11-28 00:00:00-05:00,0.045
2008-03-06 00:00:00-05:00,0.045
2008-05-28 00:00:00-04:00,0.045
2008-08-27 00:00:00-04:00,0.045
2008-11-25 00:00:00-05:00,0.045
2009-03-06 00:00:00-05:00,0.045
2009-05-27 00:00:00-04:00,0.045
2009-08-27 00:00:00-04:00,0.05
2009-11-24 00:00:00-05:00,0.05
2010-03-08 00:00:00-05:00,0.05
2010-05-26 00:00:00-04:00,0.05
2010-08-27 00:00:00-04:00,0.05
2010-11-26 00:00:00-05:00,0.05
2011-03-09 00:00:00-05:00,0.05
2011-05-25 00:00:00-04:00,0.05
2011-08-24 00:00:00-04:00,0.05
2011-11-23 00:00:00-05:00,0.05
2012-03-08 00:00:00-05:00,0.05
2012-05-10 00:00:00-04:00,0.05
2012-08-09 00:00:00-04:00,0.05
2012-11-07 00:00:00-05:00,0.05
2013-03-07 00:00:00-05:00,0.05
2013-05-09 00:00:00-04:00,0.05
2013-08-08 00:00:00-04:00,0.055
2013-11-06 00:00:00-05:00,0.055
2014-03-06 00:00:00-05:00,0.055
2014-05-08 00:00:00-04:00,0.055
2014-08-08 00:00:00-04:00,0.055
2014-11-06 00:00:00-05:00,0.06
2015-03-10 00:00:00-04:00,0.06
2015-05-12 00:00:00-04:00,0.06
2015-08-12 00:00:00-04:00,0.065
2015-11-06 00:00:00-05:00,0.065
2016-03-09 00:00:00-05:00,0.065
2016-05-11 00:00:00-04:00,0.07
2016-08-10 00:00:00-04:00,0.07
2016-11-08 00:00:00-05:00,0.07
2017-03-08 00:00:00-05:00,0.07
2017-05-10 00:00:00-04:00,0.075
2017-08-10 00:00:00-04:00,0.075
2017-11-09 00:00:00-05:00,0.075
2018-03-09 00:00:00-05:00,0.075
2018-05-11 00:00:00-04:00,0.08
2018-08-10 00:00:00-04:00,0.085
2018-11-08 00:00:00-05:00,0.09
2019-03-08 00:00:00-05:00,0.095
2019-05-10 00:00:00-04:00,0.1
2019-08-09 00:00:00-04:00,0.1
2019-11-07 00:00:00-05:00,0.1
2020-03-06 00:00:00-05:00,0.105
2020-05-14 00:00:00-04:00,0.105
2020-08-13 00:00:00-04:00,0.105
2020-11-06 00:00:00-05:00,0.11
2021-03-11 00:00:00-05:00,0.115
2021-05-13 00:00:00-04:00,0.115
2021-08-12 00:00:00-04:00,0.12
2021-11-10 00:00:00-05:00,0.13
2022-03-10 00:00:00-05:00,0.13
2022-05-13 00:00:00-04:00,0.14
2022-08-17 00:00:00-04:00,0.14
2022-11-16 00:00:00-05:00,0.15
2023-03-09 00:00:00-05:00,0.175
2023-05-17 00:00:00-04:00,0.2
2023-08-16 00:00:00-04:00,0.225
2023-11-15 00:00:00-05:00,0.25
2024-03-07 00:00:00-05:00,0.25
2024-05-10 00:00:00-04:00,0.3
2024-08-12 00:00:00-04:00,0.3
2024-11-14 00:00:00-05:00,0.35
2025-03-10 00:00:00-04:00,0.4
2025-05-16 00:00:00-04:00,0.45
2025-08-14 00:00:00-04:00,0.5
2025-11-13 00:00:00-05:00,0.6
2026-03-06 00:00:00-05:00,0.7
