,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.08,17967090,969144809,0.0182
1,2025-12-31,State Street Corporation,0.0563,12655125,682617425,-0.0964
2,2025-12-31,Blackrock Inc.,0.0541,12164530,656154731,0.0217
3,2025-12-31,Goldman Sachs Group Inc,0.0367,8245076,444739388,4.559
4,2025-12-31,State Of Wisconsin Investment Board,0.0346,7775600,419415853,0.0633
5,2025-12-31,Dodge & Cox Inc.,0.0323,7257827,391487178,-0.0038
6,2025-12-31,Yacktman Asset Management Lp,0.0248,5569791,300434518,-0.0395
7,2025-12-31,"Independent Franchise Partners, LLP",0.023,5174660,279121153,0.0117999995
8,2025-12-31,"Geode Capital Management, LLC",0.0174,3921008,211499166,-0.0175
9,2025-12-31,Dimensional Fund Advisors LP,0.012200001,2732798,147407120,-0.0081
