,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Preferred Shares Number,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Ordinary Shares Number,86266009.0,86265563.0,86261214.0,86255005.0,85666220.0
Share Issued,86266009.0,86265563.0,86261214.0,86255005.0,85666220.0
Net Debt,4835685000.0,4612033000.0,4310504000.0,4404069000.0,4350223000.0
Total Debt,5028307000.0,4809176000.0,4573967000.0,4600335000.0,4561252000.0
Tangible Book Value,3088909000.0,3054736000.0,3089207000.0,3032059000.0,3011772000.0
Invested Capital,8032009000.0,7778080000.0,7576714000.0,7545352000.0,7485404000.0
Working Capital,15243000.0,4696000.0,88717000.0,9736000.0,50385000.0
Net Tangible Assets,3248731000.0,3214558000.0,3249029000.0,3191881000.0,3171594000.0
Capital Lease Obligations,85207000.0,85832000.0,86460000.0,87042000.0,87620000.0
Common Stock Equity,3088909000.0,3054736000.0,3089207000.0,3032059000.0,3011772000.0
Preferred Stock Equity,159822000.0,159822000.0,159822000.0,159822000.0,159822000.0
Total Capitalization,8191831000.0,7937902000.0,7736536000.0,7705174000.0,7645226000.0
Total Equity Gross Minority Interest,3500641000.0,3465829000.0,3501291000.0,3445605000.0,3424430000.0
Minority Interest,251910000.0,251271000.0,252262000.0,253724000.0,252836000.0
Stockholders Equity,3248731000.0,3214558000.0,3249029000.0,3191881000.0,3171594000.0
Gains Losses Not Affecting Retained Earnings,2047000.0,2232000.0,2912000.0,3596000.0,4740000.0
Other Equity Adjustments,2047000.0,2232000.0,2912000.0,3596000.0,4740000.0
Retained Earnings,-1224372000.0,-1254627000.0,-1216794000.0,-1275769000.0,-1242654000.0
Additional Paid In Capital,4310365000.0,4306262000.0,4302220000.0,4303363000.0,4248824000.0
Capital Stock,160691000.0,160691000.0,160691000.0,160691000.0,160684000.0
Common Stock,869000.0,869000.0,869000.0,869000.0,862000.0
Preferred Stock,159822000.0,159822000.0,159822000.0,159822000.0,159822000.0
Total Liabilities Net Minority Interest,5629819000.0,5396396000.0,5122503000.0,5176245000.0,5100327000.0
Total Non Current Liabilities Net Minority Interest,5278801000.0,5040789000.0,4799163000.0,4847364000.0,4789079000.0
Other Non Current Liabilities,250494000.0,231613000.0,225196000.0,247029000.0,227827000.0
Long Term Debt And Capital Lease Obligation,5028307000.0,4809176000.0,4573967000.0,4600335000.0,4561252000.0
Long Term Capital Lease Obligation,85207000.0,85832000.0,86460000.0,87042000.0,87620000.0
Long Term Debt,4943100000.0,4723344000.0,4487507000.0,4513293000.0,4473632000.0
Current Liabilities,351018000.0,355607000.0,323340000.0,328881000.0,311248000.0
Payables And Accrued Expenses,351018000.0,355607000.0,323340000.0,328881000.0,311248000.0
Payables,351018000.0,355607000.0,323340000.0,328881000.0,311248000.0
Other Payable,31548000.0,31275000.0,34032000.0,34194000.0,30941000.0
Dividends Payable,99792000.0,99792000.0,97186000.0,97265000.0,96743000.0
Accounts Payable,219678000.0,224540000.0,192122000.0,197422000.0,183564000.0
Total Assets,9130460000.0,8862225000.0,8623794000.0,8621850000.0,8524757000.0
Total Non Current Assets,8764199000.0,8501922000.0,8211737000.0,8283233000.0,8163124000.0
Other Non Current Assets,354767000.0,330355000.0,291764000.0,296509000.0,286316000.0
Investments And Advances,31881000.0,32708000.0,33133000.0,32888000.0,33458000.0
Long Term Equity Investment,31881000.0,32708000.0,33133000.0,32888000.0,33458000.0
Investments In Other Ventures Under Equity Method,31881000.0,32708000.0,33133000.0,32888000.0,33458000.0
Investment Properties,8288021000.0,8048534000.0,7795803000.0,7862096000.0,7750914000.0
Net PPE,89530000.0,90325000.0,91037000.0,91740000.0,92436000.0
Gross PPE,89530000.0,90325000.0,91037000.0,91740000.0,92436000.0
Other Properties,89530000.0,90325000.0,91037000.0,91740000.0,92436000.0
Current Assets,366261000.0,360303000.0,412057000.0,338617000.0,361633000.0
Receivables,258846000.0,248992000.0,235054000.0,229393000.0,238224000.0
Notes Receivable,9091000.0,9105000.0,9118000.0,9131000.0,9144000.0
Accounts Receivable,249755000.0,239887000.0,225936000.0,220262000.0,229080000.0
Cash Cash Equivalents And Short Term Investments,107415000.0,111311000.0,177003000.0,109224000.0,123409000.0
Cash And Cash Equivalents,107415000.0,111311000.0,177003000.0,109224000.0,123409000.0
