,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,107309794.0,107060281.0,106847475.0,106609094.0,
Share Issued,107309794.0,107060281.0,106847475.0,106609094.0,
Total Debt,655335000.0,718802000.0,624389000.0,234131000.0,
Tangible Book Value,9455891000.0,7894588000.0,6593271000.0,5790487000.0,
Invested Capital,10036565000.0,8587355000.0,7247775000.0,6020404000.0,
Working Capital,3774730000.0,3011591000.0,3328651000.0,2753373000.0,
Net Tangible Assets,9455891000.0,7894588000.0,6593271000.0,5790487000.0,
Capital Lease Obligations,156763000.0,109024000.0,64083000.0,49782000.0,
Common Stock Equity,9537993000.0,7977577000.0,6687469000.0,5836055000.0,
Total Capitalization,9820586000.0,8350931000.0,7151537000.0,6020404000.0,
Total Equity Gross Minority Interest,9537993000.0,7977577000.0,6687469000.0,5836055000.0,
Stockholders Equity,9537993000.0,7977577000.0,6687469000.0,5836055000.0,
Gains Losses Not Affecting Retained Earnings,-155466000.0,-184058000.0,-174131000.0,-191817000.0,
Other Equity Adjustments,-155466000.0,-184058000.0,-174131000.0,-191817000.0,
Retained Earnings,6791339000.0,5263110000.0,3971066000.0,3140289000.0,
Additional Paid In Capital,2902013000.0,2898418000.0,2890427000.0,2887476000.0,
Capital Stock,107000.0,107000.0,107000.0,107000.0,
Common Stock,107000.0,107000.0,107000.0,107000.0,
Total Liabilities Net Minority Interest,3783317000.0,4146784000.0,3677663000.0,2415173000.0,
Total Non Current Liabilities Net Minority Interest,1529215000.0,2069342000.0,2371505000.0,1377125000.0,
Other Non Current Liabilities,35512000.0,34074000.0,44783000.0,37135000.0,
Non Current Accrued Expenses,146017000.0,134394000.0,135123000.0,128114000.0,
Tradeand Other Payables Non Current,51711000.0,49256000.0,39431000.0,13284000.0,
Non Current Deferred Liabilities,874709000.0,1382521000.0,1634375000.0,973654000.0,
Non Current Deferred Revenue,805018000.0,1327825000.0,1591604000.0,944725000.0,
Non Current Deferred Taxes Liabilities,69691000.0,54696000.0,42771000.0,28929000.0,
Long Term Debt And Capital Lease Obligation,421266000.0,469097000.0,517793000.0,224938000.0,
Long Term Capital Lease Obligation,138673000.0,95743000.0,53725000.0,40589000.0,
Long Term Debt,282593000.0,373354000.0,464068000.0,184349000.0,
Current Liabilities,2254102000.0,2077442000.0,1306158000.0,1038048000.0,
Other Current Liabilities,51168000.0,25803000.0,10042000.0,12052000.0,
Current Deferred Liabilities,1014386000.0,712000000.0,413579000.0,263215000.0,
Current Deferred Revenue,1014386000.0,712000000.0,413579000.0,263215000.0,
Current Debt And Capital Lease Obligation,234069000.0,249705000.0,106596000.0,9193000.0,
Current Capital Lease Obligation,18090000.0,13281000.0,10358000.0,9193000.0,
Current Debt,215979000.0,236424000.0,96238000.0,,3896000.0
Other Current Borrowings,215979000.0,236424000.0,96238000.0,,3896000.0
Pensionand Other Post Retirement Benefit Plans Current,67023000.0,30612000.0,55960000.0,47939000.0,
Payables And Accrued Expenses,887456000.0,1059322000.0,719981000.0,705649000.0,
Current Accrued Expenses,415590000.0,458591000.0,463888000.0,315078000.0,
Interest Payable,,,11011000.0,2920000.0,
Payables,471866000.0,600731000.0,256093000.0,390571000.0,
Total Tax Payable,66091000.0,118541000.0,48915000.0,49162000.0,
Income Tax Payable,7490000.0,77363000.0,22134000.0,29397000.0,
Accounts Payable,405775000.0,482190000.0,207178000.0,341409000.0,
Total Assets,13321310000.0,12124361000.0,10365132000.0,8251228000.0,
Total Non Current Assets,7292478000.0,7035328000.0,5730323000.0,4459807000.0,
Other Non Current Assets,555215000.0,563867000.0,545430000.0,545505000.0,
Non Current Prepaid Assets,336963000.0,283468000.0,228324000.0,102974000.0,
Non Current Deferred Assets,194672000.0,208808000.0,142819000.0,78680000.0,
Non Current Deferred Taxes Assets,194672000.0,208808000.0,142819000.0,78680000.0,
Non Current Accounts Receivable,251674000.0,338968000.0,220799000.0,56993000.0,
Goodwill And Other Intangible Assets,82102000.0,82989000.0,94198000.0,45568000.0,
Other Intangible Assets,51007000.0,54654000.0,64511000.0,31106000.0,
Goodwill,31095000.0,28335000.0,29687000.0,14462000.0,
Net PPE,5871852000.0,5557228000.0,4498753000.0,3630087000.0,
Accumulated Depreciation,-2557544000.0,-2091207000.0,-1694116000.0,-1462772000.0,
Gross PPE,8429396000.0,7648435000.0,6192869000.0,5092859000.0,
Leases,34136000.0,40300000.0,40084000.0,40160000.0,
Construction In Progress,321524000.0,858538000.0,1223998000.0,1121938000.0,
Other Properties,196058000.0,143545000.0,101468000.0,93185000.0,
Machinery Furniture Equipment,5909049000.0,4982192000.0,3754534000.0,2909268000.0,
Buildings And Improvements,1929051000.0,1584981000.0,1037421000.0,893049000.0,
Land And Improvements,39578000.0,38879000.0,35364000.0,35259000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,6028832000.0,5089033000.0,4634809000.0,3791421000.0,
Other Current Assets,48011000.0,35484000.0,33002000.0,43764000.0,
Hedging Assets Current,4001000.0,13452000.0,1778000.0,2018000.0,
Assets Held For Sale Current,,,,,0.0
Restricted Cash,0.0,8262000.0,8262000.0,3175000.0,
Prepaid Assets,109052000.0,81658000.0,69544000.0,51576000.0,
Inventory,1072928000.0,1348479000.0,1012112000.0,783296000.0,
Other Inventories,736734000.0,1084384000.0,819899000.0,621376000.0,
Raw Materials,336194000.0,264095000.0,192213000.0,161920000.0,
Receivables,1939477000.0,1808739000.0,1407622000.0,329611000.0,
Other Receivables,521392000.0,425559000.0,681545000.0,30654000.0,
Taxes Receivable,124045000.0,122131000.0,65301000.0,5274000.0,
Accounts Receivable,1294040000.0,1261049000.0,660776000.0,324337000.0,
Allowance For Doubtful Accounts Receivable,-13267000.0,-1304000.0,-1614000.0,-1042000.0,
Gross Accounts Receivable,1307307000.0,1262353000.0,662390000.0,325379000.0,
Cash Cash Equivalents And Short Term Investments,2855363000.0,1792959000.0,2102489000.0,2577981000.0,
Other Short Term Investments,51849000.0,171583000.0,155495000.0,1096712000.0,
Cash And Cash Equivalents,2803514000.0,1621376000.0,1946994000.0,1481269000.0,
Cash Equivalents,197195000.0,526580000.0,1105684000.0,4324000.0,
Cash Financial,2606319000.0,1094796000.0,841310000.0,1476945000.0,
