,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,743000000.0,767000000.0,761000000.0,781500000.0,
Share Issued,743000000.0,767000000.0,761000000.0,781500000.0,
Total Debt,996300000.0,994300000.0,992300000.0,990400000.0,
Tangible Book Value,882800000.0,1143400000.0,-625200000.0,-465600000.0,
Invested Capital,2233800000.0,2488100000.0,528900000.0,708800000.0,
Working Capital,866200000.0,1910800000.0,709300000.0,732000000.0,
Net Tangible Assets,882800000.0,1143400000.0,-625200000.0,-465600000.0,
Common Stock Equity,1237500000.0,1493800000.0,-463400000.0,-281600000.0,
Total Capitalization,1734100000.0,2488100000.0,528900000.0,708800000.0,
Total Equity Gross Minority Interest,1237500000.0,1493800000.0,-463400000.0,-281600000.0,
Minority Interest,,,,0.0,16700000.0
Stockholders Equity,1237500000.0,1493800000.0,-463400000.0,-281600000.0,
Gains Losses Not Affecting Retained Earnings,-25400000.0,-26100000.0,-18900000.0,-20200000.0,
Other Equity Adjustments,-25400000.0,-26100000.0,-18900000.0,-20200000.0,
Retained Earnings,-507900000.0,-117100000.0,-1861700000.0,-1546400000.0,
Additional Paid In Capital,1770100000.0,1636200000.0,1416400000.0,1284200000.0,
Capital Stock,700000.0,800000.0,800000.0,800000.0,
Common Stock,700000.0,800000.0,800000.0,800000.0,
Total Liabilities Net Minority Interest,9151700000.0,8269300000.0,7722300000.0,6509600000.0,
Total Non Current Liabilities Net Minority Interest,4117700000.0,4208600000.0,4003300000.0,3431200000.0,
Other Non Current Liabilities,141300000.0,129600000.0,124700000.0,149800000.0,
Tradeand Other Payables Non Current,,,,67800000.0,79500000.0
Non Current Deferred Liabilities,3479800000.0,3084700000.0,2886300000.0,2291000000.0,
Non Current Deferred Revenue,3479800000.0,3084700000.0,2886300000.0,2291000000.0,
Long Term Debt And Capital Lease Obligation,496600000.0,994300000.0,992300000.0,990400000.0,
Long Term Debt,496600000.0,994300000.0,992300000.0,990400000.0,
Current Liabilities,5034000000.0,4060700000.0,3719000000.0,3078400000.0,
Current Deferred Liabilities,3636000000.0,3276200000.0,2848700000.0,2349300000.0,
Current Deferred Revenue,3636000000.0,3276200000.0,2848700000.0,2349300000.0,
Current Debt And Capital Lease Obligation,499700000.0,,,,
Current Debt,499700000.0,,,,
Other Current Borrowings,499700000.0,,,,
Payables And Accrued Expenses,898300000.0,784500000.0,870300000.0,729100000.0,
Current Accrued Expenses,667500000.0,593600000.0,666000000.0,485700000.0,
Payables,230800000.0,190900000.0,204300000.0,243400000.0,
Accounts Payable,230800000.0,190900000.0,204300000.0,243400000.0,
Total Assets,10389200000.0,9763100000.0,7258900000.0,6228000000.0,
Total Non Current Assets,4489000000.0,3791600000.0,2830600000.0,2417600000.0,
Other Non Current Assets,125200000.0,133200000.0,150000000.0,202000000.0,
Non Current Deferred Assets,2050400000.0,1958500000.0,1474400000.0,1087600000.0,
Non Current Deferred Taxes Assets,1314900000.0,1335600000.0,868800000.0,569400000.0,
Investments And Advances,339700000.0,0.0,0.0,45500000.0,
Investmentin Financial Assets,339700000.0,0.0,0.0,45500000.0,
Available For Sale Securities,339700000.0,,,45500000.0,440800000.0
Goodwill And Other Intangible Assets,354700000.0,350400000.0,161800000.0,184000000.0,
Other Intangible Assets,97300000.0,115000000.0,35300000.0,56000000.0,
Goodwill,257400000.0,235400000.0,126500000.0,128000000.0,
Net PPE,1619000000.0,1349500000.0,1044400000.0,898500000.0,
Accumulated Depreciation,-481900000.0,-416100000.0,-353000000.0,-280200000.0,
Gross PPE,2100900000.0,1765600000.0,1397400000.0,1178700000.0,
Leases,58500000.0,64300000.0,61400000.0,53500000.0,
Construction In Progress,74600000.0,52000000.0,63300000.0,51700000.0,
Other Properties,24100000.0,31800000.0,30800000.0,19200000.0,
Machinery Furniture Equipment,377300000.0,315500000.0,294700000.0,254000000.0,
Buildings And Improvements,974000000.0,801400000.0,595500000.0,490300000.0,
Land And Improvements,592400000.0,500600000.0,351700000.0,310000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,5900200000.0,5971500000.0,4428300000.0,3810400000.0,
Other Current Assets,227000000.0,126100000.0,101100000.0,73100000.0,
Prepaid Assets,,,,,65400000.0
Inventory,399500000.0,315500000.0,484800000.0,264600000.0,
Finished Goods,334600000.0,220500000.0,385000000.0,206300000.0,
Work In Process,3000000.0,4100000.0,7700000.0,12000000.0,
Raw Materials,61900000.0,90900000.0,92100000.0,46300000.0,
Receivables,1691200000.0,1463400000.0,1402000000.0,1261700000.0,
Accounts Receivable,1691200000.0,1463400000.0,1402000000.0,1261700000.0,
Allowance For Doubtful Accounts Receivable,-7400000.0,-5900000.0,-8200000.0,-3600000.0,
Gross Accounts Receivable,1698600000.0,1469300000.0,1410200000.0,1265300000.0,
Cash Cash Equivalents And Short Term Investments,3582500000.0,4066500000.0,2440400000.0,2211000000.0,
Other Short Term Investments,1087200000.0,1190600000.0,1042500000.0,528100000.0,
Cash And Cash Equivalents,2495300000.0,2875900000.0,1397900000.0,1682900000.0,
