,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0317,4231762,352844303,-0.028199999
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0255,3405730,283969758,-0.0029
2,2025-12-31,Eaton Vance Growth Trust-Eaton Vance Atlanta Capital SMID-Cap Fund,0.0226,3014636,251360341,-0.086
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0221,2941021,245222322,-0.0397
4,2025-11-30,Columbia Fd.s Series TRT II-Columbia Seligman Technology and Informati,0.0198,2640087,220130446,0.5222
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0146,1947797,162407308,-0.1286
6,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.012999999,1737296,144855735,-0.0104
7,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128999995,1719854,143401421,0.0017
8,2025-11-30,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.0127,1691246,141016086,0.1287
9,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0119,1591911,132733534,-0.0185
