contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GEN260417C00018000,2026-04-06 16:47:49+00:00,18.0,1.41,0.9,1.85,0.0,0.0,1.0,11,0.9062509375,True,REGULAR,USD
GEN260417C00019000,2026-04-06 19:54:15+00:00,19.0,0.75,0.5,0.65,0.0,0.0,5.0,121,0.41992767578125,True,REGULAR,USD
GEN260417C00020000,2026-04-06 15:30:16+00:00,20.0,0.15,0.15,0.25,0.0,0.0,2.0,176,0.41992767578125,False,REGULAR,USD
GEN260417C00021000,2026-04-06 13:41:18+00:00,21.0,0.1,0.0,0.75,0.0,0.0,2.0,358,0.7500025,False,REGULAR,USD
GEN260417C00022000,2026-04-06 14:44:01+00:00,22.0,0.38,0.0,0.75,0.0,0.0,1.0,216,0.9414068359375,False,REGULAR,USD
GEN260417C00023000,2026-03-27 15:14:26+00:00,23.0,0.06,0.0,0.15,0.0,0.0,12.0,165,0.6992217578125001,False,REGULAR,USD
GEN260417C00024000,2026-03-26 17:13:57+00:00,24.0,0.06,0.0,0.2,0.0,0.0,2.0,241,0.87500125,False,REGULAR,USD
GEN260417C00025000,2026-03-27 18:35:26+00:00,25.0,0.15,0.0,0.45,0.0,0.0,20.0,387,1.2070352148437498,False,REGULAR,USD
GEN260417C00026000,2026-03-30 18:18:05+00:00,26.0,0.04,0.0,0.15,0.0,0.0,20.0,530,1.0390673046875003,False,REGULAR,USD
GEN260417C00027000,2026-03-30 13:33:30+00:00,27.0,0.02,0.0,0.75,0.0,0.0,4.0,175,1.6601579492187502,False,REGULAR,USD
GEN260417C00028000,2026-03-18 18:37:23+00:00,28.0,0.2,0.0,0.75,0.0,0.0,3.0,124,1.7734386328124998,False,REGULAR,USD
GEN260417C00029000,2026-03-05 19:33:08+00:00,29.0,0.06,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
GEN260417C00030000,2026-04-01 18:39:22+00:00,30.0,0.03,0.0,0.75,0.0,0.0,9.0,2011,1.986328193359375,False,REGULAR,USD
GEN260417C00031000,2026-04-02 17:08:33+00:00,31.0,0.08,0.0,0.5,0.0,0.0,4.0,266,1.88671931640625,False,REGULAR,USD
GEN260417C00032000,2026-03-09 13:44:48+00:00,32.0,0.1,0.0,0.75,0.0,0.0,2.0,278,2.177738930664062,False,REGULAR,USD
GEN260417C00033000,2026-03-13 18:32:46+00:00,33.0,0.02,0.0,0.75,0.0,0.0,25.0,124,2.2656293359374997,False,REGULAR,USD
GEN260417C00034000,2025-11-18 19:23:36+00:00,34.0,0.3,0.0,0.75,0.0,0.0,14.0,26,2.3515666210937494,False,REGULAR,USD
GEN260417C00035000,2025-10-06 15:11:12+00:00,35.0,0.45,0.0,0.75,0.0,0.0,,1,2.4335976660156247,False,REGULAR,USD
GEN260417C00036000,2026-02-03 16:21:43+00:00,36.0,0.02,0.0,0.95,0.0,0.0,2.0,2,2.6640658398437504,False,REGULAR,USD
GEN260417C00037000,2026-03-24 19:59:30+00:00,37.0,0.05,0.0,0.75,0.0,0.0,100.0,105,2.587894155273437,False,REGULAR,USD
GEN260417C00038000,2025-09-16 15:47:26+00:00,38.0,0.35,0.0,0.75,0.0,0.0,12.0,3,2.6601595996093756,False,REGULAR,USD
GEN260417C00040000,2025-11-28 15:38:02+00:00,40.0,0.05,0.0,0.05,0.0,0.0,1.0,1,1.78125109375,False,REGULAR,USD
