,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,9456000000.0,10305000000.0,7421000000.0,8344000000.0,
Repurchase Of Capital Stock,-1922000000.0,-1150000000.0,-1000000000.0,-1396000000.0,
Repayment Of Debt,-1788000000.0,-1970000000.0,-2250000000.0,-1500000000.0,
Issuance Of Debt,0.0,3464000000.0,1980000000.0,0.0,
Issuance Of Capital Stock,408000000.0,422000000.0,232000000.0,309000000.0,
Capital Expenditure,-563000000.0,-523000000.0,-585000000.0,-728000000.0,
Interest Paid Supplemental Data,1036000000.0,951000000.0,891000000.0,907000000.0,
Income Tax Paid Supplemental Data,3215000000.0,2779000000.0,3990000000.0,3136000000.0,
End Cash Position,7564000000.0,9991000000.0,6085000000.0,5412000000.0,
Beginning Cash Position,9991000000.0,6085000000.0,5412000000.0,5338000000.0,
Effect Of Exchange Rate Changes,92000000.0,-40000000.0,57000000.0,-63000000.0,
Changes In Cash,-2519000000.0,3946000000.0,616000000.0,137000000.0,
Financing Cash Flow,-7745000000.0,-3433000000.0,-5125000000.0,-6469000000.0,
Cash Flow From Continuing Financing Activities,-7745000000.0,-3433000000.0,-5126000000.0,-6469000000.0,
Net Other Financing Charges,-440000000.0,-281000000.0,-278000000.0,-173000000.0,
Cash Dividends Paid,-4003000000.0,-3918000000.0,-3809000000.0,-3709000000.0,
Common Stock Dividend Paid,-4003000000.0,-3918000000.0,-3809000000.0,-3709000000.0,
Net Common Stock Issuance,-1514000000.0,-728000000.0,-768000000.0,-1087000000.0,
Common Stock Payments,-1922000000.0,-1150000000.0,-1000000000.0,-1396000000.0,
Common Stock Issuance,408000000.0,422000000.0,232000000.0,309000000.0,
Net Issuance Payments Of Debt,-1788000000.0,1494000000.0,-270000000.0,-1500000000.0,
Net Long Term Debt Issuance,-1788000000.0,1494000000.0,-270000000.0,-1500000000.0,
Long Term Debt Payments,-1788000000.0,-1970000000.0,-2250000000.0,-1500000000.0,
Long Term Debt Issuance,0.0,3464000000.0,1980000000.0,0.0,
Investing Cash Flow,-4793000000.0,-3449000000.0,-2265000000.0,-2466000000.0,
Cash Flow From Continuing Investing Activities,-4794000000.0,-3449000000.0,-2266000000.0,-2466000000.0,
Net Other Investing Changes,3000000.0,58000000.0,,-1000000.0,19000000.0
Net Investment Purchase And Sale,-3163000000.0,1856000000.0,-528000000.0,60000000.0,
Sale Of Investment,909000000.0,2592000000.0,1844000000.0,2002000000.0,
Purchase Of Investment,-4072000000.0,-736000000.0,-2372000000.0,-1942000000.0,
Net Business Purchase And Sale,-1070000000.0,-4840000000.0,-1152000000.0,-1797000000.0,
Purchase Of Business,-1070000000.0,-4840000000.0,-1152000000.0,-1797000000.0,
Net PPE Purchase And Sale,-563000000.0,-523000000.0,-585000000.0,,
Purchase Of PPE,-563000000.0,-523000000.0,-585000000.0,,
Capital Expenditure Reported,,-523000000.0,-585000000.0,-728000000.0,-579000000.0
Operating Cash Flow,10019000000.0,10828000000.0,8006000000.0,9072000000.0,
Cash Flow From Continuing Operating Activities,10019000000.0,10828000000.0,8005000000.0,9072000000.0,
Change In Working Capital,-3948000000.0,-880000000.0,-2303000000.0,-1763000000.0,
Change In Other Working Capital,-2108000000.0,-732000000.0,-1768000000.0,-364000000.0,
Change In Payables And Accrued Expense,-126000000.0,398000000.0,111000000.0,-549000000.0,
Change In Accrued Expense,6000000.0,108000000.0,458000000.0,-775000000.0,
Change In Payable,-132000000.0,290000000.0,-347000000.0,226000000.0,
Change In Account Payable,-132000000.0,290000000.0,-347000000.0,226000000.0,
Change In Tax Payable,,,,-568000000.0,-364000000.0
Change In Income Tax Payable,,,,-568000000.0,-364000000.0
Change In Prepaid Assets,-311000000.0,-259000000.0,39000000.0,-134000000.0,
Change In Inventory,-1036000000.0,-426000000.0,-842000000.0,-310000000.0,
Change In Receivables,-367000000.0,139000000.0,157000000.0,-406000000.0,
Changes In Account Receivables,-367000000.0,139000000.0,157000000.0,-406000000.0,
Other Non Cash Items,1504000000.0,5016000000.0,1982000000.0,1724000000.0,
Stock Based Compensation,894000000.0,835000000.0,766000000.0,637000000.0,
Asset Impairment Charge,590000000.0,4180000000.0,50000000.0,2700000000.0,
Deferred Tax,160000000.0,-1844000000.0,-962000000.0,-1552000000.0,
Deferred Income Tax,160000000.0,-1844000000.0,-962000000.0,-1552000000.0,
Depreciation Amortization Depletion,2760000000.0,2767000000.0,2693000000.0,2103000000.0,
Depreciation And Amortization,2760000000.0,2767000000.0,2693000000.0,2103000000.0,
Amortization Cash Flow,2390000000.0,2386000000.0,2339000000.0,1780000000.0,
Amortization Of Intangibles,2390000000.0,2386000000.0,2339000000.0,1780000000.0,
Depreciation,370000000.0,381000000.0,354000000.0,323000000.0,
Operating Gains Losses,-451000000.0,274000000.0,167000000.0,657000000.0,
Gain Loss On Investment Securities,-451000000.0,274000000.0,167000000.0,657000000.0,
Net Income From Continuing Operations,8510000000.0,480000000.0,5613000000.0,4566000000.0,
