,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,39010858,5403393727,-0.0016
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,31285016,4333287394,0.0219
2,2026-01-31,"Invesco QQQ Trust, Series 1",0.0218,27027528,3743582754,-0.0291
3,2025-12-31,Dodge & Cox Funds-Dodge & Cox Stock Fund,0.015700001,19505112,2701652955,-0.138
4,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,15965430,2211371621,-0.0095999995
5,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,15789209,2186963251,0.0017
6,2026-01-31,Income Fund of America,0.0126,15698550,2174406074,-0.1999
7,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,14600975,2022380967,-0.0185
8,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0095999995,11903058,1648692498,0.0
9,2026-01-31,AMERICAN MUTUAL FUND,0.0094,11631175,1611033985,0.78419995
