,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0318,2491766,359524466,0.0286
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0256,2005293,289333707,0.0036000002
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.023,1806445,260642923,-0.0095999995
3,2026-01-31,AIM Sector Funds (Invesco Sector Funds)-INVESCO SMALL CAP VALUE FUND,0.0165,1296238,187027704,0.0
4,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.0150999995,1181312,170445606,0.0579
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Value Index Fund,0.0148,1164740,168054515,-0.0023
6,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.012999999,1023272,147642804,-0.0105
7,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128999995,1013080,146172251,0.0016
8,2026-01-31,AIM Sector Fd.s -INVESCO VALUE OPPORTUNITIES Fd.,0.0117999995,926858,133731709,0.0
9,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,927431,133814385,-0.0185
