,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1413000000.0,974000000.0,615000000.0,1011000000.0,
Repurchase Of Capital Stock,-163000000.0,-165000000.0,-507000000.0,-728000000.0,
Repayment Of Debt,-719000000.0,-297000000.0,-320000000.0,-87000000.0,
Issuance Of Debt,294000000.0,153000000.0,1000000000.0,127000000.0,
Capital Expenditure,-1282000000.0,-965000000.0,-1390000000.0,-1604000000.0,
Interest Paid Supplemental Data,311000000.0,310000000.0,274000000.0,275000000.0,
Income Tax Paid Supplemental Data,283000000.0,263000000.0,213000000.0,426000000.0,
End Cash Position,1526000000.0,1768000000.0,1779000000.0,1671000000.0,
Other Cash Adjustment Outside Changein Cash,-40000000.0,,,,
Beginning Cash Position,1768000000.0,1779000000.0,1671000000.0,2148000000.0,
Effect Of Exchange Rate Changes,18000000.0,-42000000.0,-14000000.0,-88000000.0,
Changes In Cash,-220000000.0,31000000.0,122000000.0,-389000000.0,
Financing Cash Flow,-1672000000.0,-1164000000.0,-883000000.0,-1649000000.0,
Cash Flow From Continuing Financing Activities,-1672000000.0,-1164000000.0,-883000000.0,-1649000000.0,
Net Other Financing Charges,-126000000.0,55000000.0,-109000000.0,-69000000.0,
Proceeds From Stock Option Exercised,41000000.0,76000000.0,42000000.0,40000000.0,
Cash Dividends Paid,-999000000.0,-986000000.0,-989000000.0,-932000000.0,
Common Stock Dividend Paid,-999000000.0,-986000000.0,-989000000.0,-932000000.0,
Net Preferred Stock Issuance,,,-507000000.0,-507000000.0,-507000000.0
Preferred Stock Payments,,,-507000000.0,-507000000.0,-507000000.0
Net Common Stock Issuance,-163000000.0,-165000000.0,,-221000000.0,-274000000.0
Common Stock Payments,-163000000.0,-165000000.0,,-221000000.0,-274000000.0
Net Issuance Payments Of Debt,-425000000.0,-144000000.0,680000000.0,40000000.0,
Net Short Term Debt Issuance,,,,-17000000.0,-144000000.0
Short Term Debt Payments,,,,-87000000.0,-144000000.0
Short Term Debt Issuance,,,,70000000.0,22000000.0
Net Long Term Debt Issuance,-425000000.0,-144000000.0,680000000.0,40000000.0,
Long Term Debt Payments,-719000000.0,-297000000.0,-320000000.0,-87000000.0,
Long Term Debt Issuance,294000000.0,153000000.0,1000000000.0,127000000.0,
Investing Cash Flow,-1243000000.0,-744000000.0,-1000000000.0,-1355000000.0,
Cash Flow From Continuing Investing Activities,-1243000000.0,-744000000.0,-1000000000.0,-1355000000.0,
Net Other Investing Changes,-9000000.0,47000000.0,23000000.0,-52000000.0,
Net Investment Purchase And Sale,182000000.0,181000000.0,317000000.0,225000000.0,
Sale Of Investment,304000000.0,279000000.0,326000000.0,300000000.0,
Purchase Of Investment,-122000000.0,-98000000.0,-9000000.0,-75000000.0,
Net Business Purchase And Sale,-134000000.0,-7000000.0,-17000000.0,76000000.0,
Sale Of Business,,,,76000000.0,103000000.0
Purchase Of Business,-134000000.0,-7000000.0,-17000000.0,,
Net PPE Purchase And Sale,,,67000000.0,,
Sale Of PPE,,,67000000.0,,
Capital Expenditure Reported,-1282000000.0,-965000000.0,-1390000000.0,-1604000000.0,
Operating Cash Flow,2695000000.0,1939000000.0,2005000000.0,2615000000.0,
Cash Flow From Continuing Operating Activities,2695000000.0,1939000000.0,2005000000.0,2615000000.0,
Taxes Refund Paid,,,99000000.0,,
Dividend Received Cfo,,,,,8000000.0
Change In Working Capital,-460000000.0,-558000000.0,-93000000.0,-79000000.0,
Change In Other Working Capital,210000000.0,-33000000.0,-47000000.0,61000000.0,
Change In Other Current Assets,-262000000.0,-107000000.0,-80000000.0,-139000000.0,
Change In Payables And Accrued Expense,584000000.0,470000000.0,-173000000.0,408000000.0,
Change In Payable,584000000.0,470000000.0,-173000000.0,408000000.0,
Change In Account Payable,584000000.0,470000000.0,-173000000.0,408000000.0,
Change In Inventory,-243000000.0,-171000000.0,157000000.0,-522000000.0,
Change In Receivables,-749000000.0,-717000000.0,50000000.0,113000000.0,
Changes In Account Receivables,-749000000.0,-717000000.0,50000000.0,113000000.0,
Other Non Cash Items,274000000.0,223000000.0,-30000000.0,80000000.0,
Stock Based Compensation,286000000.0,273000000.0,218000000.0,175000000.0,
Deferred Tax,-355000000.0,-33000000.0,-75000000.0,-46000000.0,
Deferred Income Tax,-355000000.0,-33000000.0,-75000000.0,-46000000.0,
Depreciation Amortization Depletion,1347000000.0,1350000000.0,1369000000.0,1452000000.0,
Depreciation And Amortization,1347000000.0,1350000000.0,1369000000.0,1452000000.0,
Amortization Cash Flow,110000000.0,121000000.0,122000000.0,123000000.0,
Amortization Of Intangibles,110000000.0,121000000.0,122000000.0,123000000.0,
Depreciation,1237000000.0,1229000000.0,1247000000.0,1329000000.0,
Operating Gains Losses,-139000000.0,92000000.0,-131000000.0,-353000000.0,
Pension And Employee Benefit Expense,-68000000.0,-9000000.0,-25000000.0,70000000.0,
Earnings Losses From Equity Investments,,,,,-35000000.0
Gain Loss On Investment Securities,,,,-8000000.0,23000000.0
Net Foreign Currency Exchange Gain Loss,-98000000.0,-42000000.0,-261000000.0,-542000000.0,
Net Income From Continuing Operations,1742000000.0,592000000.0,648000000.0,1386000000.0,
