,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,129943000.0,96497000.0,14473000.0,27215000.0,286120000.0,
Repurchase Of Capital Stock,0.0,0.0,-50463000.0,-97454000.0,0.0,
Repayment Of Debt,-93682000.0,-63829000.0,-24768000.0,-34435000.0,-239636000.0,
Issuance Of Debt,3653000.0,51130000.0,94266000.0,20179000.0,35010000.0,
Capital Expenditure,-59316000.0,-21881000.0,-57716000.0,-30937000.0,-53334000.0,
End Cash Position,341413000.0,300009000.0,223531000.0,187464000.0,281277000.0,
Beginning Cash Position,300009000.0,223531000.0,187464000.0,281277000.0,214177000.0,
Effect Of Exchange Rate Changes,941000.0,301000.0,5246000.0,1293000.0,-3160000.0,
Changes In Cash,40463000.0,76177000.0,30821000.0,-95106000.0,70260000.0,
Financing Cash Flow,-91425000.0,-19976000.0,18401000.0,-119719000.0,-202268000.0,
Cash Flow From Continuing Financing Activities,-91425000.0,-19976000.0,18401000.0,-119719000.0,-202268000.0,
Net Other Financing Charges,-2023000.0,-10467000.0,-1085000.0,-8601000.0,-12834000.0,
Proceeds From Stock Option Exercised,627000.0,3190000.0,451000.0,592000.0,15192000.0,
Net Common Stock Issuance,0.0,0.0,-50463000.0,-97454000.0,0.0,
Common Stock Payments,0.0,0.0,-50463000.0,-97454000.0,0.0,
Net Issuance Payments Of Debt,-90029000.0,-12699000.0,69498000.0,-14256000.0,-204626000.0,
Net Short Term Debt Issuance,4621000.0,-8119000.0,-7562000.0,-749000.0,-5680000.0,
Short Term Debt Payments,-921000.0,-17119000.0,-10186000.0,-19985000.0,-5680000.0,
Short Term Debt Issuance,5542000.0,9000000.0,2624000.0,19236000.0,0.0,
Net Long Term Debt Issuance,-94650000.0,-4580000.0,77060000.0,-13507000.0,-198946000.0,
Long Term Debt Payments,-92761000.0,-46710000.0,-14582000.0,-14450000.0,-233956000.0,
Long Term Debt Issuance,-1889000.0,42130000.0,91642000.0,943000.0,35010000.0,
Investing Cash Flow,-57371000.0,-22225000.0,-59769000.0,-33539000.0,-66926000.0,
Cash Flow From Continuing Investing Activities,-57371000.0,-22225000.0,-59769000.0,-33539000.0,-66926000.0,
Net Other Investing Changes,-336000.0,0.0,,,,
Net Investment Purchase And Sale,0.0,-379000.0,0.0,-2656000.0,-703000.0,
Sale Of Investment,0.0,0.0,0.0,0.0,0.0,
Purchase Of Investment,0.0,-379000.0,0.0,-2656000.0,-703000.0,
Net Business Purchase And Sale,-762000.0,0.0,0.0,0.0,-12956000.0,
Purchase Of Business,-762000.0,0.0,0.0,0.0,-12956000.0,
Net PPE Purchase And Sale,3043000.0,35000.0,-54000.0,54000.0,67000.0,
Sale Of PPE,3043000.0,35000.0,-54000.0,54000.0,67000.0,
Capital Expenditure Reported,-59316000.0,-21881000.0,-57716000.0,-30937000.0,-53334000.0,
Operating Cash Flow,189259000.0,118378000.0,72189000.0,58152000.0,339454000.0,
Cash Flow From Continuing Operating Activities,189259000.0,118378000.0,72189000.0,58152000.0,339454000.0,
Change In Working Capital,165271000.0,-69014000.0,-58339000.0,-51041000.0,169703000.0,
Change In Other Current Assets,13029000.0,-61128000.0,5845000.0,2145000.0,4894000.0,
Change In Payables And Accrued Expense,-35320000.0,97392000.0,126727000.0,-44333000.0,77926000.0,
Change In Accrued Expense,149026000.0,83236000.0,-35769000.0,-11326000.0,41698000.0,
Change In Payable,-184346000.0,14156000.0,162496000.0,-33007000.0,36228000.0,
Change In Account Payable,-184346000.0,14156000.0,162496000.0,-33007000.0,36228000.0,
Change In Inventory,109936000.0,-73774000.0,-142076000.0,-57203000.0,49562000.0,
Change In Receivables,77626000.0,-31504000.0,-48835000.0,48350000.0,37321000.0,
Changes In Account Receivables,77626000.0,-31504000.0,-48835000.0,48350000.0,37321000.0,
Other Non Cash Items,957000.0,1489000.0,1529000.0,1262000.0,3526000.0,
Excess Tax Benefit From Stock Based Compensation,,-566000.0,254000.0,-164000.0,,-40000.0
Stock Based Compensation,10836000.0,12751000.0,14752000.0,11608000.0,10978000.0,
Unrealized Gain Loss On Investment Securities,3472000.0,5667000.0,1524000.0,9947000.0,35068000.0,
Deferred Tax,-17740000.0,51084000.0,-14486000.0,-4182000.0,-42138000.0,
Deferred Income Tax,-17740000.0,51084000.0,-14486000.0,-4182000.0,-42138000.0,
Depreciation Amortization Depletion,51162000.0,49211000.0,48321000.0,46141000.0,43834000.0,
Depreciation And Amortization,51162000.0,49211000.0,48321000.0,46141000.0,43834000.0,
Amortization Cash Flow,25405000.0,24932000.0,25681000.0,25489000.0,24045000.0,
Amortization Of Intangibles,25405000.0,24932000.0,25681000.0,25489000.0,24045000.0,
Depreciation,25757000.0,24279000.0,22640000.0,20652000.0,19789000.0,
Operating Gains Losses,-1241000.0,1176000.0,4204000.0,303000.0,172000.0,
Gain Loss On Sale Of Business,0.0,0.0,,,,
Net Income From Continuing Operations,-23934000.0,66580000.0,74430000.0,44278000.0,117669000.0,
