,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.026600001,144423330,43394878141,-0.0063
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0216,117257749,35232435985,0.0177
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.011,59837748,17979448214,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0109,59176562,17780781656,0.0016
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0101,54712942,16439597749,-0.019299999
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0088,47967206,14412706445,0.1376
6,2026-01-31,"Invesco QQQ Trust, Series 1",0.0078,42666333,12819953128,-0.0291
7,2025-12-31,GROWTH FUND OF AMERICA,0.0057,30780237,9248537848,-0.0143
8,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0049,26685903,8018313306,-0.0197
9,2025-12-31,JPMorgan Trust II-JPMorgan Large Cap Growth Fund,0.0041,22180477,6664567951,0.113400005
