,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-53331810.0,-49365824.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.2312,0.2444,0.247934,
Normalized EBITDA,1007658000.0,1894293000.0,2157346000.0,1994308000.0,
Total Unusual Items,-253961000.0,-213520000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-253961000.0,-213520000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,65945000.0,904076000.0,1316524000.0,1182701000.0,
Reconciled Depreciation,538023000.0,407978000.0,350529000.0,347819000.0,
Reconciled Cost Of Revenue,15359443000.0,14962954000.0,14799938000.0,14355869000.0,
EBITDA,753697000.0,1680773000.0,2157346000.0,1994308000.0,
EBIT,215674000.0,1272795000.0,1806817000.0,1646489000.0,
Net Interest Income,-163506000.0,-96827000.0,-64469000.0,-73887000.0,
Interest Expense,163506000.0,96827000.0,64469000.0,73887000.0,
Normalized Income,266574190.0,1068230176.0,1316524000.0,1182701000.0,
Net Income From Continuing And Discontinued Operation,65945000.0,904076000.0,1316524000.0,1182701000.0,
Total Expenses,23085529000.0,22043833000.0,21343557000.0,20481774000.0,
Diluted Average Shares,139250000.0,139670000.0,141034000.0,142322000.0,
Basic Average Shares,138945000.0,139208000.0,140367000.0,141468000.0,
Diluted EPS,0.47,6.47,9.33,8.31,
Basic EPS,0.47,6.49,9.38,8.36,
Diluted NI Availto Com Stockholders,65945000.0,904076000.0,1316524000.0,1182701000.0,
Net Income Common Stockholders,65945000.0,904076000.0,1316524000.0,1182701000.0,
Net Income,65945000.0,904076000.0,1316524000.0,1182701000.0,
Net Income Including Noncontrolling Interests,65945000.0,904076000.0,1316524000.0,1182701000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,65945000.0,904076000.0,1316524000.0,1182701000.0,
Tax Provision,-13777000.0,271892000.0,425824000.0,389901000.0,
Pretax Income,52168000.0,1175968000.0,1742348000.0,1572602000.0,
Other Income Expense,-998938000.0,-169941000.0,59764000.0,32290000.0,
Other Non Operating Income Expenses,-744977000.0,43579000.0,59764000.0,32290000.0,
Special Income Charges,-253961000.0,-213520000.0,0.0,0.0,
Impairment Of Capital Assets,,,,0.0,0.0
Restructuring And Mergern Acquisition,253961000.0,213520000.0,0.0,0.0,
Net Non Operating Interest Income Expense,-163506000.0,-96827000.0,-64469000.0,-73887000.0,
Interest Expense Non Operating,163506000.0,96827000.0,64469000.0,73887000.0,
Operating Income,1214612000.0,1442736000.0,1747053000.0,1614199000.0,
Operating Expense,7726086000.0,7080879000.0,6543619000.0,6125905000.0,
Provision For Doubtful Accounts,37020000.0,30001000.0,25947000.0,19791000.0,
Depreciation Amortization Depletion Income Statement,538023000.0,407978000.0,350529000.0,347819000.0,
Depreciation And Amortization In Income Statement,538023000.0,407978000.0,350529000.0,347819000.0,
Selling General And Administration,7151043000.0,6642900000.0,6167143000.0,5758295000.0,
Gross Profit,8940698000.0,8523615000.0,8290672000.0,7740104000.0,
Cost Of Revenue,15359443000.0,14962954000.0,14799938000.0,14355869000.0,
Total Revenue,24300141000.0,23486569000.0,23090610000.0,22095973000.0,
Operating Revenue,24300141000.0,23486569000.0,23090610000.0,22095973000.0,
