,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1362913000.0,1238900000.0,1182741000.0,543973000.0,
Repurchase Of Capital Stock,-181011000.0,-62348000.0,-98988000.0,-201012000.0,
Capital Expenditure,-270446000.0,-193571000.0,-193524000.0,-244286000.0,
Income Tax Paid Supplemental Data,,333795000.0,302154000.0,184809000.0,131040000.0
End Cash Position,2279360000.0,2080154000.0,1694156000.0,1279912000.0,
Beginning Cash Position,2080154000.0,1694156000.0,1279912000.0,1498843000.0,
Effect Of Exchange Rate Changes,55163000.0,-26283000.0,7460000.0,-21449000.0,
Changes In Cash,144043000.0,412281000.0,406784000.0,-197482000.0,
Financing Cash Flow,-844081000.0,-626857000.0,-636509000.0,-840617000.0,
Cash Flow From Continuing Financing Activities,-844081000.0,-626857000.0,-636509000.0,-840617000.0,
Proceeds From Stock Option Exercised,815000.0,7846000.0,21248000.0,39491000.0,
Cash Dividends Paid,-663885000.0,-572355000.0,-558769000.0,-679096000.0,
Common Stock Dividend Paid,-663885000.0,-572355000.0,-558769000.0,-679096000.0,
Net Common Stock Issuance,-181011000.0,-62348000.0,-98988000.0,-201012000.0,
Common Stock Payments,-181011000.0,-62348000.0,-98988000.0,-201012000.0,
Investing Cash Flow,-645235000.0,-393333000.0,-332972000.0,-145124000.0,
Cash Flow From Continuing Investing Activities,-645235000.0,-393333000.0,-332972000.0,-145124000.0,
Net Other Investing Changes,322000.0,15034000.0,-1286000.0,495000.0,
Net Investment Purchase And Sale,-199456000.0,-198352000.0,12691000.0,112122000.0,
Sale Of Investment,640396000.0,309166000.0,183372000.0,1164116000.0,
Purchase Of Investment,-839852000.0,-507518000.0,-170681000.0,-1051994000.0,
Net Business Purchase And Sale,-175655000.0,-16444000.0,-150853000.0,-13455000.0,
Purchase Of Business,-175655000.0,-16444000.0,-150853000.0,-13455000.0,
Net Intangibles Purchase And Sale,,,-1504000.0,-1907000.0,-1942000.0
Purchase Of Intangibles,,,-1504000.0,-1907000.0,-1942000.0
Net PPE Purchase And Sale,-270446000.0,-193571000.0,-193524000.0,-244286000.0,
Sale Of PPE,,,218000.0,2402000.0,35000.0
Purchase Of PPE,-270446000.0,-193571000.0,-193524000.0,-244286000.0,
Operating Cash Flow,1633359000.0,1432471000.0,1376265000.0,788259000.0,
Cash Flow From Continuing Operating Activities,1633359000.0,1432471000.0,1376265000.0,788259000.0,
Change In Working Capital,-433446000.0,-229719000.0,173673000.0,-275730000.0,
Change In Other Working Capital,-49183000.0,42299000.0,-30291000.0,51100000.0,
Change In Other Current Liabilities,85206000.0,24546000.0,52188000.0,-71756000.0,
Change In Other Current Assets,1921000.0,-42130000.0,7887000.0,72185000.0,
Change In Payables And Accrued Expense,-30518000.0,120637000.0,28503000.0,-131268000.0,
Change In Payable,-30518000.0,120637000.0,28503000.0,-131268000.0,
Change In Account Payable,-30518000.0,120637000.0,28503000.0,-131268000.0,
Change In Tax Payable,,,,,5894000.0
Change In Income Tax Payable,,,,,5894000.0
Change In Inventory,-218063000.0,-178815000.0,244506000.0,-363327000.0,
Change In Receivables,-222809000.0,-196256000.0,-129120000.0,167336000.0,
Changes In Account Receivables,-222809000.0,-196256000.0,-129120000.0,167336000.0,
Stock Based Compensation,166003000.0,137162000.0,101422000.0,76801000.0,
Deferred Tax,82546000.0,-88137000.0,-340774000.0,-143286000.0,
Deferred Income Tax,82546000.0,-88137000.0,-340774000.0,-143286000.0,
Depreciation Amortization Depletion,188759000.0,179735000.0,177572000.0,163853000.0,
Depreciation And Amortization,188759000.0,179735000.0,177572000.0,163853000.0,
Amortization Cash Flow,36148000.0,39241000.0,45225000.0,45110000.0,
Amortization Of Intangibles,36148000.0,39241000.0,45225000.0,45110000.0,
Depreciation,152611000.0,140494000.0,132347000.0,118743000.0,
Operating Gains Losses,-34390000.0,21994000.0,-25264000.0,-6964000.0,
Gain Loss On Investment Securities,899000.0,8000.0,62000.0,986000.0,
Net Foreign Currency Exchange Gain Loss,-36170000.0,26889000.0,-25541000.0,-5867000.0,
Gain Loss On Sale Of PPE,881000.0,-4903000.0,215000.0,-2083000.0,
Net Income From Continuing Operations,1663887000.0,1411436000.0,1289636000.0,973585000.0,
