,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,269000000.0,339000000.0,202000000.0,521000000.0,170000000.0,
Repurchase Of Capital Stock,-247000000.0,-291000000.0,-226000000.0,-281000000.0,-462000000.0,
Repayment Of Debt,-3000000.0,0.0,-1000000.0,-502000000.0,-1000000.0,
Issuance Of Debt,126000000.0,27000000.0,62000000.0,1000000.0,0.0,
Capital Expenditure,-126000000.0,-258000000.0,-175000000.0,-125000000.0,-258000000.0,
End Cash Position,585000000.0,535000000.0,597000000.0,666000000.0,1036000000.0,
Beginning Cash Position,535000000.0,597000000.0,666000000.0,1036000000.0,1448000000.0,
Effect Of Exchange Rate Changes,-17000000.0,-1000000.0,15000000.0,7000000.0,-17000000.0,
Changes In Cash,67000000.0,-61000000.0,-84000000.0,-377000000.0,-395000000.0,
Financing Cash Flow,-226000000.0,-398000000.0,-303000000.0,-898000000.0,-565000000.0,
Cash Flow From Continuing Financing Activities,-226000000.0,-398000000.0,-303000000.0,-898000000.0,-565000000.0,
Net Other Financing Charges,-6000000.0,-1000000.0,-28000000.0,-3000000.0,-6000000.0,
Proceeds From Stock Option Exercised,13000000.0,0.0,0.0,2000000.0,4000000.0,
Cash Dividends Paid,-109000000.0,-133000000.0,-110000000.0,-115000000.0,-100000000.0,
Common Stock Dividend Paid,,,-110000000.0,-115000000.0,,
Net Common Stock Issuance,-247000000.0,-291000000.0,-226000000.0,-281000000.0,-462000000.0,
Common Stock Payments,-247000000.0,-291000000.0,-226000000.0,-281000000.0,-462000000.0,
Net Issuance Payments Of Debt,123000000.0,27000000.0,61000000.0,-501000000.0,-1000000.0,
Net Long Term Debt Issuance,-2000000.0,27000000.0,61000000.0,-501000000.0,-1000000.0,
Long Term Debt Payments,-3000000.0,0.0,-1000000.0,-502000000.0,-1000000.0,
Long Term Debt Issuance,1000000.0,27000000.0,62000000.0,1000000.0,0.0,
Investing Cash Flow,-102000000.0,-260000000.0,-158000000.0,-125000000.0,-258000000.0,
Cash Flow From Continuing Investing Activities,-102000000.0,-260000000.0,-158000000.0,-125000000.0,-258000000.0,
Net Other Investing Changes,24000000.0,-2000000.0,,,0.0,3000000.0
Capital Expenditure Reported,-126000000.0,-258000000.0,-175000000.0,-125000000.0,-258000000.0,
Operating Cash Flow,395000000.0,597000000.0,377000000.0,646000000.0,428000000.0,
Cash Flow From Continuing Operating Activities,395000000.0,597000000.0,377000000.0,646000000.0,428000000.0,
Change In Working Capital,-165000000.0,-63000000.0,-250000000.0,50000000.0,-141000000.0,
Change In Other Working Capital,38000000.0,-5000000.0,-143000000.0,106000000.0,61000000.0,
Change In Other Current Liabilities,4000000.0,-29000000.0,-43000000.0,-27000000.0,-7000000.0,
Change In Payables And Accrued Expense,-108000000.0,18000000.0,59000000.0,112000000.0,-95000000.0,
Change In Accrued Expense,34000000.0,64000000.0,-18000000.0,-42000000.0,-16000000.0,
Change In Payable,-142000000.0,-46000000.0,77000000.0,154000000.0,-79000000.0,
Change In Account Payable,-142000000.0,-46000000.0,77000000.0,154000000.0,-79000000.0,
Change In Prepaid Assets,-41000000.0,1000000.0,-14000000.0,-19000000.0,-10000000.0,
Change In Inventory,-120000000.0,-8000000.0,-25000000.0,6000000.0,-163000000.0,
Change In Receivables,62000000.0,-40000000.0,-84000000.0,-128000000.0,73000000.0,
Changes In Account Receivables,62000000.0,-40000000.0,-84000000.0,-128000000.0,73000000.0,
Other Non Cash Items,20000000.0,21000000.0,21000000.0,20000000.0,23000000.0,
Stock Based Compensation,15000000.0,14000000.0,23000000.0,12000000.0,14000000.0,
Provisionand Write Offof Assets,3000000.0,7000000.0,6000000.0,7000000.0,5000000.0,
Deferred Tax,-21000000.0,36000000.0,5000000.0,-4000000.0,-32000000.0,
Deferred Income Tax,-21000000.0,36000000.0,5000000.0,-4000000.0,-32000000.0,
Depreciation Amortization Depletion,64000000.0,65000000.0,64000000.0,61000000.0,62000000.0,
Depreciation And Amortization,64000000.0,65000000.0,64000000.0,61000000.0,62000000.0,
Net Income From Continuing Operations,479000000.0,321000000.0,508000000.0,500000000.0,497000000.0,
