,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.227419,0.347,0.232,0.239,0.200965
Normalized EBITDA,704000000.0,577000000.0,745000000.0,739000000.0,701000000.0
Net Income From Continuing Operation Net Minority Interest,451000000.0,294000000.0,482000000.0,479000000.0,475000000.0
Reconciled Depreciation,64000000.0,65000000.0,64000000.0,61000000.0,62000000.0
Reconciled Cost Of Revenue,2679000000.0,2859000000.0,2799000000.0,2596000000.0,2557000000.0
EBITDA,704000000.0,577000000.0,745000000.0,739000000.0,701000000.0
EBIT,640000000.0,512000000.0,681000000.0,678000000.0,639000000.0
Net Interest Income,-20000000.0,-20000000.0,-20000000.0,-21000000.0,-17000000.0
Interest Expense,20000000.0,20000000.0,20000000.0,21000000.0,17000000.0
Normalized Income,451000000.0,294000000.0,482000000.0,479000000.0,475000000.0
Net Income From Continuing And Discontinued Operation,451000000.0,294000000.0,482000000.0,479000000.0,475000000.0
Total Expenses,3791000000.0,4146000000.0,3876000000.0,3634000000.0,3600000000.0
Total Operating Income As Reported,634000000.0,511000000.0,678000000.0,672000000.0,633000000.0
Diluted Average Shares,47600000.0,47900000.0,48100000.0,48300000.0,48700000.0
Basic Average Shares,47500000.0,47800000.0,48000000.0,48200000.0,48600000.0
Diluted EPS,9.44,6.12,9.97,9.86,9.71
Basic EPS,9.45,6.13,9.99,9.88,9.74
Diluted NI Availto Com Stockholders,451000000.0,294000000.0,482000000.0,479000000.0,475000000.0
Net Income Common Stockholders,451000000.0,294000000.0,482000000.0,479000000.0,475000000.0
Net Income,451000000.0,294000000.0,482000000.0,479000000.0,475000000.0
Minority Interests,-28000000.0,-27000000.0,-26000000.0,-21000000.0,-22000000.0
Net Income Including Noncontrolling Interests,479000000.0,321000000.0,508000000.0,500000000.0,497000000.0
Net Income Continuous Operations,479000000.0,321000000.0,508000000.0,500000000.0,497000000.0
Tax Provision,141000000.0,171000000.0,153000000.0,157000000.0,125000000.0
Pretax Income,620000000.0,492000000.0,661000000.0,657000000.0,622000000.0
Other Income Expense,6000000.0,1000000.0,3000000.0,6000000.0,6000000.0
Other Non Operating Income Expenses,6000000.0,1000000.0,3000000.0,6000000.0,6000000.0
Net Non Operating Interest Income Expense,-20000000.0,-20000000.0,-20000000.0,-21000000.0,-17000000.0
Interest Expense Non Operating,20000000.0,20000000.0,20000000.0,21000000.0,17000000.0
Operating Income,634000000.0,511000000.0,678000000.0,672000000.0,633000000.0
Operating Expense,1112000000.0,1287000000.0,1077000000.0,1038000000.0,1043000000.0
Selling General And Administration,1112000000.0,1287000000.0,1077000000.0,1038000000.0,1043000000.0
Gross Profit,1746000000.0,1798000000.0,1755000000.0,1710000000.0,1676000000.0
Cost Of Revenue,2679000000.0,2859000000.0,2799000000.0,2596000000.0,2557000000.0
Total Revenue,4425000000.0,4657000000.0,4554000000.0,4306000000.0,4233000000.0
Operating Revenue,4425000000.0,4657000000.0,4554000000.0,4306000000.0,4233000000.0
