,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1762000000.0,1793000000.0,1251000000.0,947000000.0,1900000000.0,
Repurchase Of Capital Stock,-400000000.0,-400000000.0,-415000000.0,-400000000.0,-414000000.0,
Capital Expenditure,-46000000.0,-45000000.0,-40000000.0,-38000000.0,,-60000000.0
Interest Paid Supplemental Data,42000000.0,61000000.0,42000000.0,61000000.0,43000000.0,
Income Tax Paid Supplemental Data,236000000.0,103000000.0,520000000.0,4000000.0,149000000.0,
End Cash Position,177000000.0,206000000.0,219000000.0,216000000.0,234000000.0,
Beginning Cash Position,206000000.0,219000000.0,216000000.0,234000000.0,281000000.0,
Effect Of Exchange Rate Changes,2000000.0,8000000.0,-2000000.0,6000000.0,-18000000.0,
Changes In Cash,-31000000.0,-21000000.0,5000000.0,-24000000.0,-29000000.0,
Financing Cash Flow,-540000000.0,-544000000.0,-543000000.0,-608000000.0,-547000000.0,
Cash Flow From Continuing Financing Activities,-540000000.0,-544000000.0,-543000000.0,-608000000.0,-547000000.0,
Net Other Financing Charges,7000000.0,-2000000.0,5000000.0,1000000.0,3000000.0,
Proceeds From Stock Option Exercised,4000000.0,11000000.0,21000000.0,-54000000.0,6000000.0,
Cash Dividends Paid,-151000000.0,-153000000.0,-154000000.0,-155000000.0,-142000000.0,
Preferred Stock Dividend Paid,-5000000.0,-6000000.0,-5000000.0,-5000000.0,-5000000.0,
Common Stock Dividend Paid,-146000000.0,-147000000.0,-149000000.0,-150000000.0,-137000000.0,
Net Common Stock Issuance,-400000000.0,-400000000.0,-415000000.0,-400000000.0,-414000000.0,
Common Stock Payments,-400000000.0,-400000000.0,-415000000.0,-400000000.0,-414000000.0,
Investing Cash Flow,-1299000000.0,-1315000000.0,-743000000.0,-401000000.0,-1356000000.0,
Cash Flow From Continuing Investing Activities,-1299000000.0,-1315000000.0,-743000000.0,-401000000.0,-1356000000.0,
Net Other Investing Changes,-27000000.0,-9000000.0,-29000000.0,-24000000.0,19000000.0,
Net Investment Purchase And Sale,-813000000.0,-907000000.0,-365000000.0,-258000000.0,-1343000000.0,
Sale Of Investment,2791000000.0,2397000000.0,2584000000.0,2929000000.0,2883000000.0,
Purchase Of Investment,-3604000000.0,-3304000000.0,-2949000000.0,-3187000000.0,-4226000000.0,
Net Business Purchase And Sale,-203000000.0,-201000000.0,-209000000.0,-121000000.0,-87000000.0,
Sale Of Business,124000000.0,52000000.0,59000000.0,56000000.0,102000000.0,
Purchase Of Business,-327000000.0,-253000000.0,-268000000.0,-177000000.0,-189000000.0,
Net PPE Purchase And Sale,-46000000.0,-45000000.0,-40000000.0,-38000000.0,26000000.0,
Purchase Of PPE,-46000000.0,-45000000.0,-40000000.0,-38000000.0,26000000.0,
Operating Cash Flow,1808000000.0,1838000000.0,1291000000.0,985000000.0,1874000000.0,
Cash Flow From Continuing Operating Activities,1808000000.0,1838000000.0,1291000000.0,985000000.0,1874000000.0,
Change In Working Capital,484000000.0,706000000.0,213000000.0,147000000.0,797000000.0,
Change In Other Working Capital,240000000.0,224000000.0,-200000000.0,-504000000.0,42000000.0,
Change In Receivables,107000000.0,131000000.0,-256000000.0,-464000000.0,46000000.0,
Changes In Account Receivables,107000000.0,131000000.0,-256000000.0,-464000000.0,46000000.0,
Other Non Cash Items,-616000000.0,-674000000.0,-646000000.0,-540000000.0,-468000000.0,
Unrealized Gain Loss On Investment Securities,,-20000000.0,,,,-26000000.0
Amortization Of Securities,645000000.0,639000000.0,625000000.0,607000000.0,591000000.0,
Depreciation And Amortization,135000000.0,75000000.0,94000000.0,92000000.0,84000000.0,
Operating Gains Losses,-11000000.0,32000000.0,30000000.0,49000000.0,-73000000.0,
Gain Loss On Investment Securities,-11000000.0,32000000.0,30000000.0,49000000.0,-73000000.0,
Net Income From Continuing Operations,1131000000.0,1080000000.0,995000000.0,630000000.0,853000000.0,
