,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-3245000.0,-957936.062815,-17265957.446809,1375432.525952,
Tax Rate For Calcs,0.295,0.136848,0.31974,0.275087,
Normalized EBITDA,2880000000.0,2505000000.0,2357000000.0,2306000000.0,
Total Unusual Items,-11000000.0,-7000000.0,-54000000.0,5000000.0,
Total Unusual Items Excluding Goodwill,-11000000.0,-7000000.0,-54000000.0,5000000.0,
Net Income From Continuing Operation Net Minority Interest,1457000000.0,1535000000.0,1141000000.0,1255000000.0,
Reconciled Depreciation,177000000.0,146000000.0,147000000.0,162000000.0,
Reconciled Cost Of Revenue,8644000000.0,8111000000.0,7305000000.0,6075000000.0,
EBITDA,2869000000.0,2498000000.0,2303000000.0,2311000000.0,
EBIT,2692000000.0,2352000000.0,2156000000.0,2149000000.0,
Net Interest Income,-620000000.0,-569000000.0,-464000000.0,-415000000.0,
Interest Expense,620000000.0,569000000.0,464000000.0,415000000.0,
Normalized Income,1464755000.0,1541042063.937185,1177734042.553191,1251375432.525952,
Net Income From Continuing And Discontinued Operation,1457000000.0,1535000000.0,1141000000.0,1255000000.0,
Total Expenses,9346000000.0,8809000000.0,7972000000.0,6679000000.0,
Total Operating Income As Reported,2693000000.0,2370000000.0,2225000000.0,2094000000.0,
Diluted Average Shares,238000000.0,250000000.0,264000000.0,277000000.0,
Basic Average Shares,236000000.0,248000000.0,262000000.0,275000000.0,
Diluted EPS,6.12,6.14,4.33,4.53,
Basic EPS,6.18,6.2,4.36,4.56,
Diluted NI Availto Com Stockholders,1457000000.0,1535000000.0,1141000000.0,1255000000.0,
Net Income Common Stockholders,1457000000.0,1535000000.0,1141000000.0,1255000000.0,
Net Income,1457000000.0,1535000000.0,1141000000.0,1255000000.0,
Minority Interests,-4000000.0,-4000000.0,-10000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,1461000000.0,1539000000.0,1151000000.0,1257000000.0,
Net Income Continuous Operations,1461000000.0,1539000000.0,1151000000.0,1257000000.0,
Tax Provision,611000000.0,244000000.0,541000000.0,477000000.0,
Pretax Income,2072000000.0,1783000000.0,1692000000.0,1734000000.0,
Other Income Expense,-1000000.0,-13000000.0,-107000000.0,55000000.0,
Other Non Operating Income Expenses,10000000.0,-6000000.0,39000000.0,50000000.0,
Special Income Charges,0.0,5000000.0,-38000000.0,0.0,
Gain On Sale Of Ppe,0.0,5000000.0,0.0,0.0,
Other Special Charges,,,,,69000000.0
Impairment Of Capital Assets,0.0,0.0,38000000.0,0.0,
Restructuring And Mergern Acquisition,,,,0.0,0.0
Earnings From Equity Interest,0.0,0.0,-92000000.0,0.0,
Gain On Sale Of Security,-11000000.0,-12000000.0,-16000000.0,5000000.0,
Net Non Operating Interest Income Expense,-620000000.0,-569000000.0,-464000000.0,-415000000.0,
Interest Expense Non Operating,620000000.0,569000000.0,464000000.0,415000000.0,
Operating Income,2693000000.0,2365000000.0,2263000000.0,2094000000.0,
Operating Expense,702000000.0,698000000.0,667000000.0,604000000.0,
Other Operating Expenses,132000000.0,137000000.0,112000000.0,60000000.0,
Depreciation Amortization Depletion Income Statement,177000000.0,146000000.0,147000000.0,162000000.0,
Depreciation And Amortization In Income Statement,177000000.0,146000000.0,147000000.0,162000000.0,
Selling General And Administration,393000000.0,415000000.0,408000000.0,382000000.0,
General And Administrative Expense,393000000.0,415000000.0,408000000.0,382000000.0,
Other Gand A,393000000.0,415000000.0,408000000.0,382000000.0,
Gross Profit,3395000000.0,3063000000.0,2930000000.0,2698000000.0,
Cost Of Revenue,8644000000.0,8111000000.0,7305000000.0,6075000000.0,
Total Revenue,12039000000.0,11174000000.0,10235000000.0,8773000000.0,
Operating Revenue,4702000000.0,4514000000.0,4230000000.0,3634000000.0,
