,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0319,7302133,2214809942,-0.0134000005
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0256,5861425,1777828802,0.01
2,2026-01-31,"Principal Funds, Inc-MidCap Fund",0.0225,5145775,1560765002,-0.1075
3,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.013099999,2991041,907212638,-0.0094
4,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128999995,2958026,897198858,0.0017
5,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.012,2738171,830514639,-0.0185
6,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0117,2675802,811597498,-0.062
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0111,2529706,767285120,-0.0276
8,2025-12-31,"T. Rowe Price Mid-Cap Growth Fund, Inc.",0.0091,2090500,634069549,-0.0014
9,2026-02-28,Fidelity Magellan Fund,0.0086,1958576,594055681,-0.041100003
