,2025-10-31,2024-10-31,2023-10-31,2022-10-31,2021-10-31
Free Cash Flow,2800000000.0,3157000000.0,2978000000.0,3698000000.0,
Repurchase Of Capital Stock,-850000000.0,-2100000000.0,-100000000.0,-4297000000.0,
Repayment Of Debt,-1387000000.0,-213000000.0,-1710000000.0,-1093000000.0,
Issuance Of Debt,1385000000.0,380000000.0,255000000.0,4175000000.0,
Capital Expenditure,-897000000.0,-592000000.0,-593000000.0,-765000000.0,
Interest Paid Supplemental Data,437000000.0,441000000.0,548000000.0,305000000.0,
Income Tax Paid Supplemental Data,535000000.0,649000000.0,398000000.0,749000000.0,
End Cash Position,3713000000.0,3253000000.0,3232000000.0,3145000000.0,
Beginning Cash Position,3253000000.0,3232000000.0,3145000000.0,4299000000.0,
Changes In Cash,460000000.0,21000000.0,87000000.0,-1154000000.0,
Financing Cash Flow,-2060000000.0,-3082000000.0,-2894000000.0,-2068000000.0,
Cash Flow From Continuing Financing Activities,-2060000000.0,-3082000000.0,-2894000000.0,-2068000000.0,
Net Other Financing Charges,6000000.0,,-203000000.0,279000000.0,
Proceeds From Stock Option Exercised,-126000000.0,-74000000.0,-99000000.0,-95000000.0,
Cash Dividends Paid,-1088000000.0,-1075000000.0,-1037000000.0,-1037000000.0,
Common Stock Dividend Paid,-1088000000.0,-1075000000.0,-1037000000.0,-1037000000.0,
Net Common Stock Issuance,-850000000.0,-2100000000.0,-100000000.0,-4297000000.0,
Common Stock Payments,-850000000.0,-2100000000.0,-100000000.0,-4297000000.0,
Net Issuance Payments Of Debt,-2000000.0,167000000.0,-1455000000.0,3082000000.0,
Net Short Term Debt Issuance,0.0,0.0,-10000000.0,-400000000.0,
Short Term Debt Payments,0.0,0.0,-10000000.0,-400000000.0,
Short Term Debt Issuance,,,,,400000000.0
Net Long Term Debt Issuance,-2000000.0,167000000.0,-1445000000.0,3482000000.0,
Long Term Debt Payments,-1387000000.0,-213000000.0,-1700000000.0,-693000000.0,
Long Term Debt Issuance,1385000000.0,380000000.0,255000000.0,4175000000.0,
Investing Cash Flow,-1177000000.0,-646000000.0,-590000000.0,-3549000000.0,
Cash Flow From Continuing Investing Activities,-1177000000.0,-646000000.0,-590000000.0,-3549000000.0,
Net Other Investing Changes,-264000000.0,,,14000000.0,148000000.0
Net Investment Purchase And Sale,34000000.0,4000000.0,10000000.0,-43000000.0,
Sale Of Investment,74000000.0,8000000.0,21000000.0,9000000.0,
Purchase Of Investment,-40000000.0,-4000000.0,-11000000.0,-52000000.0,
Net Business Purchase And Sale,-50000000.0,-58000000.0,-7000000.0,-2755000000.0,
Sale Of Business,66000000.0,0.0,0.0,,
Purchase Of Business,-116000000.0,-58000000.0,-7000000.0,-2755000000.0,
Net PPE Purchase And Sale,-897000000.0,-592000000.0,-593000000.0,-765000000.0,
Sale Of PPE,,,16000000.0,26000000.0,0.0
Purchase Of PPE,-897000000.0,-592000000.0,-593000000.0,-765000000.0,
Operating Cash Flow,3697000000.0,3749000000.0,3571000000.0,4463000000.0,
Cash Flow From Continuing Operating Activities,3697000000.0,3749000000.0,3571000000.0,4463000000.0,
Change In Working Capital,-785000000.0,-449000000.0,-574000000.0,-1062000000.0,
Change In Other Working Capital,-444000000.0,-1343000000.0,-170000000.0,-1497000000.0,
Change In Payables And Accrued Expense,1142000000.0,2840000000.0,-1240000000.0,-909000000.0,
Change In Accrued Expense,,,,-245000000.0,-205000000.0
Change In Payable,1142000000.0,2840000000.0,-1240000000.0,-909000000.0,
Change In Account Payable,1142000000.0,2840000000.0,-1240000000.0,-909000000.0,
Change In Inventory,-828000000.0,-852000000.0,668000000.0,214000000.0,
Change In Receivables,-655000000.0,-1094000000.0,168000000.0,1130000000.0,
Changes In Account Receivables,-524000000.0,-929000000.0,278000000.0,1285000000.0,
Other Non Cash Items,521000000.0,263000000.0,517000000.0,693000000.0,
Stock Based Compensation,522000000.0,452000000.0,438000000.0,343000000.0,
Deferred Tax,-6000000.0,-122000000.0,-923000000.0,577000000.0,
Deferred Income Tax,-6000000.0,-122000000.0,-923000000.0,577000000.0,
Depreciation Amortization Depletion,916000000.0,830000000.0,850000000.0,780000000.0,
Depreciation And Amortization,916000000.0,830000000.0,850000000.0,780000000.0,
Depreciation,916000000.0,830000000.0,850000000.0,,
Operating Gains Losses,,,,,-37000000.0
Pension And Employee Benefit Expense,,,0.0,0.0,-37000000.0
Net Income From Continuing Operations,2529000000.0,2775000000.0,3263000000.0,3132000000.0,
