,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1533,108128327,2070116869,0.0036000002
1,2025-12-31,Blackrock Inc.,0.1083,76387724,1462443010,0.105100006
2,2025-12-31,Cohen & Steers Inc.,0.100200005,70675312,1353078880,-0.17629999
3,2025-12-31,State Street Corporation,0.0626,44183996,845902623,-0.0018000001
4,2025-12-31,NORGES BANK,0.0502,35420993,678134927,-0.0191
5,2025-12-31,JPMORGAN CHASE & CO,0.041300002,29128522,557665567,-0.6039
6,2025-12-31,"Geode Capital Management, LLC",0.0322,22700539,434601829,0.0222
7,2025-12-31,Invesco Ltd.,0.032,22556487,431843953,-0.098500006
8,2025-12-31,Bank of America Corporation,0.0231,16277632,311635272,0.0629
9,2025-12-31,Deutsche Bank AG,0.018,12710787,243348022,0.3682
