,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0315,4669937,970693107,0.0005
1,2025-11-30,SCHWAB STRATEGIC TRUST-Schwab US Dividend Equity ETF,0.0286,4234866,880259249,0.0070999996
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,3736287,776624618,0.0225
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0218,3225200,670390073,-0.0155
4,2026-01-31,Income Fund of America,0.0186,2750000,571615001,0.71879995
5,2025-12-31,AMERICAN BALANCED FUND,0.0171,2531584,526215051,0.0
6,2026-01-31,AMERICAN MUTUAL FUND,0.015,2228450,463205618,0.38349998
7,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0146,2160239,449027279,0.0
8,2025-12-31,GROWTH FUND OF AMERICA,0.0145000005,2142638,445368735,0.0
9,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,1906728,396332483,-0.0095
