,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-81200.0,-1171300.0,0.0,0.0,
Tax Rate For Calcs,0.203,0.221,0.221,0.213,
Normalized EBITDA,1389700000.0,1298000000.0,1158600000.0,855100000.0,
Total Unusual Items,-400000.0,-5300000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-400000.0,-5300000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,887100000.0,779000000.0,751400000.0,511300000.0,
Reconciled Depreciation,206100000.0,212100000.0,149700000.0,148500000.0,
Reconciled Cost Of Revenue,3780500000.0,3722900000.0,3495900000.0,3476300000.0,
EBITDA,1389300000.0,1292700000.0,1158600000.0,855100000.0,
EBIT,1183200000.0,1080600000.0,1008900000.0,706600000.0,
Net Interest Income,-64100000.0,-73800000.0,-36700000.0,-49600000.0,
Interest Expense,64100000.0,73800000.0,36700000.0,49600000.0,
Normalized Income,887418800.0,783128700.0,751400000.0,511300000.0,
Net Income From Continuing And Discontinued Operation,887100000.0,779000000.0,751400000.0,545900000.0,
Total Expenses,4635800000.0,4535400000.0,4345500000.0,4238800000.0,
Total Operating Income As Reported,1208800000.0,1093100000.0,1027400000.0,709100000.0,
Diluted Average Shares,53500000.0,54000000.0,54000000.0,54100000.0,
Basic Average Shares,53200000.0,53700000.0,53600000.0,53700000.0,
Diluted EPS,16.54,14.37,14.05,9.43,
Basic EPS,16.63,14.46,14.14,9.49,
Diluted NI Availto Com Stockholders,885600000.0,777500000.0,749600000.0,544500000.0,
Net Income Common Stockholders,885600000.0,777500000.0,749600000.0,544500000.0,
Otherunder Preferred Stock Dividend,1500000.0,1500000.0,1800000.0,1400000.0,
Net Income,887100000.0,779000000.0,751400000.0,545900000.0,
Minority Interests,-4800000.0,-5700000.0,-6200000.0,-5500000.0,
Net Income Including Noncontrolling Interests,891900000.0,784700000.0,757600000.0,551400000.0,
Net Income Discontinuous Operations,,0.0,0.0,34600000.0,34500000.0
Net Income Continuous Operations,891900000.0,784700000.0,757600000.0,516800000.0,
Tax Provision,227200000.0,222100000.0,214600000.0,140200000.0,
Pretax Income,1119100000.0,1006800000.0,972200000.0,657000000.0,
Other Income Expense,-25600000.0,-12500000.0,-18500000.0,-2500000.0,
Other Non Operating Income Expenses,-25200000.0,-7200000.0,-18500000.0,-2500000.0,
Special Income Charges,-400000.0,-5300000.0,0.0,0.0,
Gain On Sale Of Business,-400000.0,-5300000.0,0.0,0.0,
Other Special Charges,,,,,16800000.0
Net Non Operating Interest Income Expense,-64100000.0,-73800000.0,-36700000.0,-49600000.0,
Interest Expense Non Operating,64100000.0,73800000.0,36700000.0,49600000.0,
Operating Income,1208800000.0,1093100000.0,1027400000.0,709100000.0,
Operating Expense,855300000.0,812500000.0,849600000.0,762500000.0,
Selling General And Administration,855300000.0,812500000.0,849600000.0,762500000.0,
General And Administrative Expense,,,849600000.0,769500000.0,619200000.0
Other Gand A,,,849600000.0,762500000.0,619200000.0
Salaries And Wages,,,0.0,7000000.0,0.0
Gross Profit,2064100000.0,1905600000.0,1877000000.0,1471600000.0,
Cost Of Revenue,3780500000.0,3722900000.0,3495900000.0,3476300000.0,
Total Revenue,5844600000.0,5628500000.0,5372900000.0,4947900000.0,
Operating Revenue,5844600000.0,5628500000.0,5372900000.0,4947900000.0,
