,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1247,6609614,3283127474,0.0005
1,2025-12-31,Blackrock Inc.,0.0879,4662256,2315835806,-0.009
2,2025-12-31,"Wellington Management Group, LLP",0.047399998,2514632,1249068010,1.4042
3,2025-12-31,State Street Corporation,0.0434,2302567,1143731083,0.018
4,2025-12-31,Bank Of New York Mellon Corporation,0.040900003,2166682,1076234285,-0.0234
5,2025-12-31,Massachusetts Financial Services Co.,0.0297,1574065,781869568,-0.0493
6,2025-12-31,"Geode Capital Management, LLC",0.025999999,1376000,683486721,0.008
7,2025-12-31,Invesco Ltd.,0.023599999,1252618,622200414,-0.0579
8,2025-12-31,Price (T.Rowe) Associates Inc,0.0229,1214236,603135307,0.051999997
9,2025-12-31,Deutsche Bank AG,0.0215,1142410,567457896,0.0081
