,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-21291304.347826,-10715835.140998,-4300000.0,-31640000.0,
Tax Rate For Calcs,0.180435,0.164859,0.215,0.226,
Normalized EBITDA,2392000000.0,1907000000.0,1485000000.0,1240000000.0,
Total Unusual Items,-118000000.0,-65000000.0,-20000000.0,-140000000.0,
Total Unusual Items Excluding Goodwill,-118000000.0,-65000000.0,-20000000.0,-140000000.0,
Net Income From Continuing Operation Net Minority Interest,1508000000.0,1155000000.0,765000000.0,469000000.0,
Reconciled Depreciation,283000000.0,277000000.0,272000000.0,265000000.0,
Reconciled Cost Of Revenue,5432000000.0,5119000000.0,4773000000.0,4103000000.0,
EBITDA,2274000000.0,1842000000.0,1465000000.0,1100000000.0,
EBIT,1991000000.0,1565000000.0,1193000000.0,835000000.0,
Net Interest Income,-131000000.0,-162000000.0,-195000000.0,-223000000.0,
Interest Expense,151000000.0,182000000.0,218000000.0,229000000.0,
Interest Income,20000000.0,20000000.0,23000000.0,6000000.0,
Normalized Income,1604708695.652174,1209284164.859002,780700000.0,577360000.0,
Net Income From Continuing And Discontinued Operation,1508000000.0,1155000000.0,765000000.0,469000000.0,
Total Expenses,6137000000.0,5791000000.0,5424000000.0,4680000000.0,
Total Operating Income As Reported,2046000000.0,1633000000.0,1203000000.0,919000000.0,
Diluted Average Shares,406000000.0,410000000.0,415956582.0,421438922.0,
Basic Average Shares,404000000.0,408000000.0,412173414.0,416043332.0,
Diluted EPS,3.71,2.81,1.83,1.11,
Basic EPS,3.73,2.83,1.85,1.12,
Diluted NI Availto Com Stockholders,1506000000.0,1153000000.0,763000000.0,467000000.0,
Average Dilution Earnings,,,,0.0,0.0
Net Income Common Stockholders,1506000000.0,1153000000.0,763000000.0,467000000.0,
Preferred Stock Dividends,2000000.0,2000000.0,2000000.0,2000000.0,
Net Income,1508000000.0,1155000000.0,765000000.0,469000000.0,
Net Income Including Noncontrolling Interests,1508000000.0,1155000000.0,765000000.0,469000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,1508000000.0,1155000000.0,765000000.0,469000000.0,
Tax Provision,332000000.0,228000000.0,210000000.0,137000000.0,
Pretax Income,1840000000.0,1383000000.0,975000000.0,606000000.0,
Other Income Expense,-144000000.0,-94000000.0,-46000000.0,-154000000.0,
Other Non Operating Income Expenses,-26000000.0,-29000000.0,-26000000.0,-14000000.0,
Special Income Charges,-99000000.0,-27000000.0,0.0,-123000000.0,
Gain On Sale Of Ppe,6000000.0,-12000000.0,1000000.0,8000000.0,
Other Special Charges,15000000.0,6000000.0,-23000000.0,67000000.0,
Impairment Of Capital Assets,0.0,2000000.0,14000000.0,1000000.0,
Restructuring And Mergern Acquisition,90000000.0,7000000.0,10000000.0,63000000.0,
Gain On Sale Of Security,-19000000.0,-38000000.0,-20000000.0,-17000000.0,
Net Non Operating Interest Income Expense,-131000000.0,-162000000.0,-195000000.0,-223000000.0,
Interest Expense Non Operating,151000000.0,182000000.0,218000000.0,229000000.0,
Interest Income Non Operating,20000000.0,20000000.0,23000000.0,6000000.0,
Operating Income,2115000000.0,1639000000.0,1216000000.0,983000000.0,
Operating Expense,705000000.0,672000000.0,651000000.0,577000000.0,
Depreciation Amortization Depletion Income Statement,283000000.0,277000000.0,272000000.0,265000000.0,
Depreciation And Amortization In Income Statement,283000000.0,277000000.0,272000000.0,265000000.0,
Research And Development,37000000.0,33000000.0,36000000.0,32000000.0,
Selling General And Administration,385000000.0,362000000.0,343000000.0,280000000.0,
General And Administrative Expense,385000000.0,362000000.0,343000000.0,280000000.0,
Other Gand A,370000000.0,347000000.0,333000000.0,288000000.0,
Salaries And Wages,15000000.0,15000000.0,10000000.0,-8000000.0,
Gross Profit,2820000000.0,2311000000.0,1867000000.0,1560000000.0,
Cost Of Revenue,5432000000.0,5119000000.0,4773000000.0,4103000000.0,
Total Revenue,8252000000.0,7430000000.0,6640000000.0,5663000000.0,
Operating Revenue,8252000000.0,7430000000.0,6640000000.0,5663000000.0,
