,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1221,48937802,11506011586,-0.0041
1,2025-12-31,Blackrock Inc.,0.1178,47241701,11107232790,-0.0191
2,2025-12-31,JPMORGAN CHASE & CO,0.0692,27727872,6519238777,-0.5175
3,2025-12-31,State Street Corporation,0.0458,18365429,4317987940,0.0223
4,2025-12-31,Price (T.Rowe) Associates Inc,0.041500002,16632206,3910481205,0.2696
5,2025-12-31,"FMR, LLC",0.0387,15501464,3644626793,-0.0469
6,2025-12-31,"Geode Capital Management, LLC",0.028199999,11307538,2658571858,0.02
7,2025-12-31,Bank of America Corporation,0.026300002,10550914,2480678203,-0.03
8,2025-12-31,Massachusetts Financial Services Co.,0.024500001,9810474,2306589648,-0.1555
9,2025-12-31,NORGES BANK,0.0218,8748895,2056996495,-0.0029
