,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Dodge & Cox Inc.,0.1425,36401042,2511671898,-0.0155
1,2025-12-31,Vanguard Group Inc,0.1188,30354754,2094478026,-0.025
2,2025-12-31,Freemont Capital Pte Ltd.,0.099300005,25356381,1749590289,0.0
3,2025-12-31,Blackrock Inc.,0.0863,22034266,1520364354,0.19319999
4,2025-12-31,State Street Corporation,0.0434,11092368,765373392,0.0111
5,2025-12-31,"First Eagle Investment Management, LLC",0.0346,8831668,609385092,0.275
6,2025-12-31,Invesco Ltd.,0.0294,7519812,518867028,0.049200002
7,2025-12-31,"Geode Capital Management, LLC",0.026500002,6771894,467260686,0.026199998
8,2025-12-31,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",0.023699999,6042758,416950302,0.284
9,2025-12-31,"First Pacific Advisors, LP",0.0209,5326041,367496829,0.0861
