,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1571,94186461,2417766461,-0.0037
1,2025-12-31,Blackrock Inc.,0.111,66559577,1708584346,0.0915
2,2025-12-31,Cohen & Steers Inc.,0.0945,56667424,1454652778,-0.2007
3,2025-12-31,NORGES BANK,0.0864,51779482,1329179306,0.0026
4,2025-12-31,State Street Corporation,0.061,36537665,937921863,-0.0023
5,2025-12-31,"FMR, LLC",0.0291,17425764,447319363,-0.0404
6,2025-12-31,"Geode Capital Management, LLC",0.028299998,16934620,434711696,0.012200001
7,2025-12-31,"Principal Financial Group, Inc.",0.028099999,16852130,432594178,-0.034
8,2025-12-31,Apg Asset Management US Inc.,0.0277,16591683,425908503,-0.028800001
9,2025-12-31,Invesco Ltd.,0.0176,10539879,270558694,-0.165
