,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-159000000.0,757000000.0,692000000.0,1243000000.0,
Repurchase Of Capital Stock,-65000000.0,-23000000.0,-218000000.0,-1284000000.0,
Repayment Of Debt,-255000000.0,-141000000.0,-780000000.0,-1106000000.0,
Issuance Of Debt,409000000.0,102000000.0,783000000.0,1011000000.0,
Capital Expenditure,-1857000000.0,-921000000.0,-1141000000.0,-931000000.0,
End Cash Position,1161000000.0,1170000000.0,1113000000.0,804000000.0,
Beginning Cash Position,1170000000.0,1113000000.0,804000000.0,1295000000.0,
Effect Of Exchange Rate Changes,25000000.0,-38000000.0,10000000.0,-3000000.0,
Changes In Cash,-34000000.0,95000000.0,299000000.0,-488000000.0,
Other Cash Adjustment Inside Changein Cash,,,,0.0,0.0
Financing Cash Flow,-708000000.0,-775000000.0,-866000000.0,-2054000000.0,
Cash Flow From Continuing Financing Activities,-708000000.0,-775000000.0,-866000000.0,-2054000000.0,
Net Other Financing Charges,180000000.0,-70000000.0,-9000000.0,-2000000.0,
Cash Dividends Paid,-977000000.0,-643000000.0,-642000000.0,-673000000.0,
Common Stock Dividend Paid,-977000000.0,-643000000.0,-642000000.0,-673000000.0,
Net Common Stock Issuance,-65000000.0,-23000000.0,-218000000.0,-1284000000.0,
Common Stock Payments,-65000000.0,-23000000.0,-218000000.0,-1284000000.0,
Net Issuance Payments Of Debt,154000000.0,-39000000.0,3000000.0,-95000000.0,
Net Short Term Debt Issuance,,,-8000000.0,1000000.0,65000000.0
Net Long Term Debt Issuance,154000000.0,-39000000.0,3000000.0,-95000000.0,
Long Term Debt Payments,-255000000.0,-141000000.0,-780000000.0,-1106000000.0,
Long Term Debt Issuance,409000000.0,102000000.0,783000000.0,1011000000.0,
Investing Cash Flow,-1024000000.0,-808000000.0,-668000000.0,-608000000.0,
Cash Flow From Continuing Investing Activities,-1024000000.0,-808000000.0,-668000000.0,-608000000.0,
Net Other Investing Changes,60000000.0,22000000.0,-3000000.0,-1000000.0,
Net Investment Purchase And Sale,,0.0,0.0,311000000.0,0.0
Sale Of Investment,,0.0,0.0,311000000.0,0.0
Net Business Purchase And Sale,555000000.0,0.0,472000000.0,0.0,
Sale Of Business,555000000.0,0.0,472000000.0,0.0,
Purchase Of Business,,,0.0,0.0,-80000000.0
Net PPE Purchase And Sale,-1639000000.0,-830000000.0,-1137000000.0,-918000000.0,
Sale Of PPE,218000000.0,91000000.0,4000000.0,13000000.0,
Purchase Of PPE,-1857000000.0,-921000000.0,-1141000000.0,-931000000.0,
Capital Expenditure Reported,,,,,-549000000.0
Operating Cash Flow,1698000000.0,1678000000.0,1833000000.0,2174000000.0,
Cash Flow From Continuing Operating Activities,1698000000.0,1678000000.0,1833000000.0,2174000000.0,
Dividend Received Cfo,0.0,0.0,13000000.0,204000000.0,
Change In Working Capital,-834000000.0,-10000000.0,-2000000.0,-145000000.0,
Change In Other Working Capital,-57000000.0,7000000.0,43000000.0,28000000.0,
Change In Payables And Accrued Expense,-1005000000.0,-124000000.0,-421000000.0,151000000.0,
Change In Accrued Expense,22000000.0,16000000.0,-19000000.0,41000000.0,
Change In Interest Payable,22000000.0,16000000.0,-19000000.0,41000000.0,
Change In Payable,-1027000000.0,-140000000.0,-402000000.0,110000000.0,
Change In Account Payable,-1027000000.0,-140000000.0,-402000000.0,110000000.0,
Change In Inventory,158000000.0,12000000.0,73000000.0,-162000000.0,
Change In Receivables,70000000.0,95000000.0,303000000.0,-162000000.0,
Changes In Account Receivables,91000000.0,59000000.0,255000000.0,-59000000.0,
Other Non Cash Items,540000000.0,356000000.0,11000000.0,197000000.0,
Unrealized Gain Loss On Investment Securities,,0.0,0.0,-65000000.0,32000000.0
Asset Impairment Charge,2467000000.0,0.0,0.0,,
Deferred Tax,-855000000.0,-473000000.0,-156000000.0,-773000000.0,
Deferred Income Tax,-855000000.0,-473000000.0,-156000000.0,-773000000.0,
Depreciation Amortization Depletion,2882000000.0,1305000000.0,1432000000.0,1040000000.0,
Depreciation And Amortization,2882000000.0,1305000000.0,1432000000.0,1040000000.0,
Depreciation,,,1432000000.0,1040000000.0,1210000000.0
Operating Gains Losses,1014000000.0,-57000000.0,247000000.0,212000000.0,
Pension And Employee Benefit Expense,39000000.0,1000000.0,94000000.0,-116000000.0,
Earnings Losses From Equity Investments,,5000000.0,-108000000.0,-291000000.0,-313000000.0
Gain Loss On Investment Securities,,,,,32000000.0
Gain Loss On Sale Of PPE,-70000000.0,-58000000.0,0.0,0.0,
Gain Loss On Sale Of Business,1045000000.0,0.0,153000000.0,619000000.0,
Net Income From Continuing Operations,-3516000000.0,557000000.0,288000000.0,1504000000.0,
