contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ITW260417P00210000,2026-03-20 19:21:35+00:00,210.0,0.36,0.0,0.75,0.0,0.0,1.0,2,0.6689486230468751,False,REGULAR,USD
ITW260417P00220000,2026-03-31 13:34:51+00:00,220.0,0.05,0.0,0.75,0.0,0.0,1.0,2,0.5434615966796876,False,REGULAR,USD
ITW260417P00230000,2026-03-31 17:00:48+00:00,230.0,0.8,0.0,0.95,0.0,0.0,,101,0.5195360546875,False,REGULAR,USD
ITW260417P00240000,2026-04-06 18:01:31+00:00,240.0,0.95,0.7,1.3,0.0,0.0,24.0,731,0.41358008300781246,False,REGULAR,USD
ITW260417P00250000,2026-04-07 14:02:17+00:00,250.0,1.73,1.9,2.45,-0.31999993,-15.609753,1.0,711,0.3375310388183594,False,REGULAR,USD
ITW260417P00260000,2026-04-06 19:45:11+00:00,260.0,5.4,5.3,5.9,0.0,0.0,2.0,56,0.3051827294921875,True,REGULAR,USD
ITW260417P00270000,2026-04-01 18:19:27+00:00,270.0,10.5,10.9,13.5,0.0,0.0,2.0,41,0.36939107177734376,True,REGULAR,USD
ITW260417P00280000,2026-03-30 13:52:07+00:00,280.0,24.02,20.7,22.8,0.0,0.0,1.0,182,0.46716841430664063,True,REGULAR,USD
ITW260417P00290000,2026-03-05 17:29:37+00:00,290.0,13.5,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD
ITW260417P00300000,2026-03-02 18:57:56+00:00,300.0,14.9,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
ITW260417P00310000,2026-02-13 17:59:10+00:00,310.0,15.8,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
