,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Ordinary Shares Number,119081294.0,124253511.0,125976998.0,127393378.0,
Share Issued,119081294.0,124253511.0,125976998.0,127393378.0,
Net Debt,1001008000.0,1079559000.0,2104048000.0,2267192000.0,
Total Debt,2709857000.0,2752168000.0,3467256000.0,4165289000.0,
Tangible Book Value,-1857681000.0,-1113608000.0,951349000.0,-2518654000.0,
Invested Capital,5877263000.0,6773821000.0,9421121000.0,9467727000.0,
Working Capital,1008420000.0,815839000.0,1267792000.0,1471149000.0,
Net Tangible Assets,-1857681000.0,-1113608000.0,951349000.0,-2518654000.0,
Capital Lease Obligations,473401000.0,527814000.0,592355000.0,757618000.0,
Common Stock Equity,3640807000.0,4549467000.0,6546220000.0,6060056000.0,
Total Capitalization,5877263000.0,5898061000.0,9359691000.0,9417312000.0,
Total Equity Gross Minority Interest,4666599000.0,5387485000.0,7233061000.0,6736914000.0,
Minority Interest,1025792000.0,838018000.0,686841000.0,676858000.0,
Stockholders Equity,3640807000.0,4549467000.0,6546220000.0,6060056000.0,
Gains Losses Not Affecting Retained Earnings,-710410000.0,-699450000.0,-857954000.0,-975130000.0,
Other Equity Adjustments,-710410000.0,-699450000.0,-857954000.0,-975130000.0,
Retained Earnings,1525760000.0,2366769000.0,4542872000.0,4225784000.0,
Additional Paid In Capital,2706376000.0,2758064000.0,2735325000.0,2682009000.0,
Capital Stock,119081000.0,124084000.0,125977000.0,127393000.0,
Common Stock,119081000.0,124084000.0,125977000.0,127393000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6585936000.0,6371520000.0,7384048000.0,7923505000.0,
Total Non Current Liabilities Net Minority Interest,3235037000.0,2291779000.0,3961487000.0,4672660000.0,
Liabilities Heldfor Sale Non Current,,0.0,196447000.0,,
Preferred Securities Outside Stock Equity,,,,632522000.0,657722000.0
Employee Benefits,272069000.0,298221000.0,247277000.0,271332000.0,
Non Current Pension And Other Postretirement Benefit Plans,272069000.0,298221000.0,247277000.0,271332000.0,
Non Current Deferred Liabilities,364151000.0,237138000.0,238184000.0,436625000.0,
Non Current Deferred Taxes Liabilities,151821000.0,116655000.0,121356000.0,269077000.0,
Long Term Debt And Capital Lease Obligation,2598817000.0,1756420000.0,3279579000.0,3964703000.0,
Long Term Capital Lease Obligation,362361000.0,407826000.0,466108000.0,607447000.0,
Long Term Debt,2236456000.0,1348594000.0,2813471000.0,3357256000.0,
Current Liabilities,3350899000.0,4079741000.0,3422561000.0,3250845000.0,
Other Current Liabilities,,,628088000.0,,
Current Deferred Liabilities,940616000.0,967089000.0,709249000.0,641705000.0,
Current Deferred Revenue,940616000.0,967089000.0,709249000.0,641705000.0,
Current Debt And Capital Lease Obligation,111040000.0,995748000.0,187677000.0,200586000.0,
Current Capital Lease Obligation,111040000.0,119988000.0,126247000.0,150171000.0,
Current Debt,,875760000.0,61430000.0,50415000.0,53456000.0
Other Current Borrowings,,875760000.0,61430000.0,50415000.0,53456000.0
Payables And Accrued Expenses,2299243000.0,2116904000.0,1897547000.0,2408554000.0,
Current Accrued Expenses,921521000.0,915289000.0,859538000.0,1317970000.0,
Payables,1377722000.0,1201615000.0,1038009000.0,1090584000.0,
Dividends Payable,2438000.0,37485000.0,34342000.0,30292000.0,
Total Tax Payable,113795000.0,134990000.0,81312000.0,93500000.0,
Accounts Payable,1261489000.0,1029140000.0,922355000.0,966792000.0,
Total Assets,11252535000.0,11759005000.0,14617109000.0,14660419000.0,
Total Non Current Assets,6893216000.0,6863425000.0,9926756000.0,9938425000.0,
Other Non Current Assets,467941000.0,385458000.0,3674323000.0,504646000.0,
Non Current Deferred Assets,325814000.0,195406000.0,52956000.0,31480000.0,
Non Current Deferred Taxes Assets,325814000.0,195406000.0,52956000.0,31480000.0,
Goodwill And Other Intangible Assets,5498488000.0,5663075000.0,5594871000.0,8578710000.0,
Other Intangible Assets,717670000.0,874894000.0,950784000.0,1394052000.0,
Goodwill,4780818000.0,4788181000.0,4644087000.0,7184658000.0,
Net PPE,600973000.0,619486000.0,604606000.0,823589000.0,
Accumulated Depreciation,-657316000.0,-605092000.0,-520252000.0,-557918000.0,
Gross PPE,1258289000.0,1224578000.0,1124858000.0,1381507000.0,
Leases,174497000.0,165043000.0,152541000.0,179187000.0,
Construction In Progress,8754000.0,7183000.0,12321000.0,34880000.0,
Other Properties,1031246000.0,1006536000.0,918315000.0,1120718000.0,
Machinery Furniture Equipment,,,719167000.0,643805000.0,586302000.0
Buildings And Improvements,43792000.0,45747000.0,41569000.0,46244000.0,
Land And Improvements,0.0,69000.0,112000.0,478000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4359319000.0,4895580000.0,4690353000.0,4721994000.0,
Other Current Assets,134804000.0,155865000.0,140726000.0,176134000.0,
Assets Held For Sale Current,,0.0,1347833000.0,,
Prepaid Assets,,,,176134000.0,176228000.0
Receivables,2989067000.0,2845452000.0,2430941000.0,3405381000.0,
Other Receivables,1602814000.0,1566472000.0,1301986000.0,2005293000.0,
Accounts Receivable,1386253000.0,1278980000.0,1128955000.0,1400088000.0,
Cash Cash Equivalents And Short Term Investments,1235448000.0,1894263000.0,770853000.0,1140479000.0,
Other Short Term Investments,0.0,749468000.0,0.0,,0.0
Cash And Cash Equivalents,1235448000.0,1144795000.0,770853000.0,1140479000.0,
