,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,251274000.0,352357000.0,185574000.0,158380000.0,93346000.0,
Repurchase Of Capital Stock,-159017000.0,-232381000.0,-316997000.0,-240012000.0,-106047000.0,
Repayment Of Debt,-292541000.0,-771799000.0,-870600000.0,-1305602000.0,-870300000.0,
Issuance Of Debt,156700000.0,653500000.0,1009700000.0,1406900000.0,815300000.0,
Capital Expenditure,-134324000.0,-134072000.0,-216479000.0,-245812000.0,-224290000.0,
Interest Paid Supplemental Data,-2116000.0,36109000.0,6261000.0,26307000.0,9313000.0,
Income Tax Paid Supplemental Data,-2983000.0,5461000.0,117279000.0,3747000.0,62501000.0,
End Cash Position,17284000.0,52290000.0,50901000.0,43407000.0,46983000.0,
Beginning Cash Position,52290000.0,50901000.0,43407000.0,46983000.0,120002000.0,
Changes In Cash,-35006000.0,1389000.0,7494000.0,-3576000.0,-73019000.0,
Financing Cash Flow,-336749000.0,-393200000.0,-220530000.0,-182718000.0,-204477000.0,
Cash Flow From Continuing Financing Activities,-336749000.0,-393200000.0,-220530000.0,-182718000.0,-204477000.0,
Cash Dividends Paid,-41891000.0,-42520000.0,-42633000.0,-44004000.0,-43430000.0,
Common Stock Dividend Paid,-41891000.0,-42520000.0,-42633000.0,-44004000.0,-43430000.0,
Net Common Stock Issuance,-159017000.0,-232381000.0,-316997000.0,-240012000.0,-106047000.0,
Common Stock Payments,-159017000.0,-232381000.0,-316997000.0,-240012000.0,-106047000.0,
Net Issuance Payments Of Debt,-135841000.0,-118299000.0,139100000.0,101298000.0,-55000000.0,
Net Short Term Debt Issuance,,,,,,48100000.0
Short Term Debt Payments,,,,,,-861800000.0
Short Term Debt Issuance,,,,,,909900000.0
Net Long Term Debt Issuance,-135841000.0,-118299000.0,139100000.0,101298000.0,-55000000.0,
Long Term Debt Payments,-292541000.0,-771799000.0,-870600000.0,-1305602000.0,-870300000.0,
Long Term Debt Issuance,156700000.0,653500000.0,1009700000.0,1406900000.0,815300000.0,
Investing Cash Flow,-83855000.0,-91840000.0,-174029000.0,-225050000.0,-186178000.0,
Cash Flow From Continuing Investing Activities,-83855000.0,-91840000.0,-174029000.0,-225050000.0,-186178000.0,
Net Investment Purchase And Sale,0.0,,,,161000.0,
Sale Of Investment,0.0,,,,161000.0,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,0.0,
Sale Of Business,0.0,0.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-83855000.0,-91840000.0,-174029000.0,-225050000.0,-186339000.0,
Sale Of PPE,50469000.0,42232000.0,42450000.0,20762000.0,37951000.0,
Purchase Of PPE,-134324000.0,-134072000.0,-216479000.0,-245812000.0,-224290000.0,
Operating Cash Flow,385598000.0,486429000.0,402053000.0,404192000.0,317636000.0,
Cash Flow From Continuing Operating Activities,385598000.0,486429000.0,402053000.0,404192000.0,317636000.0,
Change In Working Capital,16819000.0,16880000.0,44241000.0,93710000.0,-61857000.0,
Change In Other Working Capital,115706000.0,-29059000.0,-77366000.0,72573000.0,-10948000.0,
Change In Other Current Assets,-140968000.0,93551000.0,29231000.0,35870000.0,-96381000.0,
Change In Payables And Accrued Expense,-28905000.0,1570000.0,71721000.0,-36070000.0,6717000.0,
Change In Accrued Expense,-25109000.0,-20223000.0,26894000.0,-32662000.0,8908000.0,
Change In Payable,-3796000.0,21793000.0,44827000.0,-3408000.0,-2191000.0,
Change In Account Payable,-3796000.0,21793000.0,44827000.0,-3408000.0,-2191000.0,
Change In Receivables,70986000.0,-49182000.0,20655000.0,21337000.0,38755000.0,
Changes In Account Receivables,70986000.0,-49182000.0,20655000.0,21337000.0,38755000.0,
Other Non Cash Items,23702000.0,23421000.0,24480000.0,24404000.0,24441000.0,
Stock Based Compensation,13058000.0,20588000.0,19663000.0,18444000.0,8310000.0,
Deferred Tax,-30055000.0,72990000.0,5179000.0,-36058000.0,-15468000.0,
Deferred Income Tax,-30055000.0,72990000.0,5179000.0,-36058000.0,-15468000.0,
Depreciation Amortization Depletion,179204000.0,179125000.0,176980000.0,179476000.0,205504000.0,
Depreciation And Amortization,179204000.0,179125000.0,176980000.0,179476000.0,205504000.0,
Operating Gains Losses,1801000.0,2576000.0,2886000.0,6476000.0,1252000.0,
Gain Loss On Sale Of PPE,1801000.0,2576000.0,2886000.0,6476000.0,1252000.0,
Net Income From Continuing Operations,181069000.0,170849000.0,128624000.0,117740000.0,155454000.0,
