,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-21186000.0,-102957746.478873,-8856000.0,-4368000.0,-5635000.0,
Tax Rate For Calcs,0.214,0.239437,0.123,0.052,0.115,
Normalized EBITDA,1013000000.0,1114000000.0,1022000000.0,843000000.0,717000000.0,
Total Unusual Items,-99000000.0,-430000000.0,-72000000.0,-84000000.0,-49000000.0,
Total Unusual Items Excluding Goodwill,-99000000.0,-430000000.0,-72000000.0,-84000000.0,-49000000.0,
Net Income From Continuing Operation Net Minority Interest,555000000.0,205000000.0,541000000.0,427000000.0,329000000.0,
Reconciled Depreciation,164000000.0,280000000.0,190000000.0,202000000.0,193000000.0,
Reconciled Cost Of Revenue,3723000000.0,4091000000.0,3806000000.0,3607000000.0,3500000000.0,
EBITDA,914000000.0,684000000.0,950000000.0,759000000.0,668000000.0,
EBIT,750000000.0,404000000.0,760000000.0,557000000.0,475000000.0,
Net Interest Income,-47000000.0,-46000000.0,-56000000.0,-58000000.0,-70000000.0,
Interest Expense,42000000.0,49000000.0,55000000.0,56000000.0,67000000.0,
Interest Income,2000000.0,11000000.0,3000000.0,2000000.0,3000000.0,
Normalized Income,632814000.0,532042253.521127,604144000.0,506632000.0,372365000.0,
Net Income From Continuing And Discontinued Operation,524000000.0,1693000000.0,701000000.0,478000000.0,419000000.0,
Total Expenses,4944000000.0,5612000000.0,5223000000.0,5034000000.0,4899000000.0,
Diluted Average Shares,614000000.0,633400000.0,657400000.0,661000000.0,665000000.0,
Basic Average Shares,611000000.0,630800000.0,655400000.0,659100000.0,662000000.0,
Diluted EPS,0.85,2.67,1.07,0.72,0.63,
Basic EPS,0.86,2.68,1.07,0.73,0.63,
Diluted NI Availto Com Stockholders,524000000.0,1693000000.0,701000000.0,478000000.0,419000000.0,
Net Income Common Stockholders,524000000.0,1693000000.0,701000000.0,478000000.0,419000000.0,
Net Income,524000000.0,1693000000.0,701000000.0,478000000.0,419000000.0,
Minority Interests,-1000000.0,-65000000.0,-77000000.0,-48000000.0,-32000000.0,
Net Income Including Noncontrolling Interests,525000000.0,1758000000.0,778000000.0,526000000.0,451000000.0,
Net Income Discontinuous Operations,-31000000.0,1488000000.0,160000000.0,51000000.0,90000000.0,
Net Income Continuous Operations,556000000.0,270000000.0,618000000.0,475000000.0,361000000.0,
Tax Provision,152000000.0,85000000.0,87000000.0,26000000.0,47000000.0,
Pretax Income,708000000.0,355000000.0,705000000.0,501000000.0,408000000.0,
Other Income Expense,-98000000.0,-429000000.0,-68000000.0,-83000000.0,-49000000.0,
Special Income Charges,-87000000.0,-398000000.0,-51000000.0,-62000000.0,-33000000.0,
Other Special Charges,,,,,,0.0
Write Off,50000000.0,-2000000.0,2000000.0,,,
Impairment Of Capital Assets,,360000000.0,0.0,22000000.0,,
Restructuring And Mergern Acquisition,37000000.0,42000000.0,49000000.0,40000000.0,33000000.0,
Earnings From Equity Interest,1000000.0,1000000.0,4000000.0,1000000.0,0.0,
Gain On Sale Of Security,-12000000.0,-32000000.0,-21000000.0,-22000000.0,-16000000.0,
Net Non Operating Interest Income Expense,-47000000.0,-46000000.0,-56000000.0,-58000000.0,-70000000.0,
Total Other Finance Cost,7000000.0,8000000.0,4000000.0,4000000.0,6000000.0,
Interest Expense Non Operating,42000000.0,49000000.0,55000000.0,56000000.0,67000000.0,
Interest Income Non Operating,2000000.0,11000000.0,3000000.0,2000000.0,3000000.0,
Operating Income,853000000.0,830000000.0,829000000.0,642000000.0,527000000.0,
Operating Expense,1221000000.0,1521000000.0,1417000000.0,1427000000.0,1399000000.0,
Selling General And Administration,1221000000.0,1521000000.0,1417000000.0,1427000000.0,1399000000.0,
Gross Profit,2074000000.0,2351000000.0,2246000000.0,2069000000.0,1926000000.0,
Cost Of Revenue,3723000000.0,4091000000.0,3806000000.0,3607000000.0,3500000000.0,
Total Revenue,5797000000.0,6442000000.0,6052000000.0,5676000000.0,5426000000.0,
Operating Revenue,5797000000.0,6442000000.0,6052000000.0,5676000000.0,5426000000.0,
