,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,2269454,364031766,-0.012
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0253,1825827,292871777,0.0168
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0228,1642399,263449009,-0.049099997
3,2025-12-31,Eaton Vance Growth Trust-Eaton Vance Atlanta Capital SMID-Cap Fund,0.013300001,961207,154182407,-0.1018
4,2026-02-28,VanEck ETF Trust-VanEck Morningstar Wide Moat ETF,0.012999999,938610,150557735,-0.0146
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,930491,149255407,-0.0104
6,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Growth Index Fund,0.0128,927282,148740668,-0.040599998
7,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,921086,147746798,0.0016
8,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.012,862509,138350755,0.0587
9,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,852614,136763547,-0.0184
