contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
JNJ260410C00125000,2026-04-07 15:40:14+00:00,125.0,112.7,112.1,113.1,-5.3700027,-4.5481515,15.0,20,2.2031294921874993,True,REGULAR,USD
JNJ260410C00130000,2026-04-07 15:40:14+00:00,130.0,107.8,106.95,108.55,-5.2899933,-4.677685,21.0,22,2.9218776953125003,True,REGULAR,USD
JNJ260410C00135000,2026-04-07 14:25:53+00:00,135.0,103.34,102.05,103.9,-4.8200073,-4.4563675,8.0,18,3.031252421875,True,REGULAR,USD
JNJ260410C00140000,2026-04-07 14:27:33+00:00,140.0,98.36,97.0,99.65,-4.8199997,-4.6714478,26.0,14,2.3632853417968747,True,REGULAR,USD
JNJ260410C00145000,2026-04-07 14:27:33+00:00,145.0,93.38,92.05,94.75,-4.840004,-4.927717,24.0,28,2.3085979785156248,True,REGULAR,USD
JNJ260410C00150000,2026-04-07 15:40:01+00:00,150.0,88.32,86.95,89.7,-4.9800034,-5.337624,1.0,29,2.0859422851562495,True,REGULAR,USD
JNJ260410C00155000,2026-04-07 15:40:01+00:00,155.0,83.42,82.05,84.65,-7.3499985,-8.097388,1.0,8,1.982421962890625,True,REGULAR,USD
JNJ260410C00160000,2026-04-06 13:40:19+00:00,160.0,82.34,76.9,79.75,0.0,0.0,10.0,8,1.8261727441406248,True,REGULAR,USD
JNJ260410C00165000,2026-04-07 14:28:27+00:00,165.0,73.5,71.7,74.75,-3.8399963,-4.9650846,2.0,7,1.5820333398437496,True,REGULAR,USD
JNJ260410C00170000,2026-04-07 14:28:27+00:00,170.0,68.52,66.7,69.75,-3.8600006,-5.332966,2.0,3,1.46875265625,True,REGULAR,USD
JNJ260410C00175000,2026-04-06 13:53:06+00:00,175.0,67.41,61.8,64.65,0.0,0.0,4.0,3,1.3554719726562499,True,REGULAR,USD
JNJ260410C00180000,2026-04-06 13:53:15+00:00,180.0,62.38,56.85,59.8,0.0,0.0,2.0,1,1.3437532812499997,True,REGULAR,USD
JNJ260410C00185000,2026-04-06 13:53:15+00:00,185.0,57.41,51.9,54.8,0.0,0.0,2.0,1,1.2480506347656248,True,REGULAR,USD
JNJ260410C00190000,2026-04-02 15:25:00+00:00,190.0,55.33,46.7,49.8,0.0,0.0,4.0,9,1.056645341796875,True,REGULAR,USD
JNJ260410C00195000,2026-04-07 13:47:27+00:00,195.0,42.09,41.9,44.8,-8.27,-16.421764,2.0,8,1.0234423828125,True,REGULAR,USD
JNJ260410C00200000,2026-04-07 13:47:27+00:00,200.0,37.11,36.75,39.8,-5.829998,-13.577081,2.0,4,0.8652357226562499,True,REGULAR,USD
JNJ260410C00205000,2026-04-06 14:26:38+00:00,205.0,38.01,32.15,34.8,0.0,0.0,14.0,16,0.8623060644531251,True,REGULAR,USD
JNJ260410C00210000,2026-04-06 14:26:38+00:00,210.0,33.03,26.95,29.8,0.0,0.0,4.0,13,0.7060576269531251,True,REGULAR,USD
JNJ260410C00215000,2026-03-31 15:55:05+00:00,215.0,28.99,21.9,24.85,0.0,0.0,,1,0.596683720703125,True,REGULAR,USD
JNJ260410C00217500,2026-03-27 14:28:18+00:00,217.5,25.52,19.5,21.25,0.0,0.0,1.0,1,0.6543003320312502,True,REGULAR,USD
JNJ260410C00220000,2026-03-11 14:59:54+00:00,220.0,25.0,16.8,19.9,0.0,0.0,,15,0.8083515258789062,True,REGULAR,USD
JNJ260410C00222500,2026-03-25 16:42:39+00:00,222.5,19.17,14.6,17.4,0.0,0.0,,3,0.7324245507812499,True,REGULAR,USD
JNJ260410C00225000,2026-04-07 13:49:37+00:00,225.0,12.58,12.4,15.0,-6.5699997,-34.308094,10.0,5,0.6694368994140626,True,REGULAR,USD
JNJ260410C00230000,2026-04-02 19:43:56+00:00,230.0,13.5,6.9,8.2,0.0,0.0,2.0,21,0.2104571142578125,True,REGULAR,USD
JNJ260410C00232500,2026-04-02 16:02:40+00:00,232.5,13.35,5.75,6.1,0.0,0.0,4.0,34,0.2368240380859375,True,REGULAR,USD
JNJ260410C00235000,2026-04-07 13:43:57+00:00,235.0,4.35,3.8,4.75,-2.85,-39.583336,1.0,350,0.3002999658203125,True,REGULAR,USD
JNJ260410C00237500,2026-04-07 14:42:25+00:00,237.5,3.7,2.23,2.98,-2.7,-42.1875,182.0,51,0.2703930383300781,True,REGULAR,USD
JNJ260410C00240000,2026-04-07 15:36:34+00:00,240.0,1.41,1.32,1.56,-1.7700001,-55.66038,24.0,286,0.24073024902343748,False,REGULAR,USD
JNJ260410C00242500,2026-04-07 15:40:46+00:00,242.5,0.79,0.69,0.85,-1.0799999,-57.75401,114.0,243,0.24463645996093752,False,REGULAR,USD
JNJ260410C00245000,2026-04-07 15:51:50+00:00,245.0,0.34,0.33,0.38,-0.85,-71.428566,299.0,583,0.23926541992187497,False,REGULAR,USD
JNJ260410C00247500,2026-04-07 15:46:47+00:00,247.5,0.15,0.15,0.21,-0.32999998,-68.75,111.0,1914,0.25489026367187506,False,REGULAR,USD
JNJ260410C00250000,2026-04-07 15:48:09+00:00,250.0,0.07,0.06,0.09,-0.11000001,-61.111115,43.0,976,0.256843369140625,False,REGULAR,USD
JNJ260410C00252500,2026-04-07 15:43:21+00:00,252.5,0.03,0.02,0.07,-0.049999997,-62.499996,7.0,196,0.28711650390624993,False,REGULAR,USD
JNJ260410C00255000,2026-04-07 14:14:09+00:00,255.0,0.11,0.0,0.05,0.07,175.0,1.0,279,0.31055376953124997,False,REGULAR,USD
JNJ260410C00257500,2026-04-06 19:53:39+00:00,257.5,0.12,0.0,0.52,0.0,0.0,18.0,37,0.5380905566406251,False,REGULAR,USD
JNJ260410C00260000,2026-04-07 13:37:31+00:00,260.0,0.03,0.0,0.04,0.0,0.0,46.0,623,0.37305314453125,False,REGULAR,USD
JNJ260410C00262500,2026-04-02 15:03:44+00:00,262.5,0.15,0.0,0.51,0.0,0.0,19.0,15,0.5459029785156251,False,REGULAR,USD
JNJ260410C00265000,2026-04-06 15:11:12+00:00,265.0,0.01,0.0,0.5,0.0,0.0,11.0,74,0.585941640625,False,REGULAR,USD
JNJ260410C00270000,2026-03-17 16:55:21+00:00,270.0,0.68,0.0,1.55,0.0,0.0,1.0,0,0.8432632861328124,False,REGULAR,USD
JNJ260410C00275000,2026-03-17 16:55:21+00:00,275.0,0.19,0.0,0.75,0.0,0.0,1.0,1,0.8017597949218749,False,REGULAR,USD
