,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,563000000.0,527000000.0,323000000.0,75000000.0,674000000.0
Repurchase Of Capital Stock,0.0,0.0,-9000000.0,0.0,-5000000.0
Repayment Of Debt,-533000000.0,-33000000.0,-567000000.0,-1015000000.0,-32000000.0
Issuance Of Debt,0.0,0.0,2000000000.0,0.0,990000000.0
Capital Expenditure,-149000000.0,-112000000.0,-108000000.0,-134000000.0,-175000000.0
Interest Paid Supplemental Data,217000000.0,100000000.0,184000000.0,93000000.0,186000000.0
Income Tax Paid Supplemental Data,138000000.0,46000000.0,216000000.0,60000000.0,85000000.0
End Cash Position,1044000000.0,569000000.0,565000000.0,751000000.0,608000000.0
Beginning Cash Position,569000000.0,565000000.0,751000000.0,608000000.0,560000000.0
Effect Of Exchange Rate Changes,11000000.0,2000000.0,6000000.0,-2000000.0,-6000000.0
Changes In Cash,464000000.0,2000000.0,-192000000.0,145000000.0,54000000.0
Financing Cash Flow,-65000000.0,-525000000.0,-402000000.0,-7000000.0,281000000.0
Cash Flow From Continuing Financing Activities,-65000000.0,-525000000.0,-402000000.0,-7000000.0,281000000.0
Net Other Financing Charges,-38000000.0,-94000000.0,-18000000.0,-36000000.0,-34000000.0
Cash Dividends Paid,-313000000.0,-312000000.0,-313000000.0,-312000000.0,-311000000.0
Common Stock Dividend Paid,,,-313000000.0,-312000000.0,
Net Common Stock Issuance,0.0,0.0,-9000000.0,0.0,-5000000.0
Common Stock Payments,0.0,0.0,-9000000.0,0.0,-5000000.0
Net Issuance Payments Of Debt,286000000.0,-119000000.0,-62000000.0,341000000.0,631000000.0
Net Short Term Debt Issuance,819000000.0,-86000000.0,-1495000000.0,1356000000.0,-327000000.0
Net Long Term Debt Issuance,-533000000.0,-33000000.0,1433000000.0,-1015000000.0,958000000.0
Long Term Debt Payments,-533000000.0,-33000000.0,-567000000.0,-1015000000.0,-32000000.0
Long Term Debt Issuance,0.0,0.0,2000000000.0,0.0,990000000.0
Investing Cash Flow,-183000000.0,-112000000.0,-221000000.0,-57000000.0,-1076000000.0
Cash Flow From Continuing Investing Activities,-183000000.0,-112000000.0,-221000000.0,-57000000.0,-1076000000.0
Net Other Investing Changes,1000000.0,2000000.0,-1000000.0,64000000.0,
Net Business Purchase And Sale,-35000000.0,-3000000.0,-112000000.0,0.0,-915000000.0
Purchase Of Business,-35000000.0,-3000000.0,-112000000.0,0.0,-915000000.0
Net Intangibles Purchase And Sale,-1000000.0,0.0,-2000000.0,-14000000.0,-10000000.0
Purchase Of Intangibles,-1000000.0,0.0,-2000000.0,-14000000.0,-10000000.0
Net PPE Purchase And Sale,-148000000.0,-111000000.0,-106000000.0,-107000000.0,-162000000.0
Sale Of PPE,0.0,1000000.0,0.0,13000000.0,3000000.0
Purchase Of PPE,-148000000.0,-112000000.0,-106000000.0,-120000000.0,-165000000.0
Operating Cash Flow,712000000.0,639000000.0,431000000.0,209000000.0,849000000.0
Cash Flow From Continuing Operating Activities,712000000.0,639000000.0,431000000.0,209000000.0,849000000.0
Change In Working Capital,-132000000.0,-136000000.0,-327000000.0,-408000000.0,300000000.0
Change In Other Working Capital,-114000000.0,59000000.0,-59000000.0,-27000000.0,140000000.0
Change In Other Current Liabilities,160000000.0,20000000.0,16000000.0,-23000000.0,37000000.0
Change In Other Current Assets,-33000000.0,-47000000.0,-26000000.0,-110000000.0,-23000000.0
Change In Payables And Accrued Expense,-72000000.0,-47000000.0,80000000.0,-173000000.0,79000000.0
Change In Inventory,113000000.0,-102000000.0,-177000000.0,-239000000.0,128000000.0
Change In Receivables,-186000000.0,-19000000.0,-161000000.0,164000000.0,-61000000.0
Changes In Account Receivables,-186000000.0,-19000000.0,-161000000.0,164000000.0,-61000000.0
Other Non Cash Items,44000000.0,-3000000.0,-3000000.0,-12000000.0,53000000.0
Stock Based Compensation,27000000.0,25000000.0,23000000.0,22000000.0,22000000.0
Provisionand Write Offof Assets,18000000.0,18000000.0,13000000.0,11000000.0,20000000.0
Asset Impairment Charge,,,,,720000000.0
Deferred Tax,84000000.0,-43000000.0,10000000.0,-6000000.0,-275000000.0
Deferred Income Tax,84000000.0,-43000000.0,10000000.0,-6000000.0,-275000000.0
Depreciation Amortization Depletion,199000000.0,206000000.0,185000000.0,163000000.0,183000000.0
Depreciation And Amortization,199000000.0,206000000.0,185000000.0,163000000.0,183000000.0
Amortization Cash Flow,80000000.0,87000000.0,74000000.0,57000000.0,71000000.0
Amortization Of Intangibles,80000000.0,87000000.0,74000000.0,57000000.0,71000000.0
Depreciation,119000000.0,119000000.0,111000000.0,106000000.0,112000000.0
Operating Gains Losses,41000000.0,-90000000.0,-17000000.0,-78000000.0,-30000000.0
Earnings Losses From Equity Investments,-73000000.0,-35000000.0,-17000000.0,-10000000.0,-114000000.0
Gain Loss On Investment Securities,126000000.0,-71000000.0,6000000.0,-62000000.0,68000000.0
Net Foreign Currency Exchange Gain Loss,-13000000.0,13000000.0,-6000000.0,0.0,19000000.0
Gain Loss On Sale Of PPE,1000000.0,3000000.0,0.0,-6000000.0,-3000000.0
Net Income From Continuing Operations,353000000.0,662000000.0,547000000.0,517000000.0,-144000000.0
