,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2101000000.0,599000000.0,2761000000.0,4361000000.0,
Repurchase Of Capital Stock,-200000000.0,0.0,-38000000.0,0.0,
Repayment Of Debt,-4052000000.0,-9057000000.0,-5144000000.0,-8580000000.0,
Issuance Of Debt,1556000000.0,1646000000.0,5240000000.0,16596000000.0,
Issuance Of Capital Stock,9000000.0,10000000.0,1000000.0,596000000.0,
Capital Expenditure,-107000000.0,-65000000.0,-142000000.0,-108000000.0,
Interest Paid Supplemental Data,3710000000.0,4160000000.0,3109000000.0,601000000.0,
Income Tax Paid Supplemental Data,71000000.0,68000000.0,156000000.0,292000000.0,
End Cash Position,1287000000.0,1743000000.0,941000000.0,887000000.0,
Beginning Cash Position,1743000000.0,941000000.0,887000000.0,913000000.0,
Changes In Cash,-456000000.0,802000000.0,54000000.0,-26000000.0,
Financing Cash Flow,-5883000000.0,-2359000000.0,-4266000000.0,6439000000.0,
Cash Flow From Continuing Financing Activities,-5883000000.0,-2359000000.0,-4266000000.0,6439000000.0,
Net Other Financing Charges,,2771000000.0,,,
Proceeds From Stock Option Exercised,-35000000.0,-28000000.0,-34000000.0,-44000000.0,
Cash Dividends Paid,-1054000000.0,-927000000.0,-911000000.0,-854000000.0,
Common Stock Dividend Paid,-1054000000.0,-927000000.0,-911000000.0,-854000000.0,
Net Preferred Stock Issuance,,0.0,0.0,590000000.0,0.0
Preferred Stock Issuance,,0.0,0.0,590000000.0,0.0
Net Common Stock Issuance,-191000000.0,10000000.0,-37000000.0,6000000.0,
Common Stock Payments,-200000000.0,0.0,-38000000.0,0.0,
Common Stock Issuance,9000000.0,10000000.0,1000000.0,6000000.0,
Net Issuance Payments Of Debt,-3556000000.0,-8358000000.0,-6276000000.0,16718000000.0,
Net Short Term Debt Issuance,-1060000000.0,-947000000.0,-6372000000.0,8702000000.0,
Net Long Term Debt Issuance,-2496000000.0,-7411000000.0,96000000.0,8016000000.0,
Long Term Debt Payments,-4052000000.0,-9057000000.0,-5144000000.0,-8580000000.0,
Long Term Debt Issuance,1556000000.0,1646000000.0,5240000000.0,16596000000.0,
Investing Cash Flow,3219000000.0,2497000000.0,1417000000.0,-10934000000.0,
Cash Flow From Continuing Investing Activities,3219000000.0,2497000000.0,1417000000.0,-10934000000.0,
Net Other Investing Changes,86000000.0,107000000.0,96000000.0,72000000.0,
Net Investment Purchase And Sale,5744000000.0,-5683000000.0,-5361000000.0,6636000000.0,
Sale Of Investment,15830000000.0,22082000000.0,6378000000.0,15414000000.0,
Purchase Of Investment,-10086000000.0,-27765000000.0,-11739000000.0,-8778000000.0,
Net Investment Properties Purchase And Sale,,,,,0.0
Sale Of Investment Properties,,,,,0.0
Net Business Purchase And Sale,,0.0,0.0,-58000000.0,-29000000.0
Purchase Of Business,,0.0,0.0,-58000000.0,-29000000.0
Net Intangibles Purchase And Sale,,0.0,0.0,-12000000.0,0.0
Purchase Of Intangibles,,0.0,0.0,-12000000.0,0.0
Net PPE Purchase And Sale,-103000000.0,-41000000.0,-137000000.0,-80000000.0,
Sale Of PPE,4000000.0,24000000.0,5000000.0,16000000.0,
Purchase Of PPE,-107000000.0,-65000000.0,-142000000.0,-96000000.0,
Operating Cash Flow,2208000000.0,664000000.0,2903000000.0,4469000000.0,
Cash Flow From Continuing Operating Activities,2208000000.0,664000000.0,2903000000.0,4469000000.0,
Change In Working Capital,-280000000.0,-483000000.0,691000000.0,237000000.0,
Change In Other Working Capital,222000000.0,-141000000.0,-313000000.0,-128000000.0,
Change In Payables And Accrued Expense,-723000000.0,-72000000.0,450000000.0,1409000000.0,
Change In Accrued Expense,-723000000.0,-72000000.0,450000000.0,1409000000.0,
Change In Receivables,221000000.0,-270000000.0,554000000.0,-1044000000.0,
Other Non Cash Items,172000000.0,-573000000.0,704000000.0,1716000000.0,
Stock Based Compensation,132000000.0,104000000.0,121000000.0,120000000.0,
Deferred Tax,4000000.0,-351000000.0,-108000000.0,-27000000.0,
Deferred Income Tax,4000000.0,-351000000.0,-108000000.0,-27000000.0,
Depreciation Amortization Depletion,21000000.0,73000000.0,154000000.0,164000000.0,
Depreciation And Amortization,21000000.0,73000000.0,154000000.0,164000000.0,
Depreciation,21000000.0,73000000.0,154000000.0,164000000.0,
Operating Gains Losses,-141000000.0,1720000000.0,-115000000.0,-160000000.0,
Gain Loss On Investment Securities,6000000.0,1856000000.0,11000000.0,-9000000.0,
Gain Loss On Sale Of PPE,0.0,-16000000.0,9000000.0,0.0,
Net Income From Continuing Operations,1829000000.0,-161000000.0,967000000.0,1917000000.0,
