contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
KLAC260417P00590000,2026-02-26 16:27:07+00:00,590.0,0.06,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
KLAC260417P00640000,2025-12-29 16:28:13+00:00,640.0,2.4,0.0,4.8,0.0,0.0,,4,2.3642619018554685,False,REGULAR,USD
KLAC260417P00680000,2026-02-10 14:33:12+00:00,680.0,0.85,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
KLAC260417P00700000,2026-03-19 17:31:01+00:00,700.0,0.1,0.0,4.8,0.0,0.0,,1,2.140141368408203,False,REGULAR,USD
KLAC260417P00710000,2026-03-09 13:53:40+00:00,710.0,1.18,0.0,4.8,0.0,0.0,1.0,4,2.104741066284179,False,REGULAR,USD
KLAC260417P00720000,2026-02-10 14:33:12+00:00,720.0,1.2,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
KLAC260417P00730000,2026-02-06 14:30:10+00:00,730.0,1.6,0.0,4.8,0.0,0.0,1.0,2,2.0354053021240235,False,REGULAR,USD
KLAC260417P00740000,2026-02-10 14:30:09+00:00,740.0,1.55,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
KLAC260417P00750000,2026-03-19 17:10:18+00:00,750.0,0.38,0.0,4.8,0.0,0.0,1.0,4,1.9677735986328124,False,REGULAR,USD
KLAC260417P00760000,2026-02-10 14:30:09+00:00,760.0,1.65,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
KLAC260417P00770000,2026-02-05 14:30:07+00:00,770.0,2.85,0.0,4.8,0.0,0.0,,1,1.9018559594726563,False,REGULAR,USD
KLAC260417P00780000,2026-02-17 14:30:09+00:00,780.0,1.8,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
KLAC260417P00790000,2026-02-17 14:30:09+00:00,790.0,1.9,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
KLAC260417P00800000,2026-03-06 17:39:48+00:00,800.0,2.22,0.0,0.0,0.0,0.0,26.0,0,0.500005,False,REGULAR,USD
KLAC260417P00810000,2026-03-09 17:42:45+00:00,810.0,2.16,0.0,4.8,0.0,0.0,22.0,5,1.7749034692382812,False,REGULAR,USD
KLAC260417P00820000,2026-02-18 14:30:35+00:00,820.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
KLAC260417P00830000,2026-02-18 14:30:35+00:00,830.0,2.15,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
KLAC260417P00840000,2026-02-06 14:30:10+00:00,840.0,3.6,0.0,4.8,0.0,0.0,1.0,1,1.6837174017333985,False,REGULAR,USD
KLAC260417P00850000,2026-03-02 14:33:21+00:00,850.0,2.73,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
KLAC260417P00860000,2026-04-07 14:29:42+00:00,860.0,0.08,0.05,0.1,-0.010000005,-11.111116,11.0,51,1.0976607617187502,False,REGULAR,USD
