,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,10404079,983597431,-0.0031
1,2025-11-30,SCHWAB STRATEGIC TRUST-Schwab US Dividend Equity ETF,0.0286,9486431,896843359,0.0062
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,8368874,791189971,0.0223
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0218,7223420,682899212,-0.015700001
4,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,4270440,403725674,-0.0091
5,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,4223322,399271158,0.0017
6,2025-12-31,VANGUARD FENWAY FUNDS-Vanguard Equity Income Fund,0.012,3969809,375304141,1.0
7,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,3907615,369424345,-0.0185
8,2026-02-28,SELECT SECTOR SPDR TRT-State Street Consumer Staples Select Sector SPD,0.0104,3444363,325628688,0.0119
9,2026-02-28,SPDR SERIES TRUST-State Street SPDR S&P Dividend ETF,0.01,3318435,313723506,0.0002
