contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
KO260410C00045000,2026-04-02 18:16:58+00:00,45.0,31.74,29.9,33.35,0.0,0.0,2.0,1,2.886721533203125,True,REGULAR,USD
KO260410C00050000,2026-04-06 14:44:35+00:00,50.0,26.98,24.45,28.35,0.0,0.0,,2,1.8437507812499998,True,REGULAR,USD
KO260410C00055000,2026-04-06 13:51:08+00:00,55.0,21.9,19.45,23.35,0.0,0.0,,1,1.47265888671875,True,REGULAR,USD
KO260410C00060000,2026-04-07 15:19:32+00:00,60.0,17.03,14.6,18.3,0.23000145,1.3690563,4.0,4,1.2421912890624998,True,REGULAR,USD
KO260410C00064000,2026-04-07 15:19:32+00:00,64.0,13.13,10.45,14.35,0.42000008,3.3044853,4.0,6,0.85937640625,True,REGULAR,USD
KO260410C00065000,2026-04-07 15:18:49+00:00,65.0,12.12,9.45,13.35,0.28999996,2.4513946,3.0,3,0.79687703125,True,REGULAR,USD
KO260410C00066000,2026-04-07 15:18:49+00:00,66.0,11.22,8.45,12.35,0.22000027,2.0000024,1.0,5,0.7304714453125,True,REGULAR,USD
KO260410C00067000,2026-04-07 15:03:29+00:00,67.0,10.28,8.8,11.3,0.32999992,3.3165822,2.0,2,1.2089883300781248,True,REGULAR,USD
KO260410C00068000,2026-04-07 15:03:29+00:00,68.0,9.29,7.4,10.25,0.22999954,2.5386262,3.0,4,0.983398603515625,True,REGULAR,USD
KO260410C00069000,2026-04-07 14:09:18+00:00,69.0,8.61,5.95,9.35,1.2799997,17.462479,2.0,2,0.7812521875,True,REGULAR,USD
KO260410C00070000,2026-04-07 14:10:39+00:00,70.0,7.47,5.85,8.3,0.6699996,9.852935,4.0,3,0.9335944140625,True,REGULAR,USD
KO260410C00071000,2026-04-06 15:21:01+00:00,71.0,5.85,3.4,7.35,0.0,0.0,1.0,1,1.3486360693359374,True,REGULAR,USD
KO260410C00072000,2026-04-07 15:11:48+00:00,72.0,5.29,3.55,6.4,0.88999987,20.227268,2.0,10,0.6914093359375001,True,REGULAR,USD
KO260410C00073000,2026-04-06 17:04:55+00:00,73.0,4.16,2.85,5.4,0.0,0.0,2.0,27,0.6523472265625001,True,REGULAR,USD
KO260410C00074000,2026-04-07 15:17:52+00:00,74.0,2.65,2.14,2.84,-0.5999999,-18.461536,3.0,58,0.4335994140625,True,REGULAR,USD
KO260410C00075000,2026-04-07 15:43:19+00:00,75.0,1.61,1.47,1.79,-0.85,-34.552845,34.0,168,0.309577216796875,True,REGULAR,USD
KO260410C00076000,2026-04-07 15:48:04+00:00,76.0,0.86,0.82,0.87,-0.73,-45.91195,116.0,969,0.215828154296875,True,REGULAR,USD
KO260410C00077000,2026-04-07 15:48:19+00:00,77.0,0.41,0.32,0.38,-0.45000002,-52.32558,471.0,6274,0.20557435058593748,False,REGULAR,USD
KO260410C00078000,2026-04-07 15:48:51+00:00,78.0,0.14,0.12,0.15,-0.2,-62.5,743.0,7438,0.21094539062499998,False,REGULAR,USD
KO260410C00079000,2026-04-07 15:42:01+00:00,79.0,0.04,0.03,0.05,-0.08,-66.66667,969.0,3354,0.21680470703125,False,REGULAR,USD
KO260410C00080000,2026-04-07 15:26:16+00:00,80.0,0.02,0.0,0.04,-0.01,-33.333336,238.0,1368,0.26367923828125,False,REGULAR,USD
KO260410C00081000,2026-04-07 15:28:56+00:00,81.0,0.01,0.0,0.01,-0.01,-50.0,3.0,370,0.257819921875,False,REGULAR,USD
KO260410C00082000,2026-04-07 13:56:50+00:00,82.0,0.01,0.0,0.04,0.0,0.0,1.0,113,0.3711000390625,False,REGULAR,USD
KO260410C00083000,2026-04-02 17:17:03+00:00,83.0,0.01,0.0,0.01,0.0,0.0,101.0,512,0.3437565625,False,REGULAR,USD
KO260410C00084000,2026-04-06 15:57:01+00:00,84.0,0.01,0.0,0.3,0.0,0.0,1.0,41,0.6093789062500001,False,REGULAR,USD
KO260410C00085000,2026-04-01 18:49:52+00:00,85.0,0.04,0.0,0.95,0.0,0.0,1.0,37,0.8974619628906249,False,REGULAR,USD
KO260410C00086000,2026-03-31 13:54:42+00:00,86.0,0.01,0.0,0.95,0.0,0.0,2.0,9,0.96289099609375,False,REGULAR,USD
KO260410C00087000,2026-04-06 14:57:24+00:00,87.0,0.01,0.0,0.42,0.0,0.0,1.0,13,0.8339860351562498,False,REGULAR,USD
KO260410C00090000,2026-04-06 18:46:03+00:00,90.0,0.01,0.0,0.01,0.0,0.0,6.0,7,0.57812921875,False,REGULAR,USD
KO260410C00091000,2026-04-06 16:43:55+00:00,91.0,0.01,,0.95,0.0,0.0,,1,1.5459007080078124,False,REGULAR,USD
KO260410C00092000,2026-04-06 16:42:21+00:00,92.0,0.01,0.0,0.05,0.0,0.0,2.0,3,0.773439765625,False,REGULAR,USD
