,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.126,77169425,5673495866,0.0114
1,2025-12-31,Blackrock Inc.,0.088599995,54245917,3988159635,-0.0111
2,2025-12-31,"Berkshire Hathaway, Inc",0.081599995,50000000,3675999832,0.0
3,2025-12-31,State Street Corporation,0.052199997,31987451,2351717290,0.0011999999
4,2025-12-31,"Wellington Management Group, LLP",0.0328,20068489,1475435243,-0.3986
5,2025-12-31,"Geode Capital Management, LLC",0.026500002,16225118,1192870620,-0.0182
6,2025-12-31,"FMR, LLC",0.0248,15166478,1115039411,0.1108
7,2025-12-31,GQG Partners LLC,0.0219,13398072,985026208,0.11310001
8,2025-12-31,Dimensional Fund Advisors LP,0.02,12242401,900061280,0.0101
9,2025-12-31,Morgan Stanley,0.0165,10130194,744771828,-0.0922
