,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,60213861,1019420685,-0.0026
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,48307686,817849138,0.020299999
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0218,41699104,705965843,-0.0176
3,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,24668585,417639151,-0.0104
4,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,24380991,412770185,0.0017
5,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,22541130,381621337,-0.0185
6,2025-09-30,-Price (T.Rowe) U.S. Value Equity Trust,0.0109,20803088,352196286,-0.2469
7,2026-02-28,Fidelity Rutland Square TRT II-Strategic Advisers Fidelity U.S. Total ,0.0108,20620185,349099738,0.314
8,2026-02-28,SELECT SECTOR SPDR TRT-State Street Consumer Staples Select Sector SPD,0.0104,19884131,336638343,0.0119
9,2025-11-30,MFS SERIES TRUST I-MFS Value Fund,0.0099,18938493,320628692,-0.16239999
