contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
KVUE260410C00005000,2026-04-06 14:33:00+00:00,5.0,12.65,11.25,12.05,0.0,0.0,,10,6.9062513671875,True,REGULAR,USD
KVUE260410C00009000,2026-04-07 15:34:39+00:00,9.0,7.86,7.5,8.2,-0.62999964,-7.4204903,81.0,11,4.6562541796875,True,REGULAR,USD
KVUE260410C00010000,2026-04-07 15:34:39+00:00,10.0,6.92,6.65,7.2,-0.4000001,-5.464482,84.0,32,4.007817490234375,True,REGULAR,USD
KVUE260410C00011000,2026-04-07 14:36:52+00:00,11.0,6.31,5.6,6.3,0.03999996,0.63795793,3.0,12,1.984375078125,True,REGULAR,USD
KVUE260410C00012000,2026-04-06 18:18:25+00:00,12.0,5.5,4.45,6.05,0.0,0.0,,1,3.03906490234375,True,REGULAR,USD
KVUE260410C00016000,2026-03-30 18:52:03+00:00,16.0,1.32,1.0,2.57,0.0,0.0,,0,1.8437507812499998,True,REGULAR,USD
KVUE260410C00017000,2026-04-06 14:45:09+00:00,17.0,0.37,0.13,0.22,0.0,0.0,3.0,99,0.35742830078125,False,REGULAR,USD
KVUE260410C00017500,2026-04-07 14:25:25+00:00,17.5,0.04,0.01,0.06,-0.060000002,-60.0,3.0,918,0.3437565625,False,REGULAR,USD
KVUE260410C00018000,2026-04-07 15:37:53+00:00,18.0,0.01,0.0,0.02,-0.01,-50.0,17.0,268,0.39063109375,False,REGULAR,USD
KVUE260410C00018500,2026-04-07 13:53:10+00:00,18.5,0.01,0.0,0.02,-0.01,-50.0,4.0,27,0.51562984375,False,REGULAR,USD
KVUE260410C00019000,2026-04-06 13:38:33+00:00,19.0,0.05,0.0,2.13,0.0,0.0,1.0,6,2.5781285546875,False,REGULAR,USD
KVUE260410C00019500,2026-03-23 15:46:19+00:00,19.5,0.05,0.0,0.01,0.0,0.0,1.0,12,0.5937540625000001,False,REGULAR,USD
KVUE260410C00020000,2026-03-27 18:14:37+00:00,20.0,0.05,0.0,0.01,0.0,0.0,1.0,1,0.6875031250000001,False,REGULAR,USD
KVUE260410C00022500,2026-04-06 13:44:28+00:00,22.5,0.02,,0.02,0.0,0.0,,1,1.3281283593749997,False,REGULAR,USD
KVUE260410C00025000,2026-04-06 13:47:27+00:00,25.0,0.05,0.0,0.02,0.0,0.0,1.0,2,1.5625021874999998,False,REGULAR,USD
KVUE260410C00030000,2026-03-27 13:45:57+00:00,30.0,0.02,0.0,0.02,0.0,0.0,10.0,20,2.1875045312499997,False,REGULAR,USD
