,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.094399996,19426064,2099180428,0.0056
1,2025-12-31,Blackrock Inc.,0.0694,14282793,1543398576,0.0145000005
2,2025-12-31,JPMORGAN CHASE & CO,0.044099998,9083054,981514793,-0.5402
3,2025-12-31,State Street Corporation,0.0383,7875873,851066817,0.00090000004
4,2025-12-31,NORGES BANK,0.026600001,5481709,592353461,-0.24520001
5,2025-12-31,"Geode Capital Management, LLC",0.024300002,4999186,540212026,0.0574
6,2025-12-31,Price (T.Rowe) Associates Inc,0.0194,3984234,430536316,0.094799995
7,2025-12-31,Citadel Advisors Llc,0.0172,3549364,383544265,-0.0127
8,2025-12-31,Goldman Sachs Group Inc,0.015700001,3238358,349936957,0.3209
9,2025-12-31,Invesco Ltd.,0.015700001,3229974,349030982,-0.0398
