,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1972027.972028,-1904000.0,-482000.0,-944000.0,-1736000.0,
Tax Rate For Calcs,0.219114,0.238,0.241313,0.236,0.248,
Normalized EBITDA,561000000.0,617000000.0,647000000.0,600000000.0,508000000.0,
Total Unusual Items,-9000000.0,-8000000.0,-2000000.0,-4000000.0,-7000000.0,
Total Unusual Items Excluding Goodwill,-9000000.0,-8000000.0,-2000000.0,-4000000.0,-7000000.0,
Net Income From Continuing Operation Net Minority Interest,327000000.0,367000000.0,391000000.0,363000000.0,284000000.0,
Reconciled Depreciation,75000000.0,74000000.0,72000000.0,69000000.0,79000000.0,
Reconciled Cost Of Revenue,3468000000.0,3648000000.0,3471000000.0,3488000000.0,3672000000.0,
EBITDA,552000000.0,609000000.0,645000000.0,596000000.0,501000000.0,
EBIT,477000000.0,535000000.0,573000000.0,527000000.0,422000000.0,
Net Interest Income,-48000000.0,-51000000.0,-55000000.0,-49000000.0,-47000000.0,
Interest Expense,48000000.0,51000000.0,55000000.0,49000000.0,47000000.0,
Normalized Income,334027972.027972,373096000.0,392518000.0,366056000.0,289264000.0,
Net Income From Continuing And Discontinued Operation,327000000.0,367000000.0,391000000.0,363000000.0,284000000.0,
Total Expenses,3734000000.0,3934000000.0,3688000000.0,3718000000.0,3951000000.0,
Total Operating Income As Reported,473000000.0,535000000.0,571000000.0,530000000.0,421000000.0,
Diluted Average Shares,129000000.0,130000000.0,130000000.0,131000000.0,134000000.0,
Basic Average Shares,127000000.0,128000000.0,129000000.0,130000000.0,133000000.0,
Diluted EPS,2.53,2.82,3.01,2.77,2.12,
Basic EPS,2.57,2.87,3.03,2.79,2.14,
Diluted NI Availto Com Stockholders,327000000.0,367000000.0,391000000.0,363000000.0,284000000.0,
Net Income Common Stockholders,327000000.0,367000000.0,391000000.0,363000000.0,284000000.0,
Net Income,327000000.0,367000000.0,391000000.0,363000000.0,284000000.0,
Minority Interests,-8000000.0,-2000000.0,-2000000.0,-2000000.0,2000000.0,
Net Income Including Noncontrolling Interests,335000000.0,369000000.0,393000000.0,365000000.0,282000000.0,
Net Income Continuous Operations,335000000.0,369000000.0,393000000.0,365000000.0,282000000.0,
Tax Provision,94000000.0,115000000.0,125000000.0,113000000.0,93000000.0,
Pretax Income,429000000.0,484000000.0,518000000.0,478000000.0,375000000.0,
Other Income Expense,4000000.0,,8000000.0,,8000000.0,1000000.0
Other Non Operating Income Expenses,4000000.0,,2000000.0,-3000000.0,1000000.0,
Special Income Charges,-9000000.0,-8000000.0,-2000000.0,-4000000.0,-7000000.0,
Write Off,1000000.0,4000000.0,,,5000000.0,6000000.0
Impairment Of Capital Assets,,,,,0.0,0.0
Restructuring And Mergern Acquisition,8000000.0,4000000.0,2000000.0,4000000.0,2000000.0,
Earnings From Equity Interest,9000000.0,8000000.0,8000000.0,7000000.0,14000000.0,
Net Non Operating Interest Income Expense,-48000000.0,-51000000.0,-55000000.0,-49000000.0,-47000000.0,
Interest Expense Non Operating,48000000.0,51000000.0,55000000.0,49000000.0,47000000.0,
Operating Income,473000000.0,535000000.0,565000000.0,527000000.0,414000000.0,
Operating Expense,266000000.0,286000000.0,217000000.0,230000000.0,279000000.0,
Selling General And Administration,266000000.0,286000000.0,217000000.0,230000000.0,279000000.0,
Gross Profit,739000000.0,821000000.0,782000000.0,757000000.0,693000000.0,
Cost Of Revenue,3468000000.0,3648000000.0,3471000000.0,3488000000.0,3672000000.0,
Total Revenue,4207000000.0,4469000000.0,4253000000.0,4245000000.0,4365000000.0,
Operating Revenue,4207000000.0,4469000000.0,4253000000.0,4245000000.0,4365000000.0,
