,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-3398400.0,-2618941.364819,-12593179.049939,-1544000.0,
Tax Rate For Calcs,0.192,0.188413,0.199892,0.193,
Normalized EBITDA,1173400000.0,1152500000.0,943900000.0,741500000.0,
Total Unusual Items,-17700000.0,-13900000.0,-63000000.0,-8000000.0,
Total Unusual Items Excluding Goodwill,-17700000.0,-13900000.0,-63000000.0,-8000000.0,
Net Income From Continuing Operation Net Minority Interest,805800000.0,811100000.0,591200000.0,497100000.0,
Reconciled Depreciation,112500000.0,95100000.0,86000000.0,77900000.0,
Reconciled Cost Of Revenue,3460500000.0,3563800000.0,3432700000.0,3433700000.0,
EBITDA,1155700000.0,1138600000.0,880900000.0,733500000.0,
EBIT,1043200000.0,1043500000.0,794900000.0,655600000.0,
Net Interest Income,-40900000.0,-38700000.0,-51700000.0,-38700000.0,
Interest Expense,46400000.0,44100000.0,56000000.0,39800000.0,
Interest Income,5500000.0,5400000.0,4300000.0,1100000.0,
Normalized Income,820101600.0,822381058.635181,641606820.950061,503556000.0,
Net Income From Continuing And Discontinued Operation,805800000.0,811100000.0,591200000.0,497100000.0,
Total Expenses,4142100000.0,4294900000.0,4136600000.0,4059900000.0,
Total Operating Income As Reported,1041500000.0,1040400000.0,791500000.0,656200000.0,
Diluted Average Shares,35400000.0,35800000.0,35700000.0,35800000.0,
Basic Average Shares,35200000.0,35600000.0,35500000.0,35700000.0,
Diluted EPS,22.79,22.54,16.54,13.88,
Basic EPS,22.89,22.67,16.61,13.92,
Diluted NI Availto Com Stockholders,805800000.0,811100000.0,591200000.0,497100000.0,
Net Income Common Stockholders,805800000.0,811100000.0,591200000.0,497100000.0,
Net Income,805800000.0,811100000.0,591200000.0,497100000.0,
Net Income Including Noncontrolling Interests,805800000.0,811100000.0,591200000.0,497100000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,805800000.0,811100000.0,591200000.0,497100000.0,
Tax Provision,191000000.0,188300000.0,147700000.0,118700000.0,
Pretax Income,996800000.0,999400000.0,738900000.0,615800000.0,
Other Income Expense,-15500000.0,-8300000.0,-54700000.0,-4000000.0,
Other Non Operating Income Expenses,-3800000.0,-2300000.0,-200000.0,-1100000.0,
Special Income Charges,-28200000.0,-6200000.0,-67300000.0,-8800000.0,
Gain On Sale Of Ppe,-1100000.0,2100000.0,500000.0,1000000.0,
Gain On Sale Of Business,900000.0,-1500000.0,14100000.0,0.0,
Other Special Charges,10900000.0,6800000.0,15600000.0,8300000.0,
Write Off,0.0,0.0,63200000.0,0.0,
Restructuring And Mergern Acquisition,17100000.0,0.0,3100000.0,1500000.0,
Earnings From Equity Interest,6000000.0,7900000.0,8500000.0,5100000.0,
Gain On Sale Of Security,10500000.0,-7700000.0,4300000.0,800000.0,
Net Non Operating Interest Income Expense,-40900000.0,-38700000.0,-51700000.0,-38700000.0,
Interest Expense Non Operating,46400000.0,44100000.0,56000000.0,39800000.0,
Interest Income Non Operating,5500000.0,5400000.0,4300000.0,1100000.0,
Operating Income,1053200000.0,1046400000.0,845300000.0,658500000.0,
Operating Expense,681600000.0,731100000.0,703900000.0,626200000.0,
Other Operating Expenses,200000.0,500000.0,-1600000.0,-1000000.0,
Selling General And Administration,681400000.0,730600000.0,705500000.0,627200000.0,
General And Administrative Expense,,,705500000.0,627200000.0,598900000.0
Other Gand A,,,705500000.0,627200000.0,598900000.0
Gross Profit,1734800000.0,1777500000.0,1549200000.0,1284700000.0,
Cost Of Revenue,3460500000.0,3563800000.0,3432700000.0,3433700000.0,
Total Revenue,5195300000.0,5341300000.0,4981900000.0,4718400000.0,
Operating Revenue,5195300000.0,5341300000.0,4981900000.0,4718400000.0,
