,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,7651000000.0,7698000000.0,6176000000.0,6760000000.0,
Repurchase Of Capital Stock,-211000000.0,-4053000000.0,-6138000000.0,-14124000000.0,
Repayment Of Debt,-2587000000.0,-545000000.0,-601000000.0,-867000000.0,
Issuance Of Debt,6974000000.0,0.0,2983000000.0,9667000000.0,
Capital Expenditure,-2213000000.0,-1927000000.0,-1964000000.0,-1829000000.0,
Interest Paid Supplemental Data,1489000000.0,1475000000.0,1464000000.0,976000000.0,
Income Tax Paid Supplemental Data,2505000000.0,1648000000.0,3700000000.0,1720000000.0,
End Cash Position,982000000.0,1761000000.0,921000000.0,1348000000.0,
Other Cash Adjustment Outside Changein Cash,,,,,0.0
Beginning Cash Position,1761000000.0,921000000.0,1348000000.0,1133000000.0,
Effect Of Exchange Rate Changes,,0.0,0.0,-16000000.0,-8000000.0
Changes In Cash,-779000000.0,840000000.0,-427000000.0,231000000.0,
Financing Cash Flow,1621000000.0,-7047000000.0,-6666000000.0,-7049000000.0,
Cash Flow From Continuing Financing Activities,1621000000.0,-7047000000.0,-6666000000.0,-7049000000.0,
Net Other Financing Charges,-68000000.0,-42000000.0,-21000000.0,-5000000.0,
Proceeds From Stock Option Exercised,149000000.0,159000000.0,141000000.0,151000000.0,
Cash Dividends Paid,-2636000000.0,-2566000000.0,-2531000000.0,-2370000000.0,
Common Stock Dividend Paid,-2636000000.0,-2566000000.0,-2531000000.0,-2370000000.0,
Net Common Stock Issuance,-211000000.0,-4053000000.0,-6138000000.0,-14124000000.0,
Common Stock Payments,-211000000.0,-4053000000.0,-6138000000.0,-14124000000.0,
Net Issuance Payments Of Debt,4387000000.0,-545000000.0,1883000000.0,9299000000.0,
Net Short Term Debt Issuance,0.0,0.0,-499000000.0,499000000.0,
Net Long Term Debt Issuance,4387000000.0,-545000000.0,2382000000.0,8800000000.0,
Long Term Debt Payments,-2587000000.0,-545000000.0,-601000000.0,-867000000.0,
Long Term Debt Issuance,6974000000.0,0.0,2983000000.0,9667000000.0,
Investing Cash Flow,-12264000000.0,-1738000000.0,-1901000000.0,-1309000000.0,
Cash Flow From Continuing Investing Activities,-12264000000.0,-1738000000.0,-1901000000.0,-1309000000.0,
Net Other Investing Changes,-10000000.0,-11000000.0,-27000000.0,-1000000.0,
Net Investment Purchase And Sale,-35000000.0,-82000000.0,-63000000.0,-15000000.0,
Sale Of Investment,1658000000.0,1204000000.0,1722000000.0,1174000000.0,
Purchase Of Investment,-1693000000.0,-1286000000.0,-1785000000.0,-1189000000.0,
Net Business Purchase And Sale,-10088000000.0,177000000.0,100000000.0,491000000.0,
Sale Of Business,0.0,177000000.0,100000000.0,491000000.0,
Purchase Of Business,-10088000000.0,0.0,0.0,,
Net PPE Purchase And Sale,82000000.0,105000000.0,53000000.0,45000000.0,
Sale Of PPE,82000000.0,105000000.0,53000000.0,45000000.0,
Capital Expenditure Reported,-2213000000.0,-1927000000.0,-1964000000.0,-1829000000.0,
Operating Cash Flow,9864000000.0,9625000000.0,8140000000.0,8589000000.0,
Cash Flow From Continuing Operating Activities,9864000000.0,9625000000.0,8140000000.0,8589000000.0,
Change In Working Capital,-112000000.0,118000000.0,-2228000000.0,-2882000000.0,
Change In Other Working Capital,,,-170000000.0,-183000000.0,413000000.0
Change In Other Current Liabilities,-645000000.0,-94000000.0,-2227000000.0,205000000.0,
Change In Other Current Assets,-243000000.0,93000000.0,182000000.0,56000000.0,
Change In Payables And Accrued Expense,73000000.0,633000000.0,-1820000000.0,-549000000.0,
Change In Payable,73000000.0,633000000.0,-1820000000.0,-549000000.0,
Change In Account Payable,73000000.0,633000000.0,-1820000000.0,-549000000.0,
Change In Inventory,703000000.0,-514000000.0,1637000000.0,-2594000000.0,
Other Non Cash Items,572000000.0,520000000.0,499000000.0,530000000.0,
Stock Based Compensation,247000000.0,221000000.0,210000000.0,223000000.0,
Asset Impairment Charge,53000000.0,5000000.0,83000000.0,2118000000.0,
Deferred Tax,256000000.0,9000000.0,6000000.0,-239000000.0,
Deferred Income Tax,256000000.0,9000000.0,6000000.0,-239000000.0,
Depreciation Amortization Depletion,2194000000.0,1972000000.0,1923000000.0,1981000000.0,
Depreciation And Amortization,2194000000.0,1972000000.0,1923000000.0,1981000000.0,
Operating Gains Losses,,-177000000.0,-79000000.0,421000000.0,34000000.0
Gain Loss On Sale Of PPE,,,,,34000000.0
Gain Loss On Sale Of Business,0.0,-177000000.0,-79000000.0,421000000.0,
Net Income From Continuing Operations,6654000000.0,6957000000.0,7726000000.0,6437000000.0,
