,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,8897000.0,-1554000.0,0.0,0.0,
Tax Rate For Calcs,0.217,0.222,0.265,0.259615,
Normalized EBITDA,2195000000.0,2476000000.0,2391000000.0,2380000000.0,
Total Unusual Items,41000000.0,-7000000.0,60000000.0,-9000000.0,
Total Unusual Items Excluding Goodwill,41000000.0,-7000000.0,60000000.0,-9000000.0,
Net Income From Continuing Operation Net Minority Interest,441000000.0,465000000.0,465000000.0,539000000.0,
Reconciled Depreciation,1560000000.0,1657000000.0,1522000000.0,1351000000.0,
Reconciled Cost Of Revenue,23168000000.0,23024000000.0,21868000000.0,19062000000.0,
EBITDA,2236000000.0,2469000000.0,2391000000.0,2380000000.0,
EBIT,676000000.0,812000000.0,869000000.0,1029000000.0,
Net Interest Income,92000000.0,283000000.0,347000000.0,-84000000.0,
Interest Expense,113000000.0,214000000.0,236000000.0,301000000.0,
Interest Income,205000000.0,497000000.0,583000000.0,217000000.0,
Normalized Income,408897000.0,470446000.0,465000000.0,539000000.0,
Net Income From Continuing And Discontinued Operation,441000000.0,465000000.0,465000000.0,539000000.0,
Total Expenses,27635000000.0,27162000000.0,25867000000.0,22797000000.0,
Rent Expense Supplemental,2178000000.0,1962000000.0,1789000000.0,1508000000.0,
Total Operating Income As Reported,428000000.0,321000000.0,224000000.0,1017000000.0,
Diluted Average Shares,558000000.0,643000000.0,640000000.0,642000000.0,
Basic Average Shares,540000000.0,598000000.0,595000000.0,593000000.0,
Diluted EPS,0.79,0.76,0.81,0.87,
Basic EPS,0.82,0.78,0.84,0.91,
Diluted NI Availto Com Stockholders,442000000.0,485000000.0,484000000.0,561000000.0,
Net Income Common Stockholders,442000000.0,485000000.0,484000000.0,561000000.0,
Otherunder Preferred Stock Dividend,-1000000.0,-20000000.0,-19000000.0,-22000000.0,
Net Income,441000000.0,465000000.0,465000000.0,539000000.0,
Net Income Including Noncontrolling Interests,441000000.0,465000000.0,465000000.0,539000000.0,
Net Income Continuous Operations,441000000.0,465000000.0,465000000.0,539000000.0,
Tax Provision,122000000.0,133000000.0,168000000.0,189000000.0,
Pretax Income,563000000.0,598000000.0,633000000.0,728000000.0,
Other Income Expense,43000000.0,-6000000.0,62000000.0,-205000000.0,
Other Non Operating Income Expenses,2000000.0,1000000.0,62000000.0,-205000000.0,
Special Income Charges,,-2000000.0,0.0,-193000000.0,-28000000.0
Other Special Charges,,2000000.0,,193000000.0,28000000.0
Gain On Sale Of Security,41000000.0,-7000000.0,60000000.0,-9000000.0,
Net Non Operating Interest Income Expense,92000000.0,283000000.0,347000000.0,-84000000.0,
Interest Expense Non Operating,113000000.0,214000000.0,236000000.0,301000000.0,
Interest Income Non Operating,205000000.0,497000000.0,583000000.0,217000000.0,
Operating Income,428000000.0,321000000.0,224000000.0,1017000000.0,
Operating Expense,4467000000.0,4138000000.0,3999000000.0,3735000000.0,
Other Operating Expenses,4467000000.0,4138000000.0,3999000000.0,3735000000.0,
Gross Profit,4895000000.0,4459000000.0,4223000000.0,4752000000.0,
Cost Of Revenue,23168000000.0,23024000000.0,21868000000.0,19062000000.0,
Total Revenue,28063000000.0,27483000000.0,26091000000.0,23814000000.0,
Operating Revenue,25706000000.0,25155000000.0,23812000000.0,21585000000.0,
