,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,384000000.0,1980000000.0,3411000000.0,4229000000.0,
Repurchase Of Capital Stock,-201000000.0,-195000000.0,-211000000.0,-420000000.0,
Repayment Of Debt,-492000000.0,-776000000.0,-625000000.0,-4000000.0,
Issuance Of Debt,1990000000.0,744000000.0,500000000.0,0.0,
Capital Expenditure,-1878000000.0,-1839000000.0,-1531000000.0,-1890000000.0,
Interest Paid Supplemental Data,483000000.0,503000000.0,487000000.0,297000000.0,
Income Tax Paid Supplemental Data,393000000.0,343000000.0,465000000.0,746000000.0,
End Cash Position,3449000000.0,3388000000.0,3405000000.0,2156000000.0,
Beginning Cash Position,3388000000.0,3405000000.0,2156000000.0,1477000000.0,
Effect Of Exchange Rate Changes,82000000.0,-88000000.0,34000000.0,-56000000.0,
Changes In Cash,-21000000.0,71000000.0,1215000000.0,735000000.0,
Financing Cash Flow,-507000000.0,-1895000000.0,-1950000000.0,-3407000000.0,
Cash Flow From Continuing Financing Activities,-507000000.0,-1895000000.0,-1950000000.0,-3407000000.0,
Net Other Financing Charges,-40000000.0,52000000.0,-4000000.0,263000000.0,
Cash Dividends Paid,-1764000000.0,-1720000000.0,-1610000000.0,-3246000000.0,
Common Stock Dividend Paid,-1764000000.0,-1720000000.0,-1610000000.0,-3246000000.0,
Net Common Stock Issuance,-201000000.0,-195000000.0,-211000000.0,-420000000.0,
Common Stock Payments,-201000000.0,-195000000.0,-211000000.0,-420000000.0,
Net Issuance Payments Of Debt,1498000000.0,-32000000.0,-125000000.0,-4000000.0,
Net Short Term Debt Issuance,0.0,0.0,-200000000.0,-4000000.0,
Short Term Debt Payments,0.0,0.0,-200000000.0,-4000000.0,
Short Term Debt Issuance,,,,0.0,0.0
Net Long Term Debt Issuance,1498000000.0,-32000000.0,75000000.0,0.0,
Long Term Debt Payments,-492000000.0,-776000000.0,-425000000.0,0.0,
Long Term Debt Issuance,1990000000.0,744000000.0,500000000.0,0.0,
Investing Cash Flow,-1776000000.0,-1853000000.0,-1777000000.0,-1977000000.0,
Cash Flow From Continuing Investing Activities,-1776000000.0,-1853000000.0,-1777000000.0,-1977000000.0,
Net Other Investing Changes,87000000.0,-198000000.0,-227000000.0,-211000000.0,
Net Investment Purchase And Sale,25000000.0,46000000.0,83000000.0,113000000.0,
Sale Of Investment,902000000.0,967000000.0,903000000.0,614000000.0,
Purchase Of Investment,-877000000.0,-921000000.0,-820000000.0,-501000000.0,
Net Business Purchase And Sale,-10000000.0,138000000.0,-102000000.0,11000000.0,
Sale Of Business,4000000.0,689000000.0,0.0,15000000.0,
Purchase Of Business,-14000000.0,-551000000.0,-102000000.0,-4000000.0,
Net PPE Purchase And Sale,,,-1531000000.0,-1890000000.0,-1959000000.0
Purchase Of PPE,,,-1531000000.0,-1890000000.0,-1959000000.0
Capital Expenditure Reported,-1878000000.0,-1839000000.0,-1531000000.0,-1890000000.0,
Operating Cash Flow,2262000000.0,3819000000.0,4942000000.0,6119000000.0,
Cash Flow From Continuing Operating Activities,2262000000.0,3819000000.0,4942000000.0,6119000000.0,
Dividend Received Cfo,92000000.0,122000000.0,169000000.0,349000000.0,
Change In Working Capital,864000000.0,30000000.0,269000000.0,450000000.0,
Change In Payables And Accrued Expense,-768000000.0,-122000000.0,141000000.0,-464000000.0,
Change In Payable,-768000000.0,-122000000.0,141000000.0,-464000000.0,
Change In Account Payable,-768000000.0,-122000000.0,141000000.0,-464000000.0,
Change In Inventory,945000000.0,25000000.0,18000000.0,-91000000.0,
Change In Receivables,687000000.0,127000000.0,110000000.0,1005000000.0,
Changes In Account Receivables,687000000.0,127000000.0,110000000.0,1005000000.0,
Other Non Cash Items,-438000000.0,278000000.0,177000000.0,-339000000.0,
Stock Based Compensation,91000000.0,91000000.0,91000000.0,70000000.0,
Asset Impairment Charge,1251000000.0,949000000.0,518000000.0,69000000.0,
Deferred Tax,-156000000.0,-437000000.0,43000000.0,369000000.0,
Deferred Income Tax,-156000000.0,-437000000.0,43000000.0,369000000.0,
Depreciation Amortization Depletion,1390000000.0,1522000000.0,1534000000.0,1267000000.0,
Depreciation And Amortization,1390000000.0,1522000000.0,1534000000.0,1267000000.0,
Operating Gains Losses,-94000000.0,-103000000.0,20000000.0,-5000000.0,
Earnings Losses From Equity Investments,12000000.0,217000000.0,20000000.0,-5000000.0,
Gain Loss On Sale Of Business,6000000.0,-284000000.0,0.0,0.0,
Net Income From Continuing Operations,-738000000.0,1367000000.0,2121000000.0,3889000000.0,
