contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MAR260410C00275000,2026-04-06 13:59:10+00:00,275.0,56.5,52.6,55.9,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD
MAR260410C00277500,2026-04-06 13:59:10+00:00,277.5,54.2,50.4,54.0,0.0,0.0,,1,0.8955088574218748,True,REGULAR,USD
MAR260410C00312500,2026-04-02 19:12:13+00:00,312.5,19.88,16.6,19.5,0.0,0.0,4.0,4,0.4545952978515625,True,REGULAR,USD
MAR260410C00315000,2026-04-02 19:50:02+00:00,315.0,17.92,14.1,17.3,0.0,0.0,8.0,6,0.450200810546875,True,REGULAR,USD
MAR260410C00317500,2026-04-06 18:31:57+00:00,317.5,20.69,12.0,15.2,0.0,0.0,2.0,1,0.44751529052734373,True,REGULAR,USD
MAR260410C00320000,2026-04-07 15:44:16+00:00,320.0,13.06,10.8,13.4,4.71,56.407185,2.0,6,0.4631401342773438,True,REGULAR,USD
MAR260410C00325000,2026-04-07 14:42:55+00:00,325.0,12.15,7.5,8.3,0.25,2.1008403,1.0,67,0.33301448242187504,True,REGULAR,USD
MAR260410C00327500,2026-04-07 15:51:40+00:00,327.5,6.39,5.9,6.9,-2.2599998,-26.127165,1.0,8,0.35205726074218746,True,REGULAR,USD
MAR260410C00330000,2026-04-07 15:44:16+00:00,330.0,5.4,4.7,5.3,-4.6,-46.0,2.0,98,0.33960621337890623,True,REGULAR,USD
MAR260410C00332500,2026-04-07 14:36:18+00:00,332.5,6.53,3.2,4.2,-1.8699994,-22.261898,10.0,24,0.3487613952636719,False,REGULAR,USD
MAR260410C00335000,2026-04-07 15:22:39+00:00,335.0,4.07,1.75,3.2,-1.2799997,-23.925228,1.0,378,0.350470362548828,False,REGULAR,USD
MAR260410C00337500,2026-04-06 19:33:21+00:00,337.5,4.79,1.15,2.35,0.0,0.0,2.0,18,0.3491276025390625,False,REGULAR,USD
MAR260410C00340000,2026-04-07 15:11:48+00:00,340.0,1.95,1.35,1.7,-1.55,-44.285713,6.0,45,0.34961587890624996,False,REGULAR,USD
MAR260410C00342500,2026-04-06 18:51:59+00:00,342.5,3.1,0.55,1.25,0.0,0.0,4.0,17,0.35547519531249994,False,REGULAR,USD
MAR260410C00345000,2026-04-06 18:11:16+00:00,345.0,2.0,0.2,0.75,0.0,0.0,17.0,24,0.34009448974609374,False,REGULAR,USD
MAR260410C00347500,2026-04-06 18:31:57+00:00,347.5,1.42,0.2,0.75,0.0,0.0,51.0,39,0.3811097045898437,False,REGULAR,USD
MAR260410C00350000,2026-04-06 19:20:28+00:00,350.0,0.95,0.0,0.35,0.0,0.0,6.0,10,0.3481510498046875,False,REGULAR,USD
MAR260410C00355000,2026-04-06 19:20:28+00:00,355.0,0.25,0.0,0.2,0.0,0.0,15.0,42,0.37256486816406253,False,REGULAR,USD
MAR260410C00360000,2026-04-07 15:10:20+00:00,360.0,0.05,0.05,0.35,-1.01,-95.28303,2.0,31,0.4804739453125,False,REGULAR,USD
MAR260410C00362500,2026-04-06 16:54:08+00:00,362.5,0.15,,0.2,0.0,0.0,,1,0.46191944335937507,False,REGULAR,USD
MAR260410C00370000,2026-03-12 13:30:12+00:00,370.0,1.06,0.0,0.75,0.0,0.0,1.0,7,0.6103554589843752,False,REGULAR,USD
MAR260410C00375000,2026-03-05 14:30:01+00:00,375.0,1.05,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
MAR260410C00380000,2026-03-12 13:30:12+00:00,380.0,0.86,0.0,0.75,0.0,0.0,1.0,1,0.725588681640625,False,REGULAR,USD
MAR260410C00385000,2026-02-26 14:30:02+00:00,385.0,2.1,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
MAR260410C00415000,2026-03-04 14:30:02+00:00,415.0,0.2,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
