,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1371,27823347,1646307391,-0.0117
1,2025-12-31,Blackrock Inc.,0.0813,16500803,976352483,0.028199999
2,2025-12-31,Harris Associates L.P.,0.056700002,11501911,680568052,0.552
3,2025-12-31,State Street Corporation,0.0504,10235505,605634812,0.0058999998
4,2025-12-31,JPMORGAN CHASE & CO,0.0299,6063286,358764621,-0.4039
5,2025-12-31,Boston Partners,0.028199999,5731244,339117696,-0.020299999
6,2025-12-31,"Geode Capital Management, LLC",0.026199998,5314604,314465108,0.0
7,2025-12-31,"Wellington Management Group, LLP",0.0238,4826584,285588966,0.7608
8,2025-12-31,Massachusetts Financial Services Co.,0.0221,4482089,265205197,-0.0634
9,2025-12-31,Nordea Investment Management AB,0.0215,4371864,258683184,0.065
