,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0315,22377968,6858343878,-0.0034
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0253,17958613,5503910969,0.02
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,9164183,2808615973,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,9063051,2777621290,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,8378371,2567782269,-0.0197
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0108,7640733,2341712813,-0.01
6,2026-02-28,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRT-State Street SPDR Dow Jones ,0.0078,5563046,1704948478,0.0152
7,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0058,4086812,1252515959,-0.0176
8,2026-01-31,VANGUARD SPECIALIZED FUNDS-Vanguard Dividend Appreciation Index Fund,0.0055,3910585,1198506347,0.0111
9,2026-02-28,SELECT SECTOR SPDR TRT-State Street Consumer Discretionary Select Sect,0.0047,3374195,1034114876,-0.0139
